Date,Average temperature [K]
2015-01-01_00,263.008
2015-01-01_06,264.86835
2015-01-01_12,265.32648
2015-01-01_18,268.24518
2015-01-02_00,268.34317
2015-01-02_06,268.2304
2015-01-02_12,262.979
2015-01-02_18,262.708
2015-01-03_00,259.2907
2015-01-03_06,256.70032
2015-01-03_12,255.11554
2015-01-03_18,259.81427
2015-01-04_00,260.80383
2015-01-04_06,264.26544
2015-01-04_12,266.70773
2015-01-04_18,270.49503
2015-01-05_00,275.78375
2015-01-05_06,266.8465
2015-01-05_12,259.1311
2015-01-05_18,257.37152
2015-01-06_00,253.98729
2015-01-06_06,252.73569
2015-01-06_12,251.16058
2015-01-06_18,259.8297
2015-01-07_00,260.56708
2015-01-07_06,261.26917
2015-01-07_12,260.32034
2015-01-07_18,255.21848
2015-01-08_00,249.41022
2015-01-08_06,245.62796
2015-01-08_12,246.18706
2015-01-08_18,254.10434
2015-01-09_00,260.6869
2015-01-09_06,262.96884
2015-01-09_12,262.35095
2015-01-09_18,265.40375
2015-01-10_00,263.218
2015-01-10_06,257.3645
2015-01-10_12,257.67285
2015-01-10_18,262.63806
2015-01-11_00,262.21967
2015-01-11_06,261.38293
2015-01-11_12,261.33844
2015-01-11_18,265.8817
2015-01-12_00,266.5973
2015-01-12_06,267.53494
2015-01-12_12,267.47864
2015-01-12_18,269.60608
2015-01-13_00,264.7345
2015-01-13_06,254.02104
2015-01-13_12,249.59814
2015-01-13_18,255.90753
2015-01-14_00,252.67119
2015-01-14_06,250.34193
2015-01-14_12,252.34175
2015-01-14_18,260.9855
2015-01-15_00,258.31702
2015-01-15_06,254.89925
2015-01-15_12,255.1956
2015-01-15_18,262.84045
2015-01-16_00,264.15756
2015-01-16_06,266.9322
2015-01-16_12,266.18024
2015-01-16_18,260.20795
2015-01-17_00,256.6949
2015-01-17_06,251.65076
2015-01-17_12,247.4062
2015-01-17_18,254.93457
2015-01-18_00,256.6671
2015-01-18_06,260.06622
2015-01-18_12,263.2038
2015-01-18_18,272.7912
2015-01-19_00,272.83228
2015-01-19_06,271.68292
2015-01-19_12,271.5155
2015-01-19_18,270.27664
2015-01-20_00,264.96124
2015-01-20_06,259.26642
2015-01-20_12,254.67206
2015-01-20_18,258.79315
2015-01-21_00,256.80408
2015-01-21_06,254.91757
2015-01-21_12,253.5655
2015-01-21_18,262.46426
2015-01-22_00,257.54248
2015-01-22_06,255.52539
2015-01-22_12,254.75244
2015-01-22_18,263.50854
2015-01-23_00,261.76337
2015-01-23_06,261.28723
2015-01-23_12,262.36682
2015-01-23_18,270.6703
2015-01-24_00,270.44836
2015-01-24_06,270.19208
2015-01-24_12,269.62567
2015-01-24_18,271.73285
2015-01-25_00,270.7179
2015-01-25_06,269.60928
2015-01-25_12,258.22034
2015-01-25_18,259.83963
2015-01-26_00,257.5775
2015-01-26_06,253.23537
2015-01-26_12,251.94653
2015-01-26_18,258.5814
2015-01-27_00,255.74983
2015-01-27_06,255.28984
2015-01-27_12,255.91339
2015-01-27_18,261.0525
2015-01-28_00,260.2973
2015-01-28_06,258.52103
2015-01-28_12,256.9977
2015-01-28_18,264.5608
2015-01-29_00,260.5611
2015-01-29_06,258.95837
2015-01-29_12,257.87915
2015-01-29_18,266.57123
2015-01-30_00,268.00748
2015-01-30_06,268.48486
2015-01-30_12,268.35724
2015-01-30_18,264.15912
2015-01-31_00,259.28833
2015-01-31_06,253.49644
2015-01-31_12,249.24504
2015-01-31_18,256.63525
2015-02-01_00,255.06523
2015-02-01_06,255.90291
2015-02-01_12,254.23334
2015-02-01_18,255.8009
2015-02-02_00,253.3895
2015-02-02_06,251.18625
2015-02-02_12,250.50314
2015-02-02_18,254.08826
2015-02-03_00,253.81735
2015-02-03_06,249.07425
2015-02-03_12,249.31668
2015-02-03_18,259.69977
2015-02-04_00,261.5366
2015-02-04_06,260.43988
2015-02-04_12,261.74646
2015-02-04_18,267.49286
2015-02-05_00,268.10138
2015-02-05_06,262.8352
2015-02-05_12,255.14532
2015-02-05_18,259.09387
2015-02-06_00,254.94624
2015-02-06_06,251.40608
2015-02-06_12,251.0779
2015-02-06_18,261.2851
2015-02-07_00,261.18143
2015-02-07_06,258.71536
2015-02-07_12,256.43896
2015-02-07_18,259.0962
2015-02-08_00,257.5078
2015-02-08_06,256.27618
2015-02-08_12,254.15631
2015-02-08_18,256.10925
2015-02-09_00,257.69055
2015-02-09_06,256.36853
2015-02-09_12,256.12982
2015-02-09_18,260.4107
2015-02-10_00,261.1151
2015-02-10_06,260.63507
2015-02-10_12,260.30304
2015-02-10_18,266.30237
2015-02-11_00,262.54053
2015-02-11_06,257.26144
2015-02-11_12,253.50374
2015-02-11_18,260.6283
2015-02-12_00,260.69336
2015-02-12_06,260.59137
2015-02-12_12,261.18396
2015-02-12_18,264.51184
2015-02-13_00,259.9238
2015-02-13_06,253.56638
2015-02-13_12,247.90756
2015-02-13_18,252.97276
2015-02-14_00,250.55098
2015-02-14_06,250.16663
2015-02-14_12,252.63318
2015-02-14_18,260.10205
2015-02-15_00,259.39023
2015-02-15_06,257.05225
2015-02-15_12,252.08813
2015-02-15_18,254.52289
2015-02-16_00,251.93193
2015-02-16_06,250.62418
2015-02-16_12,248.1088
2015-02-16_18,256.52966
2015-02-17_00,254.3174
2015-02-17_06,250.02377
2015-02-17_12,249.54521
2015-02-17_18,259.91553
2015-02-18_00,257.8267
2015-02-18_06,255.46805
2015-02-18_12,252.47174
2015-02-18_18,264.17255
2015-02-19_00,261.6722
2015-02-19_06,261.10577
2015-02-19_12,260.07755
2015-02-19_18,262.3994
2015-02-20_00,258.2236
2015-02-20_06,255.59418
2015-02-20_12,253.82263
2015-02-20_18,258.96326
2015-02-21_00,256.7791
2015-02-21_06,254.05882
2015-02-21_12,255.33846
2015-02-21_18,262.97833
2015-02-22_00,263.21423
2015-02-22_06,262.28632
2015-02-22_12,261.87177
2015-02-22_18,268.00128
2015-02-23_00,267.42798
2015-02-23_06,262.00513
2015-02-23_12,251.33553
2015-02-23_18,252.85394
2015-02-24_00,250.80003
2015-02-24_06,248.67273
2015-02-24_12,249.52443
2015-02-24_18,260.37158
2015-02-25_00,261.86322
2015-02-25_06,262.02844
2015-02-25_12,261.30588
2015-02-25_18,266.5785
2015-02-26_00,259.8246
2015-02-26_06,253.67761
2015-02-26_12,252.51791
2015-02-26_18,259.65637
2015-02-27_00,256.80627
2015-02-27_06,251.67134
2015-02-27_12,250.52963
2015-02-27_18,262.48972
2015-02-28_00,260.00534
2015-02-28_06,258.19745
2015-02-28_12,256.5362
2015-02-28_18,265.54614
2015-03-01_00,264.07532
2015-03-01_06,259.445
2015-03-01_12,256.95175
2015-03-01_18,268.88397
2015-03-02_00,267.74136
2015-03-02_06,266.4915
2015-03-02_12,264.20233
2015-03-02_18,268.95056
2015-03-03_00,265.3686
2015-03-03_06,258.85214
