Date,Average temperature [K]
2021-01-01_00,268.74365
2021-01-01_06,277.43295
2021-01-01_12,284.0511
2021-01-01_18,275.7708
2021-01-02_00,271.79025
2021-01-02_06,275.6449
2021-01-02_12,284.3374
2021-01-02_18,274.645
2021-01-03_00,269.7827
2021-01-03_06,277.8318
2021-01-03_12,284.92365
2021-01-03_18,274.6464
2021-01-04_00,268.6552
2021-01-04_06,275.9153
2021-01-04_12,283.5583
2021-01-04_18,275.09476
2021-01-05_00,267.70496
2021-01-05_06,276.07977
2021-01-05_12,281.5994
2021-01-05_18,274.78314
2021-01-06_00,269.2943
2021-01-06_06,273.78894
2021-01-06_12,281.0614
2021-01-06_18,274.5398
2021-01-07_00,272.90283
2021-01-07_06,276.05243
2021-01-07_12,282.89688
2021-01-07_18,275.74658
2021-01-08_00,269.7885
2021-01-08_06,275.05728
2021-01-08_12,283.61456
2021-01-08_18,273.3908
2021-01-09_00,268.16644
2021-01-09_06,275.72824
2021-01-09_12,284.74988
2021-01-09_18,275.14258
2021-01-10_00,272.7731
2021-01-10_06,278.4547
2021-01-10_12,285.526
2021-01-10_18,277.02362
2021-01-11_00,270.74554
2021-01-11_06,276.17484
2021-01-11_12,284.63647
2021-01-11_18,274.46228
2021-01-12_00,271.4511
2021-01-12_06,278.72128
2021-01-12_12,286.27847
2021-01-12_18,276.7427
2021-01-13_00,270.1574
2021-01-13_06,277.7165
2021-01-13_12,287.06464
2021-01-13_18,277.90796
2021-01-14_00,270.28564
2021-01-14_06,280.03424
2021-01-14_12,286.64648
2021-01-14_18,276.03674
2021-01-15_00,271.08463
2021-01-15_06,281.08643
2021-01-15_12,287.6255
2021-01-15_18,277.88025
2021-01-16_00,270.9475
2021-01-16_06,281.86566
2021-01-16_12,290.07297
2021-01-16_18,278.59387
2021-01-17_00,274.2374
2021-01-17_06,283.8636
2021-01-17_12,290.92603
2021-01-17_18,283.6787
2021-01-18_00,284.24493
2021-01-18_06,286.38538
2021-01-18_12,293.02997
2021-01-18_18,284.25574
2021-01-19_00,282.82425
2021-01-19_06,287.57568
2021-01-19_12,294.35355
2021-01-19_18,284.22714
2021-01-20_00,279.0238
2021-01-20_06,287.93842
2021-01-20_12,294.61877
2021-01-20_18,285.5251
2021-01-21_00,284.2721
2021-01-21_06,288.544
2021-01-21_12,296.08646
2021-01-21_18,288.86267
2021-01-22_00,281.41458
2021-01-22_06,279.24722
2021-01-22_12,281.92847
2021-01-22_18,275.04877
2021-01-23_00,272.3263
2021-01-23_06,277.578
2021-01-23_12,282.98578
2021-01-23_18,274.12292
2021-01-24_00,269.74017
2021-01-24_06,277.716
2021-01-24_12,284.35876
2021-01-24_18,278.17377
2021-01-25_00,272.28772
2021-01-25_06,276.31006
2021-01-25_12,283.55408
2021-01-25_18,277.95087
2021-01-26_00,270.42737
2021-01-26_06,280.8926
2021-01-26_12,284.8891
2021-01-26_18,276.28494
2021-01-27_00,271.03253
2021-01-27_06,279.13376
2021-01-27_12,286.7487
2021-01-27_18,276.8684
2021-01-28_00,271.57837
2021-01-28_06,281.87314
2021-01-28_12,288.45737
2021-01-28_18,278.65182
2021-01-29_00,273.07663
2021-01-29_06,283.4685
2021-01-29_12,289.3855
2021-01-29_18,281.228
2021-01-30_00,279.9355
2021-01-30_06,284.9496
2021-01-30_12,292.11066
2021-01-30_18,286.6823
2021-01-31_00,288.58603
2021-01-31_06,290.3221
2021-01-31_12,298.01688
2021-01-31_18,289.1715
2021-02-01_00,284.61688
2021-02-01_06,287.16617
2021-02-01_12,295.60242
2021-02-01_18,285.97574
2021-02-02_00,280.28607
2021-02-02_06,285.4253
2021-02-02_12,292.99353
2021-02-02_18,284.2569
2021-02-03_00,278.80188
2021-02-03_06,285.4775
2021-02-03_12,291.6977
2021-02-03_18,282.38022
2021-02-04_00,277.76923
2021-02-04_06,284.99982
2021-02-04_12,291.1435
2021-02-04_18,281.24097
2021-02-05_00,273.87677
2021-02-05_06,285.411
2021-02-05_12,291.9206
2021-02-05_18,284.42908
2021-02-06_00,279.9956
2021-02-06_06,284.66208
2021-02-06_12,292.5357
2021-02-06_18,285.7483
2021-02-07_00,281.55103
2021-02-07_06,288.9646
2021-02-07_12,294.66437
2021-02-07_18,288.4859
2021-02-08_00,286.49158
2021-02-08_06,290.03354
2021-02-08_12,298.02917
2021-02-08_18,289.17847
2021-02-09_00,285.51843
2021-02-09_06,288.21362
2021-02-09_12,296.21875
2021-02-09_18,288.46307
2021-02-10_00,283.4015
2021-02-10_06,287.11386
2021-02-10_12,296.17615
2021-02-10_18,286.1509
2021-02-11_00,279.87646
2021-02-11_06,287.8976
2021-02-11_12,295.05777
2021-02-11_18,286.43958
2021-02-12_00,280.38177
2021-02-12_06,290.4044
2021-02-12_12,297.37012
2021-02-12_18,288.97076
2021-02-13_00,282.051
2021-02-13_06,290.2467
2021-02-13_12,298.5971
2021-02-13_18,289.4906
2021-02-14_00,283.28693
2021-02-14_06,292.46994
2021-02-14_12,298.16388
2021-02-14_18,287.65088
2021-02-15_00,278.7397
2021-02-15_06,289.46506
2021-02-15_12,296.8026
2021-02-15_18,287.27084
2021-02-16_00,282.57233
2021-02-16_06,287.82697
2021-02-16_12,297.46802
2021-02-16_18,286.46948
2021-02-17_00,282.4722
