Date,Average temperature [K]
2017-02-27_00,281.01526
2017-02-27_06,280.10223
2017-02-27_12,279.6566
2017-02-27_18,278.49313
2017-02-28_00,278.83313
2017-02-28_06,278.59814
2017-02-28_12,281.47418
2017-02-28_18,282.23257
2017-03-01_00,281.12317
2017-03-01_06,280.9229
2017-03-01_12,281.2148
2017-03-01_18,281.3022
2017-03-02_00,280.5241
2017-03-02_06,281.22357
2017-03-02_12,281.88092
2017-03-02_18,281.8417
2017-03-03_00,282.35834
2017-03-03_06,282.13956
2017-03-03_12,282.48975
2017-03-03_18,282.09906
2017-03-04_00,281.31396
2017-03-04_06,281.27658
2017-03-04_12,280.2041
2017-03-04_18,281.3055
2017-03-05_00,281.54816
2017-03-05_06,282.22678
2017-03-05_12,281.83643
2017-03-05_18,282.1352
2017-03-06_00,281.33655
2017-03-06_06,278.58368
2017-03-06_12,280.78683
2017-03-06_18,281.3651
2017-03-07_00,280.411
2017-03-07_06,281.2052
2017-03-07_12,281.60468
2017-03-07_18,282.80017
2017-03-08_00,283.72018
2017-03-08_06,282.8509
2017-03-08_12,282.85086
2017-03-08_18,281.93674
2017-03-09_00,282.7685
2017-03-09_06,283.2004
2017-03-09_12,283.47675
2017-03-09_18,282.808
2017-03-10_00,282.9416
2017-03-10_06,283.36078
2017-03-10_12,282.6891
2017-03-10_18,282.08432
2017-03-11_00,282.76617
2017-03-11_06,282.71304
2017-03-11_12,283.13586
2017-03-11_18,282.374
2017-03-12_00,282.11975
2017-03-12_06,282.83154
2017-03-12_12,282.7527
2017-03-12_18,282.8381
2017-03-13_00,282.19318
2017-03-13_06,282.35767
2017-03-13_12,283.82016
2017-03-13_18,282.49164
2017-03-14_00,283.50558
2017-03-14_06,283.56396
2017-03-14_12,283.37256
2017-03-14_18,282.66248
2017-03-15_00,282.93497
2017-03-15_06,282.16412
2017-03-15_12,282.96405
2017-03-15_18,282.14172
2017-03-16_00,281.82104
2017-03-16_06,282.18915
2017-03-16_12,282.15628
2017-03-16_18,282.6031
2017-03-17_00,280.97345
2017-03-17_06,281.38318
2017-03-17_12,282.6682
2017-03-17_18,282.69348
2017-03-18_00,283.55127
2017-03-18_06,283.47607
2017-03-18_12,283.60843
2017-03-18_18,283.2492
2017-03-19_00,283.32187
2017-03-19_06,283.45154
2017-03-19_12,283.80652
2017-03-19_18,283.0975
2017-03-20_00,283.2016
2017-03-20_06,282.57318
2017-03-20_12,282.04672
2017-03-20_18,281.1676
2017-03-21_00,280.00705
2017-03-21_06,279.79428
2017-03-21_12,279.68314
2017-03-21_18,279.19153
2017-03-22_00,279.99426
2017-03-22_06,278.6369
2017-03-22_12,279.81415
2017-03-22_18,279.78064
2017-03-23_00,278.64984
2017-03-23_06,279.575
2017-03-23_12,281.70517
2017-03-23_18,282.34583
2017-03-24_00,281.70874
2017-03-24_06,281.11487
2017-03-24_12,281.96378
2017-03-24_18,283.04034
2017-03-25_00,282.18576
2017-03-25_06,280.21832
2017-03-25_12,283.5619
2017-03-25_18,283.99747
2017-03-26_00,282.02222
2017-03-26_06,281.887
2017-03-26_12,284.21698
2017-03-26_18,283.9965
2017-03-27_00,282.86877
2017-03-27_06,281.66318
2017-03-27_12,282.8216
2017-03-27_18,282.6975
2017-03-28_00,282.48822
2017-03-28_06,282.8656
2017-03-28_12,283.88873
2017-03-28_18,282.6835
2017-03-29_00,283.7223
2017-03-29_06,283.11502
2017-03-29_12,284.29285
2017-03-29_18,283.61542
