Date,Average temperature [K]
2013-01-01_00,281.65686
2013-01-01_06,281.76038
2013-01-01_12,283.4534
2013-01-01_18,282.96072
2013-01-02_00,284.36237
2013-01-02_06,284.03375
2013-01-02_12,284.13116
2013-01-02_18,284.05627
2013-01-03_00,283.90057
2013-01-03_06,283.824
2013-01-03_12,283.8531
2013-01-03_18,284.31287
2013-01-04_00,283.74402
2013-01-04_06,283.74057
2013-01-04_12,283.74673
2013-01-04_18,283.93945
2013-01-05_00,283.97723
2013-01-05_06,284.7486
2013-01-05_12,285.1336
2013-01-05_18,283.8801
2013-01-06_00,283.5208
2013-01-06_06,284.52216
2013-01-06_12,284.86456
2013-01-06_18,284.6081
2013-01-07_00,284.46857
2013-01-07_06,284.72217
2013-01-07_12,284.59912
2013-01-07_18,284.6899
2013-01-08_00,285.04407
2013-01-08_06,283.04172
2013-01-08_12,284.03876
2013-01-08_18,283.18024
2013-01-09_00,283.06534
2013-01-09_06,282.6361
2013-01-09_12,283.35245
2013-01-09_18,282.89
2013-01-10_00,283.1361
2013-01-10_06,283.7649
2013-01-10_12,283.85974
2013-01-10_18,282.81696
2013-01-11_00,283.67075
2013-01-11_06,284.03412
2013-01-11_12,283.88397
2013-01-11_18,282.4624
2013-01-12_00,282.6706
2013-01-12_06,281.52786
2013-01-12_12,282.9807
2013-01-12_18,282.3195
2013-01-13_00,281.08746
2013-01-13_06,281.61884
2013-01-13_12,283.8935
2013-01-13_18,281.93793
2013-01-14_00,282.23682
2013-01-14_06,282.25165
2013-01-14_12,283.0116
2013-01-14_18,282.36197
2013-01-15_00,282.0512
2013-01-15_06,282.06268
2013-01-15_12,282.01248
2013-01-15_18,284.62375
2013-01-16_00,282.726
2013-01-16_06,282.84534
2013-01-16_12,283.32697
2013-01-16_18,282.99252
2013-01-17_00,282.9758
2013-01-17_06,283.01984
2013-01-17_12,283.17178
2013-01-17_18,283.61285
2013-01-18_00,283.7096
2013-01-18_06,282.35095
2013-01-18_12,281.44598
2013-01-18_18,280.69653
2013-01-19_00,280.08063
2013-01-19_06,280.19128
2013-01-19_12,279.62894
2013-01-19_18,280.08005
2013-01-20_00,279.9208
2013-01-20_06,280.3903
2013-01-20_12,280.76883
2013-01-20_18,278.44565
2013-01-21_00,279.24667
2013-01-21_06,280.3835
2013-01-21_12,280.38928
2013-01-21_18,277.95657
2013-01-22_00,278.58203
2013-01-22_06,279.37344
2013-01-22_12,279.95026
2013-01-22_18,280.97772
2013-01-23_00,280.6225
2013-01-23_06,282.04218
2013-01-23_12,281.9886
2013-01-23_18,280.47073
2013-01-24_00,280.2898
2013-01-24_06,281.551
2013-01-24_12,282.5841
2013-01-24_18,282.36475
2013-01-25_00,282.0685
2013-01-25_06,283.53125
2013-01-25_12,283.8824
2013-01-25_18,282.6246
2013-01-26_00,282.4978
2013-01-26_06,283.09546
2013-01-26_12,283.9613
2013-01-26_18,284.86688
2013-01-27_00,282.29315
2013-01-27_06,280.24243
2013-01-27_12,281.09982
2013-01-27_18,279.7221
2013-01-28_00,281.59528
2013-01-28_06,282.39178
2013-01-28_12,284.53366
2013-01-28_18,284.07874
2013-01-29_00,283.26843
2013-01-29_06,284.9204
2013-01-29_12,284.48755
2013-01-29_18,283.3805
2013-01-30_00,283.10492
2013-01-30_06,282.91507
