Date,Average pressure [Pa]
2016-01-01_00,99762.89
2016-01-01_06,100015.38
2016-01-01_12,100115.945
2016-01-01_18,100429.42
2016-01-02_00,100523.29
2016-01-02_06,100672.39
2016-01-02_12,100588.41
2016-01-02_18,100681.79
2016-01-03_00,100534.11
2016-01-03_06,100521.19
2016-01-03_12,100297.56
2016-01-03_18,100334.695
2016-01-04_00,100191.26
2016-01-04_06,100135.305
2016-01-04_12,99901.3
2016-01-04_18,99952.83
2016-01-05_00,99876.414
2016-01-05_06,99995.875
2016-01-05_12,99813.305
2016-01-05_18,99895.14
2016-01-06_00,99966.5
2016-01-06_06,100043.36
2016-01-06_12,99843.92
2016-01-06_18,99811.59
2016-01-07_00,99675.54
2016-01-07_06,99518.555
2016-01-07_12,99191.36
2016-01-07_18,99334.47
2016-01-08_00,99506.49
2016-01-08_06,99685.81
2016-01-08_12,99550.22
2016-01-08_18,99775.0
2016-01-09_00,99851.37
2016-01-09_06,100025.24
2016-01-09_12,99885.45
2016-01-09_18,100078.47
2016-01-10_00,100133.08
2016-01-10_06,100232.86
2016-01-10_12,100071.22
2016-01-10_18,100135.96
2016-01-11_00,100093.6
2016-01-11_06,100192.09
2016-01-11_12,100002.56
2016-01-11_18,100109.695
2016-01-12_00,100072.0
2016-01-12_06,100065.72
2016-01-12_12,99932.125
2016-01-12_18,100043.19
2016-01-13_00,99997.56
2016-01-13_06,100074.586
2016-01-13_12,99837.87
2016-01-13_18,99888.65
2016-01-14_00,99790.41
2016-01-14_06,99880.23
2016-01-14_12,99772.336
2016-01-14_18,99917.21
2016-01-15_00,99925.3
2016-01-15_06,100121.484
2016-01-15_12,99985.87
2016-01-15_18,100050.05
2016-01-16_00,99922.31
2016-01-16_06,99927.69
2016-01-16_12,99671.0
2016-01-16_18,99676.195
2016-01-17_00,99436.01
2016-01-17_06,99382.16
2016-01-17_12,98971.805
2016-01-17_18,98867.8
2016-01-18_00,99141.945
2016-01-18_06,99415.77
2016-01-18_12,99322.0
2016-01-18_18,99500.69
2016-01-19_00,99596.22
2016-01-19_06,99862.59
2016-01-19_12,99900.15
2016-01-19_18,100191.555
2016-01-20_00,100213.305
2016-01-20_06,100273.44
2016-01-20_12,100106.55
2016-01-20_18,100156.88
2016-01-21_00,100090.26
2016-01-21_06,100104.32
2016-01-21_12,99921.14
2016-01-21_18,99983.23
2016-01-22_00,99921.19
2016-01-22_06,99949.68
2016-01-22_12,99773.29
2016-01-22_18,99871.24
2016-01-23_00,99863.6
2016-01-23_06,99950.17
2016-01-23_12,99900.734
2016-01-23_18,100109.94
2016-01-24_00,100142.41
2016-01-24_06,100271.266
2016-01-24_12,100241.5
2016-01-24_18,100481.25
2016-01-25_00,100477.93
2016-01-25_06,100499.09
2016-01-25_12,100401.3
2016-01-25_18,100528.98
2016-01-26_00,100423.66
2016-01-26_06,100342.484
2016-01-26_12,100293.21
2016-01-26_18,100391.016
2016-01-27_00,100200.46
2016-01-27_06,100180.25
2016-01-27_12,100278.49
2016-01-27_18,100594.77
2016-01-28_00,100691.06
2016-01-28_06,100856.766
2016-01-28_12,100797.56
2016-01-28_18,100887.41
2016-01-29_00,100821.414
2016-01-29_06,100982.81
2016-01-29_12,100880.1
2016-01-29_18,100903.586
2016-01-30_00,100928.37
2016-01-30_06,100845.266
2016-01-30_12,100641.41
2016-01-30_18,100605.86
2016-01-31_00,100454.88
2016-01-31_06,100495.9
2016-01-31_12,100275.05
2016-01-31_18,100419.75
2016-02-01_00,100337.914
2016-02-01_06,100360.4
2016-02-01_12,100158.62
2016-02-01_18,100300.15
2016-02-02_00,100321.46
2016-02-02_06,100381.91
2016-02-02_12,100257.1
2016-02-02_18,100446.97
2016-02-03_00,100510.06
2016-02-03_06,100584.52
2016-02-03_12,100350.78
2016-02-03_18,100345.97
2016-02-04_00,100275.85
2016-02-04_06,100157.72
2016-02-04_12,99851.86
2016-02-04_18,99732.664
2016-02-05_00,99587.57
2016-02-05_06,99606.375
2016-02-05_12,99562.82
2016-02-05_18,99763.16
2016-02-06_00,99807.445
2016-02-06_06,99954.055
2016-02-06_12,99725.37
2016-02-06_18,99958.59
2016-02-07_00,99962.43
2016-02-07_06,100099.0
2016-02-07_12,100026.47
2016-02-07_18,100213.6
2016-02-08_00,100281.16
2016-02-08_06,100386.625
2016-02-08_12,100283.96
2016-02-08_18,100358.375
2016-02-09_00,100347.78
2016-02-09_06,100366.336
2016-02-09_12,100078.3
2016-02-09_18,100067.31
2016-02-10_00,100044.07
2016-02-10_06,100087.45
2016-02-10_12,100049.68
2016-02-10_18,100212.43
2016-02-11_00,100249.414
2016-02-11_06,100417.99
2016-02-11_12,100271.7
2016-02-11_18,100344.9
2016-02-12_00,100230.64
2016-02-12_06,100328.54
2016-02-12_12,100149.66
2016-02-12_18,100156.71
2016-02-13_00,100003.39
2016-02-13_06,100012.52
2016-02-13_12,99793.484
2016-02-13_18,99872.85
2016-02-14_00,99867.28
2016-02-14_06,99970.36
2016-02-14_12,99823.31
2016-02-14_18,99931.766
2016-02-15_00,99925.484
2016-02-15_06,100108.59
2016-02-15_12,100045.164
2016-02-15_18,100222.61
2016-02-16_00,100331.62
2016-02-16_06,100409.96
2016-02-16_12,100248.95
2016-02-16_18,100371.875
2016-02-17_00,100308.69
2016-02-17_06,100319.14
2016-02-17_12,100055.49
2016-02-17_18,100012.04
2016-02-18_00,99849.66
2016-02-18_06,99838.65
2016-02-18_12,99598.7
2016-02-18_18,99514.43
2016-02-19_00,99446.09
2016-02-19_06,99557.69
2016-02-19_12,99571.51
2016-02-19_18,99811.4
2016-02-20_00,99875.09
2016-02-20_06,99923.266
2016-02-20_12,99728.78
2016-02-20_18,99673.22
2016-02-21_00,99537.13
2016-02-21_06,99549.91
2016-02-21_12,99268.06
2016-02-21_18,99317.336
2016-02-22_00,99185.48
2016-02-22_06,99271.09
2016-02-22_12,99243.06
2016-02-22_18,99574.63
2016-02-23_00,99658.72
2016-02-23_06,99903.81
2016-02-23_12,99753.78
2016-02-23_18,99873.31
2016-02-24_00,99824.195
2016-02-24_06,99919.31
2016-02-24_12,99703.516
2016-02-24_18,99646.36
2016-02-25_00,99595.266
2016-02-25_06,99629.445
2016-02-25_12,99384.984
2016-02-25_18,99384.03
2016-02-26_00,99315.8
2016-02-26_06,99329.445
2016-02-26_12,99167.84
2016-02-26_18,99203.734
2016-02-27_00,99367.53
2016-02-27_06,99621.24
2016-02-27_12,99642.336
2016-02-27_18,99848.51
2016-02-28_00,99994.75
2016-02-28_06,100111.33
2016-02-28_12,99969.7
2016-02-28_18,100098.76
2016-02-29_00,100090.945
2016-02-29_06,100129.1
2016-02-29_12,99834.35
2016-02-29_18,99833.57
2016-03-01_00,99623.66
