Date,Average preserature [K]
2017-02-20_12,101969.44
2017-02-20_18,102522.31
2017-02-21_00,102931.88
2017-02-21_06,102940.04
2017-02-21_12,102869.51
2017-02-21_18,102422.805
2017-02-22_00,102151.83
2017-02-22_06,101280.64
2017-02-22_12,100401.66
2017-02-22_18,100615.8
2017-02-23_00,101156.1
2017-02-23_06,101244.875
2017-02-23_12,101759.79
2017-02-23_18,101989.19
2017-02-24_00,102155.1
2017-02-24_06,102005.766
2017-02-24_12,102110.18
2017-02-24_18,102130.734
2017-02-25_00,102168.82
2017-02-25_06,101859.23
2017-02-25_12,101938.5
2017-02-25_18,102019.58
2017-02-26_00,102247.73
2017-02-26_06,102241.87
2017-02-26_12,102513.55
2017-02-26_18,102581.62
2017-02-27_00,102719.484
2017-02-27_06,102538.13
2017-02-27_12,102674.85
2017-02-27_18,102563.99
2017-02-28_00,102636.65
2017-02-28_06,102283.4
2017-02-28_12,102171.9
2017-02-28_18,102000.15
2017-03-01_00,101895.41
2017-03-01_06,101440.82
2017-03-01_12,101166.77
2017-03-01_18,100669.12
2017-03-02_00,100706.27
2017-03-02_06,100994.41
2017-03-02_12,101510.695
2017-03-02_18,101735.57
2017-03-03_00,101981.69
2017-03-03_06,101721.22
2017-03-03_12,101768.04
2017-03-03_18,101768.41
2017-03-04_00,101887.8
2017-03-04_06,101681.47
2017-03-04_12,101738.43
2017-03-04_18,101643.82
2017-03-05_00,101687.43
2017-03-05_06,101278.0
2017-03-05_12,101133.11
2017-03-05_18,100849.83
2017-03-06_00,101058.86
2017-03-06_06,101001.414
2017-03-06_12,101284.47
2017-03-06_18,101332.836
2017-03-07_00,101407.16
2017-03-07_06,101168.41
2017-03-07_12,101235.984
2017-03-07_18,101248.586
2017-03-08_00,101327.27
2017-03-08_06,101094.41
2017-03-08_12,101142.73
2017-03-08_18,101039.67
2017-03-09_00,101265.11
2017-03-09_06,101045.38
2017-03-09_12,100963.74
2017-03-09_18,101292.75
2017-03-10_00,101745.85
2017-03-10_06,101702.56
2017-03-10_12,101925.414
2017-03-10_18,102033.4
2017-03-11_00,102311.55
2017-03-11_06,102215.58
2017-03-11_12,102326.3
2017-03-11_18,102228.88
2017-03-12_00,102215.84
2017-03-12_06,101837.984
2017-03-12_12,101732.055
2017-03-12_18,101558.57
2017-03-13_00,101710.5
2017-03-13_06,101615.72
2017-03-13_12,101611.234
2017-03-13_18,101537.914
2017-03-14_00,101626.78
2017-03-14_06,101497.336
2017-03-14_12,101866.336
2017-03-14_18,101910.11
2017-03-15_00,102157.64
2017-03-15_06,102142.51
2017-03-15_12,102220.38
2017-03-15_18,102175.02
2017-03-16_00,102252.32
2017-03-16_06,101957.79
2017-03-16_12,101985.086
2017-03-16_18,101988.625
2017-03-17_00,102251.516
2017-03-17_06,102183.64
2017-03-17_12,102311.01
2017-03-17_18,102309.62
2017-03-18_00,102364.8
2017-03-18_06,102148.39
2017-03-18_12,102162.13
2017-03-18_18,102245.51
2017-03-19_00,102570.24
2017-03-19_06,102440.21
2017-03-19_12,102508.18
2017-03-19_18,102370.73
2017-03-20_00,102278.15
2017-03-20_06,101740.234
2017-03-20_12,101522.29
2017-03-20_18,101074.95
2017-03-21_00,101151.195
2017-03-21_06,101283.664
2017-03-21_12,101766.41
2017-03-21_18,101882.984
2017-03-22_00,102032.375
2017-03-22_06,101855.42
2017-03-22_12,101911.96
2017-03-22_18,101826.34
2017-03-23_00,101925.0
2017-03-23_06,101723.875
2017-03-23_12,102013.74
2017-03-23_18,102186.375
2017-03-24_00,102280.69
2017-03-24_06,102129.76
2017-03-24_12,102157.445
2017-03-24_18,102091.41
2017-03-25_00,102080.64
2017-03-25_06,101859.695
2017-03-25_12,101953.56
2017-03-25_18,101792.67
2017-03-26_00,101769.07
2017-03-26_06,101561.914
2017-03-26_12,101679.125
2017-03-26_18,101603.27
2017-03-27_00,101757.69
2017-03-27_06,101652.76
2017-03-27_12,101882.25
2017-03-27_18,102057.766
2017-03-28_00,102324.54
2017-03-28_06,102191.87
2017-03-28_12,102204.23
2017-03-28_18,102220.46
2017-03-29_00,102289.41
2017-03-29_06,102069.83
2017-03-29_12,102028.27
2017-03-29_18,101878.125
2017-03-30_00,102071.58
2017-03-30_06,101989.234
2017-03-30_12,102126.63
2017-03-30_18,102018.266
2017-03-31_00,101919.14
2017-03-31_06,101692.336
2017-03-31_12,101736.96
2017-03-31_18,101589.305
2017-04-01_00,101590.14
2017-04-01_06,101388.74
2017-04-01_12,101518.12
2017-04-01_18,101438.19
2017-04-02_00,101648.22
2017-04-02_06,101748.39
2017-04-02_12,101743.36
2017-04-02_18,101724.734
2017-04-03_00,102002.15
2017-04-03_06,101970.85
2017-04-03_12,102111.625
2017-04-03_18,102233.18
2017-04-04_00,102504.445
2017-04-04_06,102231.734
2017-04-04_12,102234.18
2017-04-04_18,102063.72
2017-04-05_00,102255.47
2017-04-05_06,101961.48
2017-04-05_12,101692.8
2017-04-05_18,101313.55
2017-04-06_00,101201.88
2017-04-06_06,100989.8
2017-04-06_12,101056.1
2017-04-06_18,101132.766
2017-04-07_00,101436.4
2017-04-07_06,101413.16
2017-04-07_12,101397.12
2017-04-07_18,101219.38
2017-04-08_00,101219.85
2017-04-08_06,100893.97
2017-04-08_12,100955.664
2017-04-08_18,100988.94
2017-04-09_00,101344.31
2017-04-09_06,101505.62
2017-04-09_12,101683.11
2017-04-09_18,101729.47
2017-04-10_00,101648.484
2017-04-10_06,101253.445
2017-04-10_12,100991.77
2017-04-10_18,100442.53
2017-04-11_00,100232.27
2017-04-11_06,100160.96
2017-04-11_12,100477.195
2017-04-11_18,100694.336
2017-04-12_00,101325.95
2017-04-12_06,101222.51
2017-04-12_12,101322.92
2017-04-12_18,101477.22
2017-04-13_00,101786.03
2017-04-13_06,101538.26
2017-04-13_12,101404.03
2017-04-13_18,101507.125
2017-04-14_00,101525.78
2017-04-14_06,101234.03
2017-04-14_12,101141.92
2017-04-14_18,101107.64
2017-04-15_00,101346.46
2017-04-15_06,101206.59
2017-04-15_12,101280.516
2017-04-15_18,101324.34
2017-04-16_00,101525.56
2017-04-16_06,101354.125
2017-04-16_12,101314.43
2017-04-16_18,101017.43
2017-04-17_00,100506.445
2017-04-17_06,99318.73
2017-04-17_12,99511.28
2017-04-17_18,99898.46
2017-04-18_00,100084.96
2017-04-18_06,99687.45
2017-04-18_12,99615.87
2017-04-18_18,100115.53
2017-04-19_00,100655.27
2017-04-19_06,100881.23
2017-04-19_12,101149.83
2017-04-19_18,101192.65
2017-04-20_00,101208.89
2017-04-20_06,100980.95
2017-04-20_12,101002.44
2017-04-20_18,100951.61
2017-04-21_00,100955.23
2017-04-21_06,100887.234
2017-04-21_12,101109.57
2017-04-21_18,101136.57
2017-04-22_00,101263.94
2017-04-22_06,101322.0
2017-04-22_12,101520.92
2017-04-22_18,101544.555
2017-04-23_00,101812.74
2017-04-23_06,101750.02
2017-04-23_12,101822.92
2017-04-23_18,101910.06
2017-04-24_00,102089.086
2017-04-24_06,101899.93
2017-04-24_12,101877.586
2017-04-24_18,101779.39
2017-04-25_00,101943.336
2017-04-25_06,101767.336
2017-04-25_12,101740.164
2017-04-25_18,101602.44
2017-04-26_00,101656.3
2017-04-26_06,101343.82
2017-04-26_12,101287.766
2017-04-26_18,101121.22
2017-04-27_00,101104.56
2017-04-27_06,100945.24
2017-04-27_12,100899.68
2017-04-27_18,100792.625
2017-04-28_00,100729.71
2017-04-28_06,100344.44
2017-04-28_12,100258.81
2017-04-28_18,100366.41
2017-04-29_00,100729.95
2017-04-29_06,100658.375
2017-04-29_12,100569.19
2017-04-29_18,100527.44
2017-04-30_00,100634.67
2017-04-30_06,100534.81
2017-04-30_12,100702.76
2017-04-30_18,101030.984
2017-05-01_00,101623.24
2017-05-01_06,101812.41
2017-05-01_12,102059.18
2017-05-01_18,102099.54
2017-05-02_00,102425.56
2017-05-02_06,102318.73
2017-05-02_12,102320.336
2017-05-02_18,102204.055
2017-05-03_00,102311.94
2017-05-03_06,102104.836
2017-05-03_12,102067.555
2017-05-03_18,101883.3
2017-05-04_00,101889.72
2017-05-04_06,101583.79
2017-05-04_12,101544.97
2017-05-04_18,101367.9
2017-05-05_00,101461.234
2017-05-05_06,101283.52
2017-05-05_12,101144.46
2017-05-05_18,101030.93
2017-05-06_00,101511.65
2017-05-06_06,101263.28
2017-05-06_12,101255.03
2017-05-06_18,101377.98
2017-05-07_00,101382.125
2017-05-07_06,100963.58
2017-05-07_12,100992.43
2017-05-07_18,101097.22
2017-05-08_00,101255.79
2017-05-08_06,101137.55
2017-05-08_12,101155.734
2017-05-08_18,101196.7
2017-05-09_00,101496.39
2017-05-09_06,101138.35
2017-05-09_12,100835.23
2017-05-09_18,100578.734
2017-05-10_00,100817.41
2017-05-10_06,100794.336
2017-05-10_12,101002.91
2017-05-10_18,101104.86
2017-05-11_00,101117.77
2017-05-11_06,100971.336
2017-05-11_12,101123.39
2017-05-11_18,101104.39
2017-05-12_00,101090.086
2017-05-12_06,101039.65
2017-05-12_12,100856.664
2017-05-12_18,100596.31
2017-05-13_00,100669.14
2017-05-13_06,100581.16
2017-05-13_12,100432.25
2017-05-13_18,100587.984
2017-05-14_00,100796.484
2017-05-14_06,100675.15
2017-05-14_12,100825.69
2017-05-14_18,100960.94
2017-05-15_00,101082.18
2017-05-15_06,100956.49
2017-05-15_12,101041.625
2017-05-15_18,101021.09
2017-05-16_00,101082.664
2017-05-16_06,100956.3
2017-05-16_12,100956.96
2017-05-16_18,100915.28
2017-05-17_00,101096.0
2017-05-17_06,101090.695
2017-05-17_12,101256.59
2017-05-17_18,101329.08
2017-05-18_00,101545.66
2017-05-18_06,101441.164
2017-05-18_12,101401.3
2017-05-18_18,101374.46
2017-05-19_00,101547.95
2017-05-19_06,101311.87
2017-05-19_12,101264.52
2017-05-19_18,101325.54
2017-05-20_00,101548.98
2017-05-20_06,101343.875
2017-05-20_12,101311.03
2017-05-20_18,101355.836
2017-05-21_00,101524.63
2017-05-21_06,101313.41
2017-05-21_12,101334.16
2017-05-21_18,101323.266
2017-05-22_00,101509.64
2017-05-22_06,101387.65
2017-05-22_12,101346.19
2017-05-22_18,101281.766
2017-05-23_00,101199.61
2017-05-23_06,100986.01
2017-05-23_12,100897.09
2017-05-23_18,100758.64
2017-05-24_00,100822.36
2017-05-24_06,100720.53
2017-05-24_12,100773.44
2017-05-24_18,100628.61
2017-05-25_00,100545.73
2017-05-25_06,100178.42
2017-05-25_12,100113.97
2017-05-25_18,100361.81
2017-05-26_00,100553.15
2017-05-26_06,100695.14
2017-05-26_12,100990.6
2017-05-26_18,101019.44
2017-05-27_00,101200.44
2017-05-27_06,101221.66
2017-05-27_12,101299.125
2017-05-27_18,101222.63
2017-05-28_00,101359.57
2017-05-28_06,101117.19
2017-05-28_12,100959.16
2017-05-28_18,100944.68
2017-05-29_00,101206.4
2017-05-29_06,101024.78
2017-05-29_12,101015.48
2017-05-29_18,100921.97
2017-05-30_00,101033.55
2017-05-30_06,100830.734
2017-05-30_12,100735.84
2017-05-30_18,100479.47
2017-05-31_00,100501.61
2017-05-31_06,100199.61
2017-05-31_12,100062.45
2017-05-31_18,99924.484
2017-06-01_00,99935.57
2017-06-01_06,99659.695
2017-06-01_12,99811.79
2017-06-01_18,100071.63
2017-06-02_00,100324.37
2017-06-02_06,100465.555
2017-06-02_12,100668.9
2017-06-02_18,100597.805
2017-06-03_00,100637.984
2017-06-03_06,100672.484
2017-06-03_12,100886.87
2017-06-03_18,100883.13
2017-06-04_00,101061.914
2017-06-04_06,101095.36
2017-06-04_12,101234.984
2017-06-04_18,101331.62
2017-06-05_00,101572.875
2017-06-05_06,101683.55
2017-06-05_12,101835.84
2017-06-05_18,101743.29
2017-06-06_00,101784.25
2017-06-06_06,101524.63
2017-06-06_12,101392.53
2017-06-06_18,100947.44
2017-06-07_00,100631.3
2017-06-07_06,100250.734
2017-06-07_12,100382.03
2017-06-07_18,100509.5
2017-06-08_00,100843.12
2017-06-08_06,100807.03
2017-06-08_12,100803.76
2017-06-08_18,100727.22
2017-06-09_00,100760.13
2017-06-09_06,100512.33
2017-06-09_12,100437.94
2017-06-09_18,100497.484
2017-06-10_00,100735.79
2017-06-10_06,100763.016
2017-06-10_12,100821.875
2017-06-10_18,100668.266
2017-06-11_00,100783.27
2017-06-11_06,100896.22
2017-06-11_12,101178.76
2017-06-11_18,101319.36
2017-06-12_00,101598.09
2017-06-12_06,101605.42
2017-06-12_12,101639.87
2017-06-12_18,101622.46
2017-06-13_00,101629.88
2017-06-13_06,101411.57
2017-06-13_12,101340.234
2017-06-13_18,101149.516
2017-06-14_00,101137.984
2017-06-14_06,100902.86
2017-06-14_12,100744.99
2017-06-14_18,100594.07
2017-06-15_00,100667.164
2017-06-15_06,100591.48
2017-06-15_12,100843.51
2017-06-15_18,100947.414
2017-06-16_00,101184.74
2017-06-16_06,101194.07
2017-06-16_12,101241.28
2017-06-16_18,101193.92
2017-06-17_00,101248.734
2017-06-17_06,101091.31
2017-06-17_12,101088.55
2017-06-17_18,101014.16
2017-06-18_00,101077.414
2017-06-18_06,100967.26
2017-06-18_12,100993.09
2017-06-18_18,100910.89
2017-06-19_00,100978.03
2017-06-19_06,100815.77
2017-06-19_12,100838.234
2017-06-19_18,100727.64
2017-06-20_00,100782.64
2017-06-20_06,100581.16
2017-06-20_12,100450.37
2017-06-20_18,100137.55
2017-06-21_00,100403.56
2017-06-21_06,100586.74
2017-06-21_12,100774.29
2017-06-21_18,100747.14
2017-06-22_00,100852.17
2017-06-22_06,100768.016
2017-06-22_12,100795.12
2017-06-22_18,100736.11
2017-06-23_00,100809.13
2017-06-23_06,100709.96
2017-06-23_12,100607.57
2017-06-23_18,100510.766
2017-06-24_00,100484.28
2017-06-24_06,100221.97
2017-06-24_12,100160.33
2017-06-24_18,100078.836
2017-06-25_00,100192.41
2017-06-25_06,100262.086
2017-06-25_12,100469.336
2017-06-25_18,100594.51
2017-06-26_00,100784.33
2017-06-26_06,100824.24
2017-06-26_12,100932.4
2017-06-26_18,100958.984
2017-06-27_00,101090.43
2017-06-27_06,101040.695
2017-06-27_12,101155.445
2017-06-27_18,101112.28
2017-06-28_00,101256.03
2017-06-28_06,101221.97
2017-06-28_12,101273.484
2017-06-28_18,101209.305
2017-06-29_00,101336.625
2017-06-29_06,101196.66
2017-06-29_12,100996.78
2017-06-29_18,100828.125
2017-06-30_00,100864.19
2017-06-30_06,100713.99
2017-06-30_12,100668.19
2017-06-30_18,100604.445
2017-07-01_00,100751.586
2017-07-01_06,100675.54
2017-07-01_12,100766.67
2017-07-01_18,100791.086
2017-07-02_00,100929.56
2017-07-02_06,100857.42
2017-07-02_12,100875.32
2017-07-02_18,100682.55
2017-07-03_00,100713.695
2017-07-03_06,100622.586
2017-07-03_12,100715.43
2017-07-03_18,100609.08
2017-07-04_00,100575.93
2017-07-04_06,100460.74
2017-07-04_12,100750.266
2017-07-04_18,100836.11
2017-07-05_00,101089.94
2017-07-05_06,101102.805
2017-07-05_12,101162.74
2017-07-05_18,101112.87
2017-07-06_00,101217.945
2017-07-06_06,101102.05
2017-07-06_12,101031.836
2017-07-06_18,100958.33
2017-07-07_00,101031.23
2017-07-07_06,100926.69
2017-07-07_12,100899.02
2017-07-07_18,100753.055
2017-07-08_00,100834.13
2017-07-08_06,100719.19
2017-07-08_12,100729.03
2017-07-08_18,100768.97
2017-07-09_00,100818.04
2017-07-09_06,100634.2
2017-07-09_12,100588.89
2017-07-09_18,100439.97
2017-07-10_00,100454.734
2017-07-10_06,100428.055
2017-07-10_12,100465.65
2017-07-10_18,100316.41
2017-07-11_00,100614.84
2017-07-11_06,100780.93
2017-07-11_12,100816.8
2017-07-11_18,100835.28
2017-07-12_00,100974.805
2017-07-12_06,100847.7
2017-07-12_12,100764.87
2017-07-12_18,100697.85
2017-07-13_00,100792.84
2017-07-13_06,100633.766
2017-07-13_12,100588.72
2017-07-13_18,100618.38
2017-07-14_00,100781.86
2017-07-14_06,100753.47
2017-07-14_12,100884.08
2017-07-14_18,100906.445
2017-07-15_00,101044.05
2017-07-15_06,101022.195
2017-07-15_12,101098.98
2017-07-15_18,101058.33
2017-07-16_00,101221.414
2017-07-16_06,101083.766
2017-07-16_12,101088.305
2017-07-16_18,101101.266
2017-07-17_00,101193.7
2017-07-17_06,101018.58
2017-07-17_12,101041.06
2017-07-17_18,100921.805
2017-07-18_00,101003.81
2017-07-18_06,100783.914
2017-07-18_12,100743.43
2017-07-18_18,100610.01
2017-07-19_00,100703.836
2017-07-19_06,100588.87
2017-07-19_12,100628.32
2017-07-19_18,100628.1
2017-07-20_00,100780.516
2017-07-20_06,100682.47
2017-07-20_12,100725.61
2017-07-20_18,100653.61
2017-07-21_00,100836.74
2017-07-21_06,100765.72
2017-07-21_12,100868.66
2017-07-21_18,100899.63
2017-07-22_00,101048.02
2017-07-22_06,100949.125
2017-07-22_12,100956.3
2017-07-22_18,100676.98
2017-07-23_00,100605.56
2017-07-23_06,100366.87
2017-07-23_12,100381.32
2017-07-23_18,100264.72
2017-07-24_00,100323.61
2017-07-24_06,100225.39
2017-07-24_12,100251.61
2017-07-24_18,100132.35
2017-07-25_00,100300.875
2017-07-25_06,100380.71
2017-07-25_12,100649.734
2017-07-25_18,100707.79
2017-07-26_00,100914.16
2017-07-26_06,100850.875
2017-07-26_12,100860.57
2017-07-26_18,100816.234
2017-07-27_00,100933.836
2017-07-27_06,100802.93
2017-07-27_12,100884.4
2017-07-27_18,100807.91
2017-07-28_00,100902.34
2017-07-28_06,100791.7
2017-07-28_12,100862.33
2017-07-28_18,100791.11
2017-07-29_00,100917.92
2017-07-29_06,100814.21
2017-07-29_12,100837.766
2017-07-29_18,100758.96
2017-07-30_00,100838.72
2017-07-30_06,100693.97
2017-07-30_12,100785.305
2017-07-30_18,100782.3
2017-07-31_00,100907.59
2017-07-31_06,100886.625
2017-07-31_12,101012.33
2017-07-31_18,100980.32
2017-08-01_00,101072.266
2017-08-01_06,100960.62
2017-08-01_12,101034.695
2017-08-01_18,100912.06
2017-08-02_00,100927.76
2017-08-02_06,100779.08
2017-08-02_12,100753.125
2017-08-02_18,100634.94
2017-08-03_00,100717.484
2017-08-03_06,100599.805
2017-08-03_12,100647.02
2017-08-03_18,100582.69
2017-08-04_00,100679.59
2017-08-04_06,100560.11
2017-08-04_12,100507.766
2017-08-04_18,100386.086
2017-08-05_00,100448.9
2017-08-05_06,100321.58
2017-08-05_12,100243.53
2017-08-05_18,100161.7
2017-08-06_00,100168.19
2017-08-06_06,99931.984
2017-08-06_12,99853.95
2017-08-06_18,99695.22
2017-08-07_00,99763.74
2017-08-07_06,99718.734
2017-08-07_12,99863.305
2017-08-07_18,99836.55
2017-08-08_00,99924.83
2017-08-08_06,99883.01
2017-08-08_12,99940.555
2017-08-08_18,99815.11
2017-08-09_00,99779.2
2017-08-09_06,99591.164
2017-08-09_12,99700.56
2017-08-09_18,99674.586
2017-08-10_00,99856.88
2017-08-10_06,99859.08
2017-08-10_12,100049.68
2017-08-10_18,100156.2
2017-08-11_00,100444.266
2017-08-11_06,100571.336
2017-08-11_12,100763.41
2017-08-11_18,100851.3
2017-08-12_00,101041.336
2017-08-12_06,101018.484
2017-08-12_12,101110.64
2017-08-12_18,101042.73
2017-08-13_00,101115.086
2017-08-13_06,101010.16
2017-08-13_12,101037.87
2017-08-13_18,100870.63
2017-08-14_00,100803.91
2017-08-14_06,100601.08
2017-08-14_12,100547.78
2017-08-14_18,100413.67
2017-08-15_00,100429.34
2017-08-15_06,100352.83
2017-08-15_12,100401.86
2017-08-15_18,100310.59
2017-08-16_00,100437.375
2017-08-16_06,100444.53
2017-08-16_12,100614.75
2017-08-16_18,100663.26
2017-08-17_00,100793.92
2017-08-17_06,100722.31
2017-08-17_12,100866.75
2017-08-17_18,100868.04
2017-08-18_00,101081.27
2017-08-18_06,101043.336
2017-08-18_12,101184.86
2017-08-18_18,101190.8
2017-08-19_00,101302.3
2017-08-19_06,101203.27
2017-08-19_12,101245.83
2017-08-19_18,101108.5
2017-08-20_00,101203.3
2017-08-20_06,101059.11
2017-08-20_12,101020.44
2017-08-20_18,100914.016
2017-08-21_00,100928.76
2017-08-21_06,100820.555
2017-08-21_12,100935.01
2017-08-21_18,100946.85
2017-08-22_00,101175.22
2017-08-22_06,101144.484
2017-08-22_12,101248.734
2017-08-22_18,101268.06
2017-08-23_00,101348.875
2017-08-23_06,101062.26
2017-08-23_12,101082.3
2017-08-23_18,100898.0
2017-08-24_00,100802.05
2017-08-24_06,100471.78
2017-08-24_12,100507.96
2017-08-24_18,100512.086
2017-08-25_00,100746.29
2017-08-25_06,100635.695
2017-08-25_12,100713.87
2017-08-25_18,100842.58
2017-08-26_00,101153.0
2017-08-26_06,101196.875
2017-08-26_12,101402.15
2017-08-26_18,101453.47
2017-08-27_00,101600.93
2017-08-27_06,101417.51
2017-08-27_12,101448.24
2017-08-27_18,101212.33
2017-08-28_00,101233.055
2017-08-28_06,100970.31
2017-08-28_12,100959.055
2017-08-28_18,100786.625
2017-08-29_00,101156.88
2017-08-29_06,101099.91
2017-08-29_12,101179.69
2017-08-29_18,101156.62
2017-08-30_00,101170.53
2017-08-30_06,100967.19
2017-08-30_12,101068.9
2017-08-30_18,101007.72
2017-08-31_00,101055.055
2017-08-31_06,100905.664
2017-08-31_12,101042.43
2017-08-31_18,100986.33
2017-09-01_00,101192.36
2017-09-01_06,101118.555
2017-09-01_12,101207.08
2017-09-01_18,101093.31
2017-09-02_00,101223.78
2017-09-02_06,101101.71
2017-09-02_12,101256.125
2017-09-02_18,101268.8
2017-09-03_00,101475.3
2017-09-03_06,101416.89
2017-09-03_12,101572.39
2017-09-03_18,101523.66
2017-09-04_00,101627.93
2017-09-04_06,101459.28
2017-09-04_12,101481.91
2017-09-04_18,101328.0
2017-09-05_00,101241.67
2017-09-05_06,100990.6
2017-09-05_12,100950.44
2017-09-05_18,100772.73
2017-09-06_00,100794.7
2017-09-06_06,100584.79
2017-09-06_12,100639.45
2017-09-06_18,100406.734
2017-09-07_00,100570.61
2017-09-07_06,100532.1
