Date,Average preserature [K]
2017-01-01_00,102789.82
2017-01-01_06,102577.39
2017-01-01_12,102390.41
2017-01-01_18,102129.734
2017-01-02_00,102083.5
2017-01-02_06,101867.12
2017-01-02_12,101934.25
2017-01-02_18,101957.59
2017-01-03_00,102184.08
2017-01-03_06,102058.375
2017-01-03_12,102070.58
2017-01-03_18,102001.05
2017-01-04_00,102177.25
2017-01-04_06,102063.45
2017-01-04_12,102244.66
2017-01-04_18,102332.3
2017-01-05_00,102583.35
2017-01-05_06,102662.96
2017-01-05_12,102870.24
2017-01-05_18,102796.83
2017-01-06_00,102807.72
2017-01-06_06,102516.92
2017-01-06_12,102515.87
2017-01-06_18,102325.37
2017-01-07_00,102268.14
2017-01-07_06,101904.1
2017-01-07_12,101835.25
2017-01-07_18,101564.305
2017-01-08_00,101360.16
2017-01-08_06,100966.43
2017-01-08_12,101013.11
2017-01-08_18,100863.06
2017-01-09_00,101077.664
2017-01-09_06,101186.33
2017-01-09_12,101517.45
2017-01-09_18,101607.69
2017-01-10_00,101809.52
2017-01-10_06,101801.61
2017-01-10_12,102014.58
2017-01-10_18,102107.18
2017-01-11_00,102310.305
2017-01-11_06,101984.79
2017-01-11_12,101977.98
2017-01-11_18,101929.93
2017-01-12_00,101722.24
2017-01-12_06,101221.39
2017-01-12_12,101165.99
2017-01-12_18,101308.57
2017-01-13_00,101446.63
2017-01-13_06,101107.055
2017-01-13_12,101305.984
2017-01-13_18,101594.77
2017-01-14_00,101783.79
2017-01-14_06,101755.3
2017-01-14_12,102057.664
2017-01-14_18,102270.14
2017-01-15_00,102374.78
2017-01-15_06,102119.6
2017-01-15_12,102175.37
2017-01-15_18,102247.53
2017-01-16_00,102470.266
2017-01-16_06,102459.33
2017-01-16_12,102713.65
2017-01-16_18,102910.375
2017-01-17_00,103003.586
2017-01-17_06,102852.02
2017-01-17_12,102888.016
2017-01-17_18,102802.3
2017-01-18_00,102907.74
2017-01-18_06,102593.58
2017-01-18_12,102643.41
2017-01-18_18,102497.56
2017-01-19_00,102418.7
2017-01-19_06,101978.08
2017-01-19_12,101723.85
2017-01-19_18,101241.31
2017-01-20_00,101132.91
2017-01-20_06,101271.61
2017-01-20_12,102163.94
2017-01-20_18,102475.17
2017-01-21_00,102636.06
2017-01-21_06,102283.86
2017-01-21_12,102244.92
2017-01-21_18,102024.24
2017-01-22_00,102132.27
2017-01-22_06,102135.57
2017-01-22_12,102290.53
2017-01-22_18,102351.15
2017-01-23_00,102515.06
2017-01-23_06,102494.21
2017-01-23_12,102715.38
2017-01-23_18,102768.77
2017-01-24_00,102950.15
2017-01-24_06,102942.6
2017-01-24_12,103132.445
2017-01-24_18,103146.14
2017-01-25_00,103188.55
2017-01-25_06,102968.06
2017-01-25_12,102974.805
2017-01-25_18,102930.42
2017-01-26_00,102889.99
2017-01-26_06,102436.234
2017-01-26_12,102249.484
2017-01-26_18,101877.586
2017-01-27_00,102102.17
2017-01-27_06,102290.36
2017-01-27_12,102549.93
2017-01-27_18,102633.13
2017-01-28_00,102686.06
2017-01-28_06,102406.96
2017-01-28_12,102419.484
2017-01-28_18,102125.83
2017-01-29_00,102047.56
2017-01-29_06,101529.0
2017-01-29_12,101296.555
2017-01-29_18,101136.695
2017-01-30_00,101543.6
2017-01-30_06,101792.92
2017-01-30_12,102426.39
2017-01-30_18,102667.336
2017-01-31_00,102703.586
2017-01-31_06,102375.05
2017-01-31_12,102327.27
2017-01-31_18,102165.28
2017-02-01_00,102280.1
2017-02-01_06,102259.79
2017-02-01_12,102507.01
2017-02-01_18,102521.875
2017-02-02_00,102616.41
2017-02-02_06,102249.31
2017-02-02_12,102306.2
2017-02-02_18,102385.55
2017-02-03_00,102542.6
2017-02-03_06,102274.586
2017-02-03_12,102266.7
2017-02-03_18,102170.336
2017-02-04_00,102208.3
2017-02-04_06,101771.46
2017-02-04_12,101697.36
2017-02-04_18,101305.47
2017-02-05_00,101085.64
2017-02-05_06,100674.05
2017-02-05_12,100898.63
2017-02-05_18,101156.25
2017-02-06_00,101485.84
2017-02-06_06,101681.62
2017-02-06_12,102061.4
2017-02-06_18,102223.414
2017-02-07_00,102386.81
2017-02-07_06,102170.24
2017-02-07_12,102223.34
2017-02-07_18,102021.414
2017-02-08_00,101891.53
2017-02-08_06,101403.42
2017-02-08_12,101242.6
2017-02-08_18,100921.83
2017-02-09_00,100838.74
2017-02-09_06,100656.836
2017-02-09_12,100918.12
2017-02-09_18,101109.25
2017-02-10_00,101186.695
2017-02-10_06,101165.67
2017-02-10_12,101419.625
2017-02-10_18,101615.48
2017-02-11_00,101881.445
2017-02-11_06,101976.71
2017-02-11_12,102183.55
2017-02-11_18,102331.64
2017-02-12_00,102544.9
2017-02-12_06,102478.39
2017-02-12_12,102620.9
2017-02-12_18,102706.27
2017-02-13_00,102905.27
2017-02-13_06,102763.74
2017-02-13_12,102775.44
2017-02-13_18,102779.49
2017-02-14_00,102992.14
2017-02-14_06,103014.94
2017-02-14_12,103113.74
2017-02-14_18,102991.26
2017-02-15_00,102977.27
2017-02-15_06,102673.51
2017-02-15_12,102572.56
2017-02-15_18,102329.08
2017-02-16_00,102220.36
2017-02-16_06,101836.695
2017-02-16_12,101763.94
2017-02-16_18,101284.25
2017-02-17_00,101395.61
2017-02-17_06,101588.16
2017-02-17_12,101850.05
2017-02-17_18,101894.31
2017-02-18_00,101995.945
2017-02-18_06,101882.27
2017-02-18_12,102165.19
2017-02-18_18,102246.44
2017-02-19_00,102141.84
2017-02-19_06,101570.51
2017-02-19_12,101152.734
2017-02-19_18,100461.13
2017-02-20_00,100514.45
2017-02-20_06,100902.414
