Date,Average pressure [Pa]
2017-01-01_00,100308.96
2017-01-01_06,100126.22
2017-01-01_12,99946.66
2017-01-01_18,99868.41
2017-01-02_00,99718.266
2017-01-02_06,99530.79
2017-01-02_12,99299.09
2017-01-02_18,99229.08
2017-01-03_00,99269.234
2017-01-03_06,99295.875
2017-01-03_12,99463.55
2017-01-03_18,99579.95
2017-01-04_00,99448.734
2017-01-04_06,98879.86
2017-01-04_12,98407.16
2017-01-04_18,98323.31
2017-01-05_00,98382.57
2017-01-05_06,98461.79
2017-01-05_12,98734.695
2017-01-05_18,99615.19
2017-01-06_00,100438.19
2017-01-06_06,100866.92
2017-01-06_12,100910.79
2017-01-06_18,100891.77
2017-01-07_00,100645.484
2017-01-07_06,100494.73
2017-01-07_12,100323.92
2017-01-07_18,100296.336
2017-01-08_00,100107.81
2017-01-08_06,99904.32
2017-01-08_12,99996.7
2017-01-08_18,100429.47
2017-01-09_00,100778.445
2017-01-09_06,100884.766
2017-01-09_12,100891.67
2017-01-09_18,101028.39
2017-01-10_00,101024.76
2017-01-10_06,101073.09
2017-01-10_12,100994.266
2017-01-10_18,101048.98
2017-01-11_00,101067.336
2017-01-11_06,101049.24
2017-01-11_12,100824.85
2017-01-11_18,100332.664
2017-01-12_00,99632.79
2017-01-12_06,99035.84
2017-01-12_12,98975.76
2017-01-12_18,99100.76
2017-01-13_00,99308.74
2017-01-13_06,99495.336
2017-01-13_12,99604.03
2017-01-13_18,99487.35
2017-01-14_00,99293.945
2017-01-14_06,98970.14
2017-01-14_12,98688.914
2017-01-14_18,98740.06
2017-01-15_00,99149.0
2017-01-15_06,99627.805
2017-01-15_12,100049.195
2017-01-15_18,100461.2
2017-01-16_00,100758.94
2017-01-16_06,100948.78
2017-01-16_12,101111.695
2017-01-16_18,101314.28
2017-01-17_00,101616.086
2017-01-17_06,101872.73
2017-01-17_12,102046.22
2017-01-17_18,102225.734
2017-01-18_00,102360.48
2017-01-18_06,102452.17
2017-01-18_12,102516.45
2017-01-18_18,102631.16
2017-01-19_00,102593.31
2017-01-19_06,102546.83
2017-01-19_12,102378.93
2017-01-19_18,102112.016
2017-01-20_00,101751.266
2017-01-20_06,101427.86
2017-01-20_12,101278.0
2017-01-20_18,101186.89
2017-01-21_00,101002.08
2017-01-21_06,100763.16
2017-01-21_12,100740.625
2017-01-21_18,101051.98
2017-01-22_00,101554.93
2017-01-22_06,101787.52
2017-01-22_12,101781.16
2017-01-22_18,101665.99
2017-01-23_00,101564.67
2017-01-23_06,101435.23
2017-01-23_12,101200.15
2017-01-23_18,100925.805
2017-01-24_00,100688.43
2017-01-24_06,100473.85
2017-01-24_12,100357.445
2017-01-24_18,100442.234
2017-01-25_00,100334.25
2017-01-25_06,100296.97
2017-01-25_12,100659.57
2017-01-25_18,101099.56
2017-01-26_00,101515.38
2017-01-26_06,101747.17
2017-01-26_12,101775.66
2017-01-26_18,101710.01
2017-01-27_00,101232.64
2017-01-27_06,100808.33
2017-01-27_12,100820.24
2017-01-27_18,101113.6
2017-01-28_00,101316.53
2017-01-28_06,101435.086
2017-01-28_12,101462.84
2017-01-28_18,101525.05
2017-01-29_00,101628.81
2017-01-29_06,101820.8
2017-01-29_12,101973.12
2017-01-29_18,102114.82
2017-01-30_00,102221.73
2017-01-30_06,102247.61
2017-01-30_12,102155.3
2017-01-30_18,102057.18
2017-01-31_00,101951.24
2017-01-31_06,101827.0
2017-01-31_12,101653.055
2017-01-31_18,101541.45
2017-02-01_00,101399.63
2017-02-01_06,101375.414
2017-02-01_12,101372.24
2017-02-01_18,101474.22
2017-02-02_00,101494.14
2017-02-02_06,101487.59
2017-02-02_12,101397.22
2017-02-02_18,101252.34
2017-02-03_00,101023.85
2017-02-03_06,100666.77
2017-02-03_12,100206.94
2017-02-03_18,99798.85
2017-02-04_00,99484.47
2017-02-04_06,99454.27
2017-02-04_12,99569.234
2017-02-04_18,99758.984
2017-02-05_00,99818.45
2017-02-05_06,99882.64
2017-02-05_12,99914.26
2017-02-05_18,100006.64
2017-02-06_00,100178.03
2017-02-06_06,100390.21
2017-02-06_12,100727.02
2017-02-06_18,101090.99
2017-02-07_00,101364.16
2017-02-07_06,101609.305
2017-02-07_12,101754.984
2017-02-07_18,102004.62
2017-02-08_00,102168.09
2017-02-08_06,102317.09
2017-02-08_12,102404.71
2017-02-08_18,102566.36
2017-02-09_00,102675.85
2017-02-09_06,102798.24
2017-02-09_12,102744.68
2017-02-09_18,102683.86
2017-02-10_00,102637.87
2017-02-10_06,102581.3
2017-02-10_12,102492.28
2017-02-10_18,102439.305
2017-02-11_00,102461.13
2017-02-11_06,102480.23
2017-02-11_12,102551.91
2017-02-11_18,102598.44
2017-02-12_00,102648.414
2017-02-12_06,102705.34
2017-02-12_12,102664.26
2017-02-12_18,102539.48
2017-02-13_00,102397.85
2017-02-13_06,102312.18
2017-02-13_12,102151.61
2017-02-13_18,101890.43
2017-02-14_00,101482.766
2017-02-14_06,100964.94
2017-02-14_12,100495.38
2017-02-14_18,100662.74
2017-02-15_00,100915.945
2017-02-15_06,101195.77
2017-02-15_12,101520.61
2017-02-15_18,101921.266
2017-02-16_00,102031.69
2017-02-16_06,102027.71
2017-02-16_12,101797.53
2017-02-16_18,101540.5
2017-02-17_00,101181.94
2017-02-17_06,100828.0
2017-02-17_12,100582.08
2017-02-17_18,100530.25
2017-02-18_00,100427.586
2017-02-18_06,100389.695
2017-02-18_12,100432.766
2017-02-18_18,100668.7
2017-02-19_00,100880.516
2017-02-19_06,101049.805
2017-02-19_12,101027.34
2017-02-19_18,100867.38
2017-02-20_00,100771.484
2017-02-20_06,100596.555
2017-02-20_12,100348.34
2017-02-20_18,99959.81
2017-02-21_00,99464.695
2017-02-21_06,98858.79
2017-02-21_12,98488.26
2017-02-21_18,98381.4
2017-02-22_00,98442.45
2017-02-22_06,98640.016
2017-02-22_12,98937.984
2017-02-22_18,98856.42
2017-02-23_00,98258.445
2017-02-23_06,98001.516
2017-02-23_12,98316.82
2017-02-23_18,98645.83
2017-02-24_00,98711.35
2017-02-24_06,98202.64
2017-02-24_12,98103.15
2017-02-24_18,98442.84
2017-02-25_00,98749.68
2017-02-25_06,99577.586
2017-02-25_12,99763.5
2017-02-25_18,100079.34
2017-02-26_00,100444.99
2017-02-26_06,100641.87
2017-02-26_12,100426.83
2017-02-26_18,100065.21
2017-02-27_00,99895.66
2017-02-27_06,99930.71
2017-02-27_12,100082.27
2017-02-27_18,100251.1
2017-02-28_00,100304.23
2017-02-28_06,100302.15
2017-02-28_12,100073.46
2017-02-28_18,99947.805
2017-03-01_00,99851.66
2017-03-01_06,99706.445
2017-03-01_12,99474.586
2017-03-01_18,99324.586
2017-03-02_00,99274.63
2017-03-02_06,99317.06
2017-03-02_12,99591.945
2017-03-02_18,99712.52
2017-03-03_00,99630.125
2017-03-03_06,99796.22
2017-03-03_12,99986.79
2017-03-03_18,100268.41
2017-03-04_00,100485.45
2017-03-04_06,100647.875
2017-03-04_12,100434.914
2017-03-04_18,100255.93
2017-03-05_00,100165.945
2017-03-05_06,100077.22
2017-03-05_12,99966.7
2017-03-05_18,99921.7
2017-03-06_00,99838.16
2017-03-06_06,99643.99
2017-03-06_12,99385.64
2017-03-06_18,99352.76
2017-03-07_00,99272.0
2017-03-07_06,99357.08
2017-03-07_12,99875.05
2017-03-07_18,100389.99
2017-03-08_00,100706.18
2017-03-08_06,100999.875
2017-03-08_12,101116.164
2017-03-08_18,101164.67
2017-03-09_00,101087.766
2017-03-09_06,101054.37
2017-03-09_12,100794.21
2017-03-09_18,100568.53
2017-03-10_00,100305.62
2017-03-10_06,100264.67
2017-03-10_12,100198.85
2017-03-10_18,100276.37
2017-03-11_00,100299.83
2017-03-11_06,100296.44
2017-03-11_12,100132.16
2017-03-11_18,100207.79
2017-03-12_00,100140.84
2017-03-12_06,100302.83
2017-03-12_12,100441.82
2017-03-12_18,100567.555
