Date,Average temperature [K]
2018-01-01_00,286.43063
2018-01-01_06,285.86322
2018-01-01_12,286.9724
2018-01-01_18,285.54724
2018-01-02_00,286.44922
2018-01-02_06,287.75208
2018-01-02_12,287.02332
2018-01-02_18,289.1643
2018-01-03_00,286.29642
2018-01-03_06,285.38312
2018-01-03_12,285.2208
2018-01-03_18,285.77582
2018-01-04_00,284.28265
2018-01-04_06,286.14703
2018-01-04_12,285.7632
2018-01-04_18,285.29517
2018-01-05_00,285.24847
2018-01-05_06,287.302
2018-01-05_12,284.8164
2018-01-05_18,285.05927
2018-01-06_00,288.27368
2018-01-06_06,287.48157
2018-01-06_12,285.65894
2018-01-06_18,286.1253
2018-01-07_00,283.87238
2018-01-07_06,287.04102
2018-01-07_12,286.57574
2018-01-07_18,287.39392
2018-01-08_00,289.80542
2018-01-08_06,291.5526
2018-01-08_12,291.9475
2018-01-08_18,292.1886
2018-01-09_00,291.92468
2018-01-09_06,288.749
2018-01-09_12,286.17108
2018-01-09_18,284.74683
2018-01-10_00,288.94012
2018-01-10_06,287.0653
2018-01-10_12,285.5171
2018-01-10_18,285.67667
2018-01-11_00,286.2118
2018-01-11_06,286.2836
2018-01-11_12,285.1059
2018-01-11_18,284.15393
2018-01-12_00,284.15192
2018-01-12_06,281.57565
2018-01-12_12,282.09164
2018-01-12_18,282.55206
2018-01-13_00,283.3425
2018-01-13_06,284.37762
2018-01-13_12,283.4206
2018-01-13_18,282.74954
2018-01-14_00,284.61664
2018-01-14_06,285.06067
2018-01-14_12,284.4773
2018-01-14_18,287.5144
2018-01-15_00,285.30023
2018-01-15_06,287.37012
2018-01-15_12,287.07495
2018-01-15_18,287.69208
2018-01-16_00,288.71765
2018-01-16_06,291.09692
2018-01-16_12,289.86545
2018-01-16_18,288.91223
2018-01-17_00,292.57697
2018-01-17_06,293.1401
2018-01-17_12,291.47308
2018-01-17_18,290.04514
2018-01-18_00,290.30997
2018-01-18_06,289.99463
2018-01-18_12,287.96753
2018-01-18_18,287.59113
2018-01-19_00,287.92514
2018-01-19_06,289.6675
2018-01-19_12,286.78085
2018-01-19_18,288.9491
2018-01-20_00,286.96283
2018-01-20_06,288.32767
2018-01-20_12,287.3709
2018-01-20_18,287.24902
2018-01-21_00,288.50623
2018-01-21_06,289.27182
2018-01-21_12,286.93866
2018-01-21_18,286.82135
2018-01-22_00,288.0401
2018-01-22_06,289.06912
2018-01-22_12,291.599
2018-01-22_18,286.66727
2018-01-23_00,287.54156
2018-01-23_06,287.8896
2018-01-23_12,287.18005
2018-01-23_18,288.09232
2018-01-24_00,287.1505
2018-01-24_06,285.6387
2018-01-24_12,284.56964
2018-01-24_18,282.16852
2018-01-25_00,281.3952
2018-01-25_06,281.88165
2018-01-25_12,283.3059
2018-01-25_18,284.18768
2018-01-26_00,284.32925
2018-01-26_06,285.1723
2018-01-26_12,284.65247
2018-01-26_18,280.961
2018-01-27_00,280.97754
2018-01-27_06,282.83228
2018-01-27_12,285.2091
2018-01-27_18,284.2928
2018-01-28_00,283.37448
2018-01-28_06,286.35394
2018-01-28_12,287.13736
2018-01-28_18,288.97174
2018-01-29_00,286.49976
2018-01-29_06,285.1665
2018-01-29_12,285.17493
2018-01-29_18,285.64026
2018-01-30_00,283.5153
2018-01-30_06,284.8349
2018-01-30_12,284.54388
2018-01-30_18,283.995
2018-01-31_00,286.27155
2018-01-31_06,288.18646
2018-01-31_12,284.34525
2018-01-31_18,285.42957
2018-02-01_00,286.27954
2018-02-01_06,288.16742
2018-02-01_12,288.82727
2018-02-01_18,287.76413
2018-02-02_00,288.33676
2018-02-02_06,288.7657
2018-02-02_12,286.88693
2018-02-02_18,288.89767
2018-02-03_00,287.7866
2018-02-03_06,286.48944
2018-02-03_12,287.21155
2018-02-03_18,286.13126
2018-02-04_00,287.68988
2018-02-04_06,285.792
2018-02-04_12,284.23602
2018-02-04_18,283.24335
2018-02-05_00,283.84976
2018-02-05_06,285.41742
2018-02-05_12,284.57092
2018-02-05_18,283.47675
2018-02-06_00,283.18213
2018-02-06_06,284.3156
2018-02-06_12,283.68243
2018-02-06_18,283.01938
2018-02-07_00,283.06012
2018-02-07_06,283.72562
2018-02-07_12,282.08173
2018-02-07_18,281.3092
2018-02-08_00,284.44827
2018-02-08_06,285.65533
2018-02-08_12,284.50598
2018-02-08_18,283.35272
2018-02-09_00,286.80554
2018-02-09_06,286.65454
2018-02-09_12,284.81445
2018-02-09_18,285.51
2018-02-10_00,286.54065
2018-02-10_06,288.60928
2018-02-10_12,290.30698
2018-02-10_18,291.62088
2018-02-11_00,287.62708
2018-02-11_06,287.6018
2018-02-11_12,285.79498
2018-02-11_18,282.87543
2018-02-12_00,283.23083
2018-02-12_06,283.27145
2018-02-12_12,283.27084
2018-02-12_18,283.32507
2018-02-13_00,282.18488
2018-02-13_06,283.8432
2018-02-13_12,284.41107
2018-02-13_18,283.89447
2018-02-14_00,286.48236
2018-02-14_06,287.3296
2018-02-14_12,287.4013
2018-02-14_18,288.8153
2018-02-15_00,289.4525
2018-02-15_06,290.5208
2018-02-15_12,290.42035
2018-02-15_18,288.16003
2018-02-16_00,288.6294
2018-02-16_06,289.6618
2018-02-16_12,284.88544
2018-02-16_18,287.11032
2018-02-17_00,288.3601
2018-02-17_06,288.54684
2018-02-17_12,285.27954
2018-02-17_18,283.39212
2018-02-18_00,282.2484
2018-02-18_06,284.43292
2018-02-18_12,284.44153
2018-02-18_18,286.06976
2018-02-19_00,286.5904
2018-02-19_06,287.0537
2018-02-19_12,286.30786
2018-02-19_18,285.6936
2018-02-20_00,284.6329
2018-02-20_06,286.33142
2018-02-20_12,287.45978
2018-02-20_18,285.86954
2018-02-21_00,288.09915
2018-02-21_06,283.81244
2018-02-21_12,285.17758
2018-02-21_18,285.00348
2018-02-22_00,286.92496
2018-02-22_06,288.0214
2018-02-22_12,287.63272
2018-02-22_18,286.24048
2018-02-23_00,285.83118
2018-02-23_06,287.61707
2018-02-23_12,284.53723
2018-02-23_18,285.16864
2018-02-24_00,285.716
2018-02-24_06,287.61423
2018-02-24_12,286.1226
2018-02-24_18,289.48187
2018-02-25_00,286.9551
2018-02-25_06,287.7511
2018-02-25_12,285.96912
2018-02-25_18,286.3462
2018-02-26_00,285.526
2018-02-26_06,287.44775
2018-02-26_12,287.53256
2018-02-26_18,286.544
2018-02-27_00,287.8634
2018-02-27_06,289.60803
2018-02-27_12,287.69415
2018-02-27_18,288.8045
2018-02-28_00,290.44287
2018-02-28_06,290.3508
2018-02-28_12,291.01294
2018-02-28_18,290.7691
2018-03-01_00,292.7331
2018-03-01_06,289.58838
2018-03-01_12,290.70456
2018-03-01_18,290.13794
2018-03-02_00,286.39307
2018-03-02_06,287.12805
2018-03-02_12,286.27933
2018-03-02_18,288.22247
2018-03-03_00,289.18924
2018-03-03_06,290.5534
2018-03-03_12,289.39435
2018-03-03_18,288.24152
2018-03-04_00,289.63705
2018-03-04_06,294.6749
2018-03-04_12,291.578
2018-03-04_18,291.38843
2018-03-05_00,292.22217
2018-03-05_06,292.51743
2018-03-05_12,292.88202
2018-03-05_18,292.5219
2018-03-06_00,290.6117
2018-03-06_06,289.48962
2018-03-06_12,287.30536
2018-03-06_18,288.36224
2018-03-07_00,287.8525
2018-03-07_06,287.9101
2018-03-07_12,287.04312
2018-03-07_18,288.6076
2018-03-08_00,289.6162
2018-03-08_06,292.59906
2018-03-08_12,292.81873
2018-03-08_18,291.9562
2018-03-09_00,292.38782
2018-03-09_06,289.57407
2018-03-09_12,287.1881
2018-03-09_18,286.09308
2018-03-10_00,287.87338
2018-03-10_06,289.49463
2018-03-10_12,288.69043
2018-03-10_18,288.43176
2018-03-11_00,289.15753
2018-03-11_06,290.4596
2018-03-11_12,287.78378
2018-03-11_18,288.5664
2018-03-12_00,287.39746
2018-03-12_06,288.3808
2018-03-12_12,287.47998
2018-03-12_18,289.01712
2018-03-13_00,289.03073
2018-03-13_06,292.10864
2018-03-13_12,290.25842
2018-03-13_18,289.5452
2018-03-14_00,291.0043
2018-03-14_06,294.10858
2018-03-14_12,292.81555
2018-03-14_18,290.36484
2018-03-15_00,291.159
2018-03-15_06,291.60938
2018-03-15_12,292.1823
2018-03-15_18,292.1104
2018-03-16_00,291.98688
2018-03-16_06,292.3509
2018-03-16_12,291.43005
2018-03-16_18,288.35345
2018-03-17_00,290.57346
2018-03-17_06,288.84802
2018-03-17_12,286.71667
2018-03-17_18,288.8191
2018-03-18_00,288.66318
2018-03-18_06,290.4957
2018-03-18_12,289.8076
2018-03-18_18,290.41812
2018-03-19_00,291.5644
2018-03-19_06,291.8382
2018-03-19_12,290.67358
2018-03-19_18,291.4137
2018-03-20_00,293.33093
2018-03-20_06,293.4732
2018-03-20_12,291.19745
2018-03-20_18,290.50958
2018-03-21_00,289.7074
2018-03-21_06,293.6538
2018-03-21_12,292.89252
2018-03-21_18,293.56213
2018-03-22_00,291.50632
2018-03-22_06,290.94824
2018-03-22_12,289.06726
2018-03-22_18,288.06793
2018-03-23_00,289.87122
2018-03-23_06,288.94788
2018-03-23_12,287.68295
2018-03-23_18,288.3872
2018-03-24_00,289.7323
2018-03-24_06,289.8592
2018-03-24_12,289.36908
2018-03-24_18,290.5869
2018-03-25_00,291.50507
2018-03-25_06,291.4004
2018-03-25_12,291.58612
2018-03-25_18,288.86853
2018-03-26_00,291.48547
2018-03-26_06,293.28485
2018-03-26_12,291.71075
2018-03-26_18,290.04874
2018-03-27_00,292.61188
2018-03-27_06,294.7579
2018-03-27_12,292.5755
2018-03-27_18,290.84375
2018-03-28_00,292.38257
2018-03-28_06,292.57996
2018-03-28_12,291.72534
2018-03-28_18,290.472
2018-03-29_00,291.62482
2018-03-29_06,294.2367
2018-03-29_12,291.6666
2018-03-29_18,292.12265
2018-03-30_00,290.63293
2018-03-30_06,291.87497
2018-03-30_12,289.2083
2018-03-30_18,289.02423
2018-03-31_00,288.22778
2018-03-31_06,290.92072
2018-03-31_12,289.89807
2018-03-31_18,288.76132
2018-04-01_00,290.74573
2018-04-01_06,290.6536
2018-04-01_12,291.92285
2018-04-01_18,291.2605
2018-04-02_00,292.71362
2018-04-02_06,292.38867
2018-04-02_12,292.53168
2018-04-02_18,292.26605
2018-04-03_00,293.01624
2018-04-03_06,293.2287
2018-04-03_12,291.6966
2018-04-03_18,292.65698
2018-04-04_00,292.98248
2018-04-04_06,294.23947
2018-04-04_12,294.48218
2018-04-04_18,293.03314
2018-04-05_00,292.75073
2018-04-05_06,293.84436
2018-04-05_12,292.301
2018-04-05_18,291.55664
2018-04-06_00,293.07074
2018-04-06_06,293.01163
2018-04-06_12,294.02863
2018-04-06_18,292.1021
2018-04-07_00,292.4904
2018-04-07_06,289.40814
2018-04-07_12,290.92737
2018-04-07_18,288.22534
2018-04-08_00,289.83215
2018-04-08_06,290.37537
2018-04-08_12,288.4189
2018-04-08_18,288.3079
2018-04-09_00,289.72092
2018-04-09_06,291.60614
2018-04-09_12,291.303
2018-04-09_18,290.5829
2018-04-10_00,292.44113
2018-04-10_06,292.98065
2018-04-10_12,292.13538
2018-04-10_18,291.66833
2018-04-11_00,292.91138
2018-04-11_06,294.77048
2018-04-11_12,294.58472
2018-04-11_18,293.79556
2018-04-12_00,293.2037
2018-04-12_06,293.2295
2018-04-12_12,293.11105
2018-04-12_18,291.40027
2018-04-13_00,293.6831
2018-04-13_06,294.1632
2018-04-13_12,290.79596
2018-04-13_18,291.6671
