Date,Average temperature [K]
2016-01-01_00,282.0274
2016-01-01_06,280.47403
2016-01-01_12,279.49292
2016-01-01_18,279.31647
2016-01-02_00,279.87915
2016-01-02_06,278.67493
2016-01-02_12,277.38483
2016-01-02_18,277.13123
2016-01-03_00,278.3468
2016-01-03_06,279.14337
2016-01-03_12,281.16068
2016-01-03_18,283.23853
2016-01-04_00,281.13403
2016-01-04_06,279.61453
2016-01-04_12,279.49728
2016-01-04_18,277.9707
2016-01-05_00,276.47552
2016-01-05_06,274.03894
2016-01-05_12,272.3202
2016-01-05_18,272.23535
2016-01-06_00,273.70123
2016-01-06_06,274.63928
2016-01-06_12,276.6264
2016-01-06_18,278.6275
2016-01-07_00,279.81274
2016-01-07_06,280.46432
2016-01-07_12,280.06085
2016-01-07_18,280.08072
2016-01-08_00,279.60254
2016-01-08_06,279.7118
2016-01-08_12,280.02426
2016-01-08_18,280.1955
2016-01-09_00,280.31903
2016-01-09_06,280.1856
2016-01-09_12,280.7442
2016-01-09_18,281.6767
2016-01-10_00,282.002
2016-01-10_06,281.71246
2016-01-10_12,284.66446
2016-01-10_18,285.70395
2016-01-11_00,287.19623
2016-01-11_06,285.15536
2016-01-11_12,280.705
2016-01-11_18,277.5918
2016-01-12_00,277.11557
2016-01-12_06,275.58704
2016-01-12_12,274.60464
2016-01-12_18,278.25977
2016-01-13_00,279.22455
2016-01-13_06,279.075
2016-01-13_12,274.9746
2016-01-13_18,274.09253
2016-01-14_00,274.1137
2016-01-14_06,272.66214
2016-01-14_12,273.428
2016-01-14_18,274.35355
2016-01-15_00,276.00873
2016-01-15_06,276.57208
2016-01-15_12,277.17126
2016-01-15_18,279.9447
2016-01-16_00,281.5125
2016-01-16_06,282.93475
2016-01-16_12,283.0167
2016-01-16_18,279.70233
2016-01-17_00,278.75375
2016-01-17_06,280.73474
2016-01-17_12,279.36676
2016-01-17_18,278.3318
2016-01-18_00,278.5805
2016-01-18_06,277.3119
2016-01-18_12,276.8916
2016-01-18_18,274.54932
2016-01-19_00,272.15576
2016-01-19_06,271.31262
2016-01-19_12,271.03033
2016-01-19_18,271.9914
2016-01-20_00,273.2271
2016-01-20_06,272.31494
2016-01-20_12,272.6183
2016-01-20_18,273.91827
2016-01-21_00,275.40955
2016-01-21_06,274.5924
2016-01-21_12,273.73764
2016-01-21_18,273.51886
2016-01-22_00,274.714
2016-01-22_06,273.4497
2016-01-22_12,272.19153
2016-01-22_18,272.88965
2016-01-23_00,274.3528
2016-01-23_06,275.66144
2016-01-23_12,275.75504
2016-01-23_18,276.3748
2016-01-24_00,276.64532
2016-01-24_06,276.10974
2016-01-24_12,276.23026
2016-01-24_18,275.9591
2016-01-25_00,276.31934
2016-01-25_06,276.13022
2016-01-25_12,276.58893
2016-01-25_18,276.9029
2016-01-26_00,277.6025
2016-01-26_06,279.45865
2016-01-26_12,281.83972
2016-01-26_18,283.0963
2016-01-27_00,284.49365
2016-01-27_06,281.9161
2016-01-27_12,281.1353
2016-01-27_18,279.05127
2016-01-28_00,279.59415
2016-01-28_06,278.5125
2016-01-28_12,277.78058
2016-01-28_18,278.88336
2016-01-29_00,279.49228
2016-01-29_06,280.18127
2016-01-29_12,279.62152
2016-01-29_18,277.03702
2016-01-30_00,278.37146
2016-01-30_06,277.94098
2016-01-30_12,277.68503
2016-01-30_18,277.06967
2016-01-31_00,278.295
2016-01-31_06,280.6552
2016-01-31_12,281.2188
2016-01-31_18,282.9305
2016-02-01_00,282.04755
2016-02-01_06,283.07785
2016-02-01_12,283.30176
2016-02-01_18,281.37012
2016-02-02_00,279.2458
2016-02-02_06,280.41092
2016-02-02_12,279.45398
2016-02-02_18,279.89667
2016-02-03_00,279.39172
2016-02-03_06,279.1277
2016-02-03_12,280.13696
2016-02-03_18,282.0722
2016-02-04_00,283.6573
2016-02-04_06,284.9085
2016-02-04_12,283.99432
2016-02-04_18,283.91074
2016-02-05_00,280.67432
2016-02-05_06,280.49182
2016-02-05_12,282.04678
2016-02-05_18,277.58405
2016-02-06_00,276.20514
2016-02-06_06,274.83002
2016-02-06_12,274.97504
2016-02-06_18,275.4135
2016-02-07_00,276.76163
2016-02-07_06,277.84122
2016-02-07_12,278.5347
2016-02-07_18,278.86542
2016-02-08_00,278.97888
2016-02-08_06,278.87766
2016-02-08_12,276.4515
2016-02-08_18,275.54462
2016-02-09_00,275.1313
2016-02-09_06,274.7088
2016-02-09_12,275.19965
2016-02-09_18,275.3905
2016-02-10_00,275.17795
2016-02-10_06,275.45837
2016-02-10_12,275.5137
2016-02-10_18,275.0283
2016-02-11_00,275.31696
2016-02-11_06,277.17847
2016-02-11_12,275.48645
2016-02-11_18,273.3484
2016-02-12_00,271.63266
2016-02-12_06,268.41025
2016-02-12_12,267.25497
2016-02-12_18,268.07086
2016-02-13_00,270.70166
2016-02-13_06,270.74048
2016-02-13_12,271.5918
2016-02-13_18,271.64102
2016-02-14_00,268.3793
2016-02-14_06,262.24042
2016-02-14_12,260.20468
2016-02-14_18,263.66272
2016-02-15_00,266.1736
2016-02-15_06,267.2599
2016-02-15_12,268.38776
2016-02-15_18,270.4098
2016-02-16_00,276.6383
2016-02-16_06,282.08417
2016-02-16_12,283.4378
2016-02-16_18,283.94568
2016-02-17_00,283.9001
2016-02-17_06,281.30054
2016-02-17_12,279.36264
2016-02-17_18,277.40863
2016-02-18_00,277.3371
2016-02-18_06,277.6327
2016-02-18_12,277.00598
2016-02-18_18,275.95468
2016-02-19_00,275.92157
2016-02-19_06,275.8995
2016-02-19_12,275.3692
2016-02-19_18,275.95502
2016-02-20_00,275.42426
2016-02-20_06,278.0365
2016-02-20_12,280.90314
2016-02-20_18,282.79797
2016-02-21_00,281.01077
2016-02-21_06,281.66107
2016-02-21_12,281.10577
2016-02-21_18,280.91278
2016-02-22_00,279.78558
2016-02-22_06,279.67877
2016-02-22_12,278.12085
2016-02-22_18,277.79117
2016-02-23_00,276.12643
2016-02-23_06,275.81705
2016-02-23_12,275.78772
2016-02-23_18,276.8755
2016-02-24_00,278.28656
2016-02-24_06,280.1996
2016-02-24_12,281.03903
2016-02-24_18,283.22742
2016-02-25_00,284.0235
2016-02-25_06,284.5351
2016-02-25_12,285.66562
2016-02-25_18,283.13208
2016-02-26_00,281.58936
2016-02-26_06,279.2482
2016-02-26_12,277.51443
2016-02-26_18,276.32812
2016-02-27_00,276.03674
2016-02-27_06,273.40024
2016-02-27_12,272.2079
2016-02-27_18,272.4985
2016-02-28_00,275.02472
2016-02-28_06,277.80957
2016-02-28_12,279.31293
2016-02-28_18,279.5981
2016-02-29_00,281.34686
2016-02-29_06,282.02036
2016-02-29_12,282.86124
2016-02-29_18,283.2429
2016-03-01_00,280.25226
2016-03-01_06,280.66174
2016-03-01_12,280.276
2016-03-01_18,276.95325
2016-03-02_00,277.66852
2016-03-02_06,281.0923
2016-03-02_12,284.1515
2016-03-02_18,281.0223
2016-03-03_00,278.01242
2016-03-03_06,273.87006
2016-03-03_12,271.54056
2016-03-03_18,271.6525
2016-03-04_00,272.62952
2016-03-04_06,274.02496
2016-03-04_12,274.2434
2016-03-04_18,276.06396
2016-03-05_00,277.0966
2016-03-05_06,275.62003
2016-03-05_12,275.41357
2016-03-05_18,274.27887
2016-03-06_00,273.95178
2016-03-06_06,274.56598
2016-03-06_12,275.4216
2016-03-06_18,275.66464
2016-03-07_00,275.37677
2016-03-07_06,275.78986
2016-03-07_12,276.30453
2016-03-07_18,277.3864
2016-03-08_00,279.49966
2016-03-08_06,279.42987
2016-03-08_12,279.14383
2016-03-08_18,279.09723
2016-03-09_00,278.66907
2016-03-09_06,278.9476
2016-03-09_12,279.93088
2016-03-09_18,281.8936
2016-03-10_00,282.0415
2016-03-10_06,280.12323
2016-03-10_12,280.19946
2016-03-10_18,281.22446
2016-03-11_00,280.62122
2016-03-11_06,279.98773
2016-03-11_12,279.91574
2016-03-11_18,279.24393
2016-03-12_00,277.93097
2016-03-12_06,278.9472
2016-03-12_12,279.45624
2016-03-12_18,280.63687
2016-03-13_00,280.87274
2016-03-13_06,281.62338
2016-03-13_12,281.2515
2016-03-13_18,280.7161
2016-03-14_00,279.99597
2016-03-14_06,280.55334
2016-03-14_12,279.0011
2016-03-14_18,279.09894
2016-03-15_00,280.20087
2016-03-15_06,281.17365
2016-03-15_12,281.93582
2016-03-15_18,282.68445
2016-03-16_00,282.24
2016-03-16_06,280.94263
2016-03-16_12,278.96875
2016-03-16_18,278.53064
2016-03-17_00,278.92908
2016-03-17_06,279.13037
2016-03-17_12,279.0237
2016-03-17_18,278.67035
2016-03-18_00,279.84375
2016-03-18_06,280.69467
2016-03-18_12,281.17337
2016-03-18_18,280.7403
2016-03-19_00,280.05878
2016-03-19_06,278.43176
2016-03-19_12,277.02258
2016-03-19_18,275.97388
2016-03-20_00,276.34918
2016-03-20_06,276.9717
2016-03-20_12,276.26355
2016-03-20_18,276.28296
2016-03-21_00,276.4632
2016-03-21_06,277.83667
2016-03-21_12,276.36536
2016-03-21_18,275.943
2016-03-22_00,277.03278
2016-03-22_06,278.34473
2016-03-22_12,277.19998
2016-03-22_18,277.04282
2016-03-23_00,278.78723
2016-03-23_06,280.5715
2016-03-23_12,281.76727
2016-03-23_18,280.91608
2016-03-24_00,280.5545
2016-03-24_06,279.49857
2016-03-24_12,279.7627
2016-03-24_18,279.66727
2016-03-25_00,281.3365
2016-03-25_06,284.005
2016-03-25_12,283.89896
2016-03-25_18,283.97412
2016-03-26_00,283.01526
2016-03-26_06,280.52716
2016-03-26_12,278.74484
2016-03-26_18,277.68506
2016-03-27_00,277.06702
2016-03-27_06,278.0808
2016-03-27_12,277.3073
2016-03-27_18,278.46948
2016-03-28_00,278.2756
2016-03-28_06,278.76343
2016-03-28_12,279.15045
2016-03-28_18,281.89005
2016-03-29_00,280.42975
2016-03-29_06,280.2159
2016-03-29_12,280.18115
2016-03-29_18,280.40414
2016-03-30_00,279.7876
2016-03-30_06,278.72968
2016-03-30_12,278.36243
2016-03-30_18,278.31525
2016-03-31_00,279.76093
2016-03-31_06,281.95044
2016-03-31_12,282.68665
2016-03-31_18,283.5076
2016-04-01_00,283.51895
2016-04-01_06,284.00458
2016-04-01_12,284.86664
2016-04-01_18,285.04578
2016-04-02_00,284.7411
2016-04-02_06,283.20465
2016-04-02_12,280.91635
2016-04-02_18,280.40997
2016-04-03_00,280.16956
2016-04-03_06,280.18555
2016-04-03_12,279.67334
2016-04-03_18,276.254
2016-04-04_00,276.29108
2016-04-04_06,274.74243
2016-04-04_12,275.47256
2016-04-04_18,279.78436
2016-04-05_00,279.123
2016-04-05_06,275.9588
2016-04-05_12,275.62927
2016-04-05_18,273.625
2016-04-06_00,273.31195
2016-04-06_06,274.79196
2016-04-06_12,275.25317
2016-04-06_18,275.575
2016-04-07_00,278.18805
2016-04-07_06,281.60712
2016-04-07_12,282.9525
2016-04-07_18,284.37537
2016-04-08_00,283.802
2016-04-08_06,282.14215
2016-04-08_12,281.7973
2016-04-08_18,281.85083
2016-04-09_00,280.53882
2016-04-09_06,278.80328
2016-04-09_12,277.7245
2016-04-09_18,277.90253
2016-04-10_00,277.32202
2016-04-10_06,276.52063
2016-04-10_12,276.2613
2016-04-10_18,276.74033
2016-04-11_00,278.04657
2016-04-11_06,279.18585
2016-04-11_12,280.08148
2016-04-11_18,281.91476
2016-04-12_00,282.6982
2016-04-12_06,283.17093
2016-04-12_12,283.30963
2016-04-12_18,282.8412
2016-04-13_00,281.84802
2016-04-13_06,279.46832
