Date,Average temperature [K]
2012-02-27_00,296.7118
2012-02-27_06,292.4735
2012-02-27_12,292.14944
2012-02-27_18,302.84686
2012-02-28_00,296.38245
2012-02-28_06,292.45728
2012-02-28_12,291.55438
2012-02-28_18,301.41565
2012-02-29_00,295.9644
2012-02-29_06,292.78888
2012-02-29_12,291.7691
2012-02-29_18,303.25574
2012-03-01_00,295.64618
2012-03-01_06,293.83362
2012-03-01_12,291.60553
2012-03-01_18,303.07098
2012-03-02_00,296.766
2012-03-02_06,293.73395
2012-03-02_12,292.07077
2012-03-02_18,303.6751
2012-03-03_00,297.75427
2012-03-03_06,294.09088
2012-03-03_12,293.27075
2012-03-03_18,305.7518
2012-03-04_00,299.2318
2012-03-04_06,294.33417
2012-03-04_12,292.91895
2012-03-04_18,304.06244
2012-03-05_00,298.0735
2012-03-05_06,294.66895
2012-03-05_12,293.7594
2012-03-05_18,304.20856
2012-03-06_00,296.39194
2012-03-06_06,294.09546
2012-03-06_12,293.53485
2012-03-06_18,302.79984
2012-03-07_00,295.7834
2012-03-07_06,292.9335
2012-03-07_12,292.3465
2012-03-07_18,302.73608
2012-03-08_00,295.3769
2012-03-08_06,291.58765
2012-03-08_12,290.86108
2012-03-08_18,304.01526
2012-03-09_00,296.64038
2012-03-09_06,292.54413
2012-03-09_12,291.58203
2012-03-09_18,303.72467
2012-03-10_00,295.86188
2012-03-10_06,293.90692
2012-03-10_12,292.32446
2012-03-10_18,299.72473
2012-03-11_00,297.52634
2012-03-11_06,293.49646
2012-03-11_12,293.45355
2012-03-11_18,305.04718
2012-03-12_00,297.93195
2012-03-12_06,294.85693
2012-03-12_12,293.31293
2012-03-12_18,303.72897
2012-03-13_00,298.91003
2012-03-13_06,293.5983
2012-03-13_12,293.6171
2012-03-13_18,302.2962
2012-03-14_00,298.65735
2012-03-14_06,295.16913
2012-03-14_12,292.86758
2012-03-14_18,306.8277
2012-03-15_00,300.242
2012-03-15_06,292.75513
2012-03-15_12,292.26855
2012-03-15_18,304.90936
2012-03-16_00,299.1798
2012-03-16_06,294.0476
2012-03-16_12,293.14938
2012-03-16_18,307.38257
2012-03-17_00,297.96954
2012-03-17_06,294.90918
2012-03-17_12,294.2641
2012-03-17_18,304.58383
2012-03-18_00,295.19717
2012-03-18_06,293.98907
2012-03-18_12,293.71194
2012-03-18_18,299.22003
2012-03-19_00,295.15332
2012-03-19_06,293.9734
2012-03-19_12,292.99072
2012-03-19_18,301.99802
2012-03-20_00,296.1983
2012-03-20_06,293.5665
2012-03-20_12,292.31177
2012-03-20_18,302.2968
2012-03-21_00,295.35925
2012-03-21_06,293.9107
2012-03-21_12,292.94833
2012-03-21_18,303.4693
2012-03-22_00,298.22675
2012-03-22_06,294.63788
2012-03-22_12,292.3922
2012-03-22_18,303.7038
2012-03-23_00,295.8452
2012-03-23_06,294.2526
2012-03-23_12,293.41895
2012-03-23_18,305.30133
2012-03-24_00,297.0052
2012-03-24_06,295.07666
2012-03-24_12,294.11188
2012-03-24_18,301.4098
2012-03-25_00,295.9311
2012-03-25_06,294.27805
2012-03-25_12,294.7155
2012-03-25_18,307.58463
2012-03-26_00,296.31708
2012-03-26_06,293.7046
2012-03-26_12,296.67706
2012-03-26_18,301.88123
2012-03-27_00,297.47693
2012-03-27_06,293.92133
2012-03-27_12,293.26776
2012-03-27_18,301.00348
2012-03-28_00,296.9505
2012-03-28_06,294.4964
2012-03-28_12,293.94098
2012-03-28_18,301.60718
2012-03-29_00,297.43686
2012-03-29_06,294.84406
2012-03-29_12,293.24594
2012-03-29_18,302.29907
2012-03-30_00,295.58014
2012-03-30_06,294.56018
2012-03-30_12,294.33252
2012-03-30_18,304.57462
2012-03-31_00,296.76068
2012-03-31_06,294.9314
2012-03-31_12,294.14313
2012-03-31_18,304.9792
