Date,Average pressure [Pa]
2015-01-01_00,101833.25
2015-01-01_06,102125.586
2015-01-01_12,102050.05
2015-01-01_18,101375.61
2015-01-02_00,101305.23
2015-01-02_06,101834.72
2015-01-02_12,102238.48
2015-01-02_18,102328.95
2015-01-03_00,102301.17
2015-01-03_06,101771.24
2015-01-03_12,101691.28
2015-01-03_18,101824.66
2015-01-04_00,102515.77
2015-01-04_06,102891.75
2015-01-04_12,103299.68
2015-01-04_18,103420.83
2015-01-05_00,103550.586
2015-01-05_06,103240.33
2015-01-05_12,102639.8
2015-01-05_18,102288.375
2015-01-06_00,102038.13
2015-01-06_06,101627.86
2015-01-06_12,101233.96
2015-01-06_18,101376.61
2015-01-07_00,101868.8
2015-01-07_06,102103.37
2015-01-07_12,102301.1
2015-01-07_18,101642.99
2015-01-08_00,101262.35
2015-01-08_06,101418.8
2015-01-08_12,101729.81
2015-01-08_18,101564.305
2015-01-09_00,101566.43
2015-01-09_06,101479.37
2015-01-09_12,102933.33
2015-01-09_18,103478.125
2015-01-10_00,104029.39
2015-01-10_06,103907.91
2015-01-10_12,103745.9
2015-01-10_18,103132.55
2015-01-11_00,102637.305
2015-01-11_06,102315.086
2015-01-11_12,102873.53
2015-01-11_18,103065.945
2015-01-12_00,103385.55
2015-01-12_06,103314.8
2015-01-12_12,103517.8
2015-01-12_18,103481.2
2015-01-13_00,103635.03
2015-01-13_06,103387.13
2015-01-13_12,102980.766
2015-01-13_18,102145.38
2015-01-14_00,101506.88
2015-01-14_06,101644.51
2015-01-14_12,102373.875
2015-01-14_18,102725.39
2015-01-15_00,103120.05
2015-01-15_06,103149.24
2015-01-15_12,102949.76
2015-01-15_18,102283.86
2015-01-16_00,102044.85
2015-01-16_06,101790.77
2015-01-16_12,101834.55
2015-01-16_18,101934.5
2015-01-17_00,101989.48
2015-01-17_06,101841.36
2015-01-17_12,101737.11
2015-01-17_18,101334.89
2015-01-18_00,101267.625
2015-01-18_06,102037.016
2015-01-18_12,102935.62
2015-01-18_18,103271.97
2015-01-19_00,103596.44
2015-01-19_06,103414.914
2015-01-19_12,103321.44
2015-01-19_18,102943.84
2015-01-20_00,102775.734
2015-01-20_06,102470.41
2015-01-20_12,102344.625
2015-01-20_18,101996.73
2015-01-21_00,101922.14
2015-01-21_06,101878.54
2015-01-21_12,102117.9
2015-01-21_18,102056.3
2015-01-22_00,102225.63
2015-01-22_06,102197.46
2015-01-22_12,102326.88
2015-01-22_18,102247.39
2015-01-23_00,102193.6
2015-01-23_06,101722.195
2015-01-23_12,101289.16
2015-01-23_18,100815.43
2015-01-24_00,100708.3
2015-01-24_06,100996.09
2015-01-24_12,101620.44
2015-01-24_18,102052.3
2015-01-25_00,102610.914
2015-01-25_06,102682.25
2015-01-25_12,102715.234
2015-01-25_18,102428.3
2015-01-26_00,102240.41
2015-01-26_06,101941.31
2015-01-26_12,102011.625
2015-01-26_18,102052.25
2015-01-27_00,102470.46
2015-01-27_06,102708.27
2015-01-27_12,102956.64
2015-01-27_18,102987.28
2015-01-28_00,103157.375
2015-01-28_06,103071.39
2015-01-28_12,103232.01
2015-01-28_18,103051.34
2015-01-29_00,103092.19
2015-01-29_06,103003.17
2015-01-29_12,103059.16
2015-01-29_18,102805.49
2015-01-30_00,102816.99
2015-01-30_06,102651.49
2015-01-30_12,102553.836
2015-01-30_18,102329.49
2015-01-31_00,102357.47
2015-01-31_06,102213.41
2015-01-31_12,102280.15
2015-01-31_18,102139.28
2015-02-01_00,102030.86
2015-02-01_06,101650.3
2015-02-01_12,101286.086
2015-02-01_18,100698.95
2015-02-02_00,100150.3
2015-02-02_06,100208.18
2015-02-02_12,101022.31
2015-02-02_18,101740.164
2015-02-03_00,102467.21
2015-02-03_06,102767.75
2015-02-03_12,102916.06
2015-02-03_18,102622.12
2015-02-04_00,102391.67
2015-02-04_06,101916.38
2015-02-04_12,101467.84
2015-02-04_18,100891.11
2015-02-05_00,100775.91
2015-02-05_06,101187.59
2015-02-05_12,101897.73
2015-02-05_18,102155.54
2015-02-06_00,102478.64
2015-02-06_06,102378.88
2015-02-06_12,102238.28
2015-02-06_18,101748.9
2015-02-07_00,101722.39
2015-02-07_06,101483.445
2015-02-07_12,101492.336
2015-02-07_18,101344.53
2015-02-08_00,101501.414
2015-02-08_06,101240.555
2015-02-08_12,101296.09
2015-02-08_18,101454.37
2015-02-09_00,101792.58
2015-02-09_06,101801.805
2015-02-09_12,101923.98
2015-02-09_18,101702.76
2015-02-10_00,101599.63
2015-02-10_06,101452.0
2015-02-10_12,101861.55
2015-02-10_18,101954.47
2015-02-11_00,102138.84
2015-02-11_06,101912.82
2015-02-11_12,101780.17
2015-02-11_18,101631.86
2015-02-12_00,101733.836
2015-02-12_06,101423.68
2015-02-12_12,101015.016
2015-02-12_18,100242.36
2015-02-13_00,99534.86
2015-02-13_06,99108.08
2015-02-13_12,100390.38
2015-02-13_18,101086.18
2015-02-14_00,101363.8
2015-02-14_06,101085.57
2015-02-14_12,101257.33
2015-02-14_18,101496.83
2015-02-15_00,101903.71
2015-02-15_06,101676.02
2015-02-15_12,101714.43
2015-02-15_18,101543.75
2015-02-16_00,101216.14
2015-02-16_06,100746.805
2015-02-16_12,100549.78
2015-02-16_18,99967.67
2015-02-17_00,100004.88
2015-02-17_06,100515.67
2015-02-17_12,101148.29
2015-02-17_18,101729.984
2015-02-18_00,102495.92
2015-02-18_06,102702.71
2015-02-18_12,102783.62
2015-02-18_18,102692.45
2015-02-19_00,102804.664
2015-02-19_06,102655.17
2015-02-19_12,102760.18
2015-02-19_18,102805.445
2015-02-20_00,103059.47
2015-02-20_06,103007.49
2015-02-20_12,103111.375
2015-02-20_18,103006.57
2015-02-21_00,103010.45
2015-02-21_06,102889.6
2015-02-21_12,102836.766
2015-02-21_18,102534.35
2015-02-22_00,103078.61
2015-02-22_06,103441.45
2015-02-22_12,103795.266
2015-02-22_18,103826.0
2015-02-23_00,103835.305
2015-02-23_06,103426.586
2015-02-23_12,103218.266
2015-02-23_18,102690.84
2015-02-24_00,102403.22
2015-02-24_06,101985.64
2015-02-24_12,101824.98
2015-02-24_18,101361.89
2015-02-25_00,101486.79
2015-02-25_06,101839.16
2015-02-25_12,102537.695
2015-02-25_18,102573.0
2015-02-26_00,102373.37
2015-02-26_06,101803.64
2015-02-26_12,101543.99
