Date,Average pressure [Pa]
2021-01-01_00,85292.04
2021-01-01_06,85471.51
2021-01-01_12,85556.3
2021-01-01_18,85735.81
2021-01-02_00,85690.555
2021-01-02_06,85524.68
2021-01-02_12,85316.04
2021-01-02_18,85074.34
2021-01-03_00,85016.336
2021-01-03_06,85102.83
2021-01-03_12,85036.48
2021-01-03_18,84949.56
2021-01-04_00,84805.055
2021-01-04_06,85258.13
2021-01-04_12,85607.23
2021-01-04_18,85759.01
2021-01-05_00,85559.57
2021-01-05_06,85130.03
2021-01-05_12,84609.23
2021-01-05_18,84794.92
2021-01-06_00,85320.66
2021-01-06_06,85698.78
2021-01-06_12,85866.016
2021-01-06_18,85894.14
2021-01-07_00,85812.766
2021-01-07_06,85733.08
2021-01-07_12,85690.8
2021-01-07_18,85747.66
2021-01-08_00,85701.66
2021-01-08_06,85878.47
2021-01-08_12,86039.28
2021-01-08_18,86139.695
2021-01-09_00,85967.09
2021-01-09_06,85936.67
2021-01-09_12,85961.18
2021-01-09_18,86157.664
2021-01-10_00,86158.62
2021-01-10_06,86308.55
2021-01-10_12,86237.65
2021-01-10_18,86243.68
2021-01-11_00,85984.67
2021-01-11_06,86038.84
2021-01-11_12,85930.984
2021-01-11_18,85990.21
2021-01-12_00,85864.84
2021-01-12_06,85796.805
2021-01-12_12,85744.016
2021-01-12_18,85850.32
2021-01-13_00,85455.445
2021-01-13_06,85340.77
2021-01-13_12,85221.24
2021-01-13_18,85007.25
2021-01-14_00,84689.28
2021-01-14_06,85083.08
2021-01-14_12,85566.99
2021-01-14_18,85727.414
2021-01-15_00,85796.555
2021-01-15_06,85767.09
2021-01-15_12,85717.28
2021-01-15_18,85821.266
2021-01-16_00,85595.266
2021-01-16_06,85323.92
2021-01-16_12,85311.67
2021-01-16_18,85658.3
2021-01-17_00,85561.94
2021-01-17_06,85630.1
2021-01-17_12,85565.36
2021-01-17_18,85438.695
2021-01-18_00,84917.484
2021-01-18_06,84902.22
2021-01-18_12,85185.81
2021-01-18_18,85536.96
2021-01-19_00,85728.3
2021-01-19_06,86116.73
2021-01-19_12,86330.03
2021-01-19_18,86607.59
2021-01-20_00,86310.72
2021-01-20_06,85770.63
2021-01-20_12,85296.63
2021-01-20_18,85264.04
2021-01-21_00,85252.98
2021-01-21_06,85276.76
2021-01-21_12,85208.055
2021-01-21_18,85471.58
2021-01-22_00,85288.35
2021-01-22_06,85434.35
2021-01-22_12,85195.266
2021-01-22_18,85377.22
2021-01-23_00,85122.24
2021-01-23_06,84941.945
2021-01-23_12,84572.12
2021-01-23_18,84555.88
2021-01-24_00,84733.74
2021-01-24_06,85128.98
2021-01-24_12,85093.99
2021-01-24_18,84956.03
2021-01-25_00,84523.76
2021-01-25_06,84460.55
2021-01-25_12,84296.12
2021-01-25_18,84481.984
2021-01-26_00,84572.586
2021-01-26_06,84791.77
2021-01-26_12,84845.016
2021-01-26_18,85002.25
2021-01-27_00,84984.96
2021-01-27_06,85312.48
2021-01-27_12,85475.63
2021-01-27_18,85767.84
2021-01-28_00,85686.695
2021-01-28_06,85722.39
2021-01-28_12,85729.984
2021-01-28_18,85833.96
2021-01-29_00,85502.125
2021-01-29_06,85289.6
2021-01-29_12,84962.695
2021-01-29_18,84835.28
2021-01-30_00,84432.08
2021-01-30_06,84148.76
2021-01-30_12,84205.664
2021-01-30_18,84886.72
2021-01-31_00,85302.98
2021-01-31_06,85798.68
2021-01-31_12,86142.84
2021-01-31_18,86517.6
2021-02-01_00,86395.05
2021-02-01_06,86328.42
2021-02-01_12,86146.266
2021-02-01_18,86003.22
2021-02-02_00,85722.66
2021-02-02_06,85630.1
2021-02-02_12,85536.42
2021-02-02_18,85516.48
2021-02-03_00,85315.43
2021-02-03_06,85177.805
2021-02-03_12,84827.15
2021-02-03_18,84519.266
2021-02-04_00,84234.055
2021-02-04_06,84767.06
2021-02-04_12,85121.24
2021-02-04_18,85159.33
2021-02-05_00,85015.234
2021-02-05_06,84999.76
2021-02-05_12,84918.51
2021-02-05_18,84821.31
2021-02-06_00,84442.36
2021-02-06_06,84517.234
2021-02-06_12,84852.32
2021-02-06_18,85302.49
2021-02-07_00,84641.945
2021-02-07_06,84416.36
2021-02-07_12,84375.91
2021-02-07_18,84403.17
2021-02-08_00,84556.18
2021-02-08_06,85060.52
2021-02-08_12,84706.01
2021-02-08_18,84864.87
2021-02-09_00,84895.8
2021-02-09_06,85182.33
2021-02-09_12,85197.0
2021-02-09_18,85314.6
2021-02-10_00,85101.195
2021-02-10_06,85158.4
2021-02-10_12,85303.15
2021-02-10_18,85479.88
2021-02-11_00,85252.44
2021-02-11_06,85359.67
2021-02-11_12,85262.45
2021-02-11_18,85419.44
2021-02-12_00,85576.76
2021-02-12_06,85850.805
2021-02-12_12,85638.13
2021-02-12_18,85521.61
2021-02-13_00,85204.34
2021-02-13_06,85407.55
2021-02-13_12,85472.195
2021-02-13_18,85522.85
2021-02-14_00,85324.63
2021-02-14_06,85707.01
2021-02-14_12,85843.04
2021-02-14_18,85946.875
2021-02-15_00,85764.33
2021-02-15_06,85677.98
2021-02-15_12,85246.85
2021-02-15_18,85055.055
2021-02-16_00,84511.84
2021-02-16_06,84183.55
2021-02-16_12,83997.95
2021-02-16_18,84133.664
2021-02-17_00,84232.47
2021-02-17_06,84466.555
2021-02-17_12,84668.9
2021-02-17_18,85021.61
2021-02-18_00,85260.74
2021-02-18_06,85656.86
2021-02-18_12,85883.08
2021-02-18_18,86072.98
2021-02-19_00,85951.69
2021-02-19_06,85817.73
2021-02-19_12,85545.77
2021-02-19_18,85508.914
2021-02-20_00,85458.69
2021-02-20_06,85532.96
2021-02-20_12,85186.65
2021-02-20_18,84931.766
2021-02-21_00,84728.125
2021-02-21_06,84983.18
2021-02-21_12,85269.53
2021-02-21_18,85531.25
2021-02-22_00,85409.4
2021-02-22_06,85398.37
2021-02-22_12,85213.82
2021-02-22_18,85370.97
2021-02-23_00,85541.97
2021-02-23_06,85342.19
2021-02-23_12,84942.7
2021-02-23_18,84852.32
2021-02-24_00,84924.7
2021-02-24_06,85397.336
2021-02-24_12,85557.27
2021-02-24_18,85854.734
2021-02-25_00,85933.74
2021-02-25_06,86304.3
2021-02-25_12,86299.63
2021-02-25_18,86009.79
2021-02-26_00,85414.19
2021-02-26_06,85005.055
2021-02-26_12,84693.73
2021-02-26_18,84733.08
2021-02-27_00,84541.5
2021-02-27_06,84558.01
2021-02-27_12,84359.836
2021-02-27_18,84513.04
2021-02-28_00,84801.15
2021-02-28_06,85109.67
2021-02-28_12,85409.33
2021-02-28_18,85710.55
2021-03-01_00,85563.16
2021-03-01_06,85895.016
2021-03-01_12,86123.66
2021-03-01_18,86302.586
2021-03-02_00,85952.61
2021-03-02_06,85714.625
2021-03-02_12,85397.02
2021-03-02_18,85431.71
2021-03-03_00,85254.25
2021-03-03_06,85358.94
2021-03-03_12,85358.18
2021-03-03_18,85545.53
2021-03-04_00,85455.445
2021-03-04_06,85482.91
2021-03-04_12,85352.586
2021-03-04_18,85459.62
2021-03-05_00,85530.3
2021-03-05_06,85991.6
2021-03-05_12,86215.75
2021-03-05_18,86375.734
2021-03-06_00,86073.68
2021-03-06_06,86013.65
2021-03-06_12,85795.19
2021-03-06_18,85534.52
2021-03-07_00,85097.586
2021-03-07_06,85117.82
2021-03-07_12,85403.78
2021-03-07_18,85764.914
2021-03-08_00,85616.82
2021-03-08_06,85720.75
2021-03-08_12,85543.9
2021-03-08_18,85440.8
2021-03-09_00,85077.49
2021-03-09_06,85060.16
2021-03-09_12,84901.0
2021-03-09_18,84973.37
2021-03-10_00,84755.56
2021-03-10_06,84632.33
2021-03-10_12,84516.41
2021-03-10_18,84607.94
2021-03-11_00,84810.06
2021-03-11_06,85392.75
2021-03-11_12,85506.25
2021-03-11_18,85766.7
2021-03-12_00,85599.37
2021-03-12_06,85954.69
2021-03-12_12,86023.78
2021-03-12_18,86161.57
2021-03-13_00,85940.77
2021-03-13_06,86066.016
2021-03-13_12,85843.7
2021-03-13_18,85785.35
2021-03-14_00,85379.984
2021-03-14_06,85185.55
2021-03-14_12,84669.625
2021-03-14_18,84687.375
2021-03-15_00,84849.15
2021-03-15_06,84944.66
2021-03-15_12,84818.45
2021-03-15_18,84744.44
2021-03-16_00,84530.15
2021-03-16_06,84649.586
2021-03-16_12,84780.01
2021-03-16_18,85021.414
2021-03-17_00,85067.51
2021-03-17_06,85354.86
2021-03-17_12,85447.266
2021-03-17_18,85778.49
2021-03-18_00,85765.8
2021-03-18_06,85946.97
2021-03-18_12,86039.43
2021-03-18_18,86265.06
2021-03-19_00,86147.17
2021-03-19_06,86194.484
2021-03-19_12,85999.484
2021-03-19_18,85953.1
2021-03-20_00,85713.41
2021-03-20_06,85653.76
2021-03-20_12,85321.22
2021-03-20_18,85059.25
2021-03-21_00,84645.92
2021-03-21_06,84558.08
2021-03-21_12,84934.914
2021-03-21_18,85349.31
2021-03-22_00,85441.38
2021-03-22_06,85581.69
2021-03-22_12,85266.625
2021-03-22_18,85150.83
2021-03-23_00,84817.28
2021-03-23_06,84832.08
2021-03-23_12,84685.28
2021-03-23_18,84944.29
2021-03-24_00,85051.516
2021-03-24_06,85397.66
2021-03-24_12,85349.78
2021-03-24_18,85270.336
2021-03-25_00,84809.13
2021-03-25_06,84665.67
2021-03-25_12,84450.61
2021-03-25_18,84438.35
2021-03-26_00,84285.89
2021-03-26_06,84516.43
2021-03-26_12,84541.21
2021-03-26_18,84849.15
2021-03-27_00,84971.805
2021-03-27_06,85347.12
2021-03-27_12,85406.16
2021-03-27_18,85922.36
2021-03-28_00,85930.25
2021-03-28_06,86131.08
2021-03-28_12,85949.91
2021-03-28_18,85755.3
2021-03-29_00,85466.43
2021-03-29_06,85121.484
2021-03-29_12,84467.7
2021-03-29_18,84153.47
2021-03-30_00,84199.875
2021-03-30_06,84856.1
2021-03-30_12,85198.61
2021-03-30_18,85625.85
2021-03-31_00,85635.13
2021-03-31_06,86064.43
2021-03-31_12,86329.32
2021-03-31_18,86685.305
2021-04-01_00,86568.51
2021-04-01_06,86559.305
2021-04-01_12,86340.87
2021-04-01_18,86125.76
2021-04-02_00,85673.92
2021-04-02_06,85507.62
2021-04-02_12,85354.734
2021-04-02_18,85519.85
2021-04-03_00,85562.914
2021-04-03_06,85800.0
2021-04-03_12,85778.1
2021-04-03_18,85923.734
2021-04-04_00,85705.08
2021-04-04_06,85769.8
2021-04-04_12,85608.94
2021-04-04_18,85502.56
2021-04-05_00,85158.69
2021-04-05_06,85113.89
2021-04-05_12,84844.12
2021-04-05_18,84686.79
2021-04-06_00,84286.89
2021-04-06_06,84182.25
2021-04-06_12,84360.766
2021-04-06_18,84547.63
2021-04-07_00,84797.68
2021-04-07_06,85169.29
2021-04-07_12,85239.914
2021-04-07_18,85268.21
2021-04-08_00,85094.29
2021-04-08_06,85039.19
2021-04-08_12,84848.195
2021-04-08_18,84699.22
2021-04-09_00,84465.164
2021-04-09_06,84633.11
2021-04-09_12,85039.19
2021-04-09_18,85508.47
2021-04-10_00,85443.36
2021-04-10_06,85324.61
2021-04-10_12,85193.45
2021-04-10_18,84978.08
2021-04-11_00,84501.805
2021-04-11_06,84459.89
2021-04-11_12,84481.2
2021-04-11_18,85082.27
2021-04-12_00,85169.07
2021-04-12_06,85547.68
2021-04-12_12,85577.83
2021-04-12_18,85819.29
2021-04-13_00,85795.92
2021-04-13_06,86030.86
2021-04-13_12,86088.16
2021-04-13_18,86073.78
2021-04-14_00,85882.984
2021-04-14_06,86040.87
2021-04-14_12,86001.3
2021-04-14_18,86026.17
2021-04-15_00,85801.15
2021-04-15_06,85829.54
2021-04-15_12,85617.6
2021-04-15_18,85470.07
2021-04-16_00,85374.875
2021-04-16_06,85639.11
2021-04-16_12,85696.36
2021-04-16_18,85841.164
2021-04-17_00,85888.41
2021-04-17_06,86037.65
2021-04-17_12,85986.16
2021-04-17_18,86069.51
2021-04-18_00,85863.19
2021-04-18_06,85874.0
2021-04-18_12,85754.27
2021-04-18_18,85699.484
2021-04-19_00,85504.93
2021-04-19_06,85475.54
2021-04-19_12,85374.34
2021-04-19_18,85594.38
2021-04-20_00,85671.53
2021-04-20_06,86028.22
2021-04-20_12,85934.79
2021-04-20_18,86088.6
2021-04-21_00,85960.57
2021-04-21_06,86104.49
2021-04-21_12,86033.89
2021-04-21_18,85918.04
2021-04-22_00,85594.945
2021-04-22_06,85449.586
2021-04-22_12,84894.164
2021-04-22_18,84703.93
2021-04-23_00,84572.336
2021-04-23_06,84801.47
2021-04-23_12,84826.61
2021-04-23_18,85022.78
2021-04-24_00,85021.805
2021-04-24_06,85412.45
2021-04-24_12,85366.87
2021-04-24_18,85234.914
2021-04-25_00,84752.586
2021-04-25_06,84772.266
2021-04-25_12,84655.1
2021-04-25_18,84599.7
2021-04-26_00,84334.59
2021-04-26_06,84224.63
2021-04-26_12,84224.875
2021-04-26_18,84219.85
2021-04-27_00,84144.016
2021-04-27_06,84340.016
2021-04-27_12,84682.86
2021-04-27_18,84884.64
2021-04-28_00,84945.66
2021-04-28_06,85450.3
2021-04-28_12,85501.734
2021-04-28_18,85695.22
2021-04-29_00,85642.99
2021-04-29_06,85922.484
2021-04-29_12,86123.76
2021-04-29_18,86326.47
2021-04-30_00,86207.23
2021-04-30_06,86275.83
2021-04-30_12,86173.414
2021-04-30_18,86096.63
2021-05-01_00,85616.89
2021-05-01_06,85433.445
2021-05-01_12,85171.336
2021-05-01_18,84964.5
2021-05-02_00,84529.15
2021-05-02_06,84395.07
2021-05-02_12,84337.695
2021-05-02_18,84404.516
2021-05-03_00,84540.555
2021-05-03_06,85059.695
2021-05-03_12,85359.766
2021-05-03_18,85540.016
2021-05-04_00,85727.91
2021-05-04_06,85874.98
2021-05-04_12,85781.766
2021-05-04_18,85675.39
2021-05-05_00,85436.26
2021-05-05_06,85599.95
2021-05-05_12,85785.4
2021-05-05_18,86054.78
2021-05-06_00,86008.766
2021-05-06_06,86366.41
2021-05-06_12,86416.65
2021-05-06_18,86335.96
2021-05-07_00,85917.65
2021-05-07_06,85811.26
2021-05-07_12,85560.18
2021-05-07_18,85388.305
2021-05-08_00,84934.695
2021-05-08_06,84789.28
2021-05-08_12,84450.66
2021-05-08_18,84675.32
2021-05-09_00,84907.94
2021-05-09_06,85494.945
2021-05-09_12,85661.89
2021-05-09_18,85715.38
2021-05-10_00,85574.195
2021-05-10_06,85826.39
2021-05-10_12,85780.71
2021-05-10_18,85831.57
2021-05-11_00,85841.84
2021-05-11_06,86063.16
2021-05-11_12,86079.42
2021-05-11_18,86200.17
2021-05-12_00,86160.695
2021-05-12_06,86311.94
2021-05-12_12,86240.67
2021-05-12_18,86211.94
2021-05-13_00,85979.39
2021-05-13_06,86166.8
2021-05-13_12,85972.9
2021-05-13_18,85830.664
2021-05-14_00,85521.09
2021-05-14_06,85842.99
2021-05-14_12,85754.836
2021-05-14_18,85744.6
2021-05-15_00,85456.4
2021-05-15_06,85650.76
2021-05-15_12,85553.08
2021-05-15_18,85626.15
2021-05-16_00,85365.21
2021-05-16_06,85363.305
2021-05-16_12,85342.65
2021-05-16_18,85450.56
2021-05-17_00,85366.945
2021-05-17_06,85506.766
2021-05-17_12,85446.05
2021-05-17_18,85474.266
2021-05-18_00,85321.12
2021-05-18_06,85422.95
2021-05-18_12,85300.71
2021-05-18_18,85291.21
2021-05-19_00,85034.86
2021-05-19_06,85107.88
2021-05-19_12,85113.914
2021-05-19_18,85145.73
2021-05-20_00,84968.41
2021-05-20_06,85020.266
2021-05-20_12,84913.35
2021-05-20_18,84827.08
2021-05-21_00,84648.7
2021-05-21_06,84788.48
2021-05-21_12,84883.11
2021-05-21_18,85122.9
2021-05-22_00,85127.08
2021-05-22_06,85425.95
2021-05-22_12,85765.086
2021-05-22_18,86010.87
2021-05-23_00,85726.266
2021-05-23_06,85642.41
2021-05-23_12,85479.2
2021-05-23_18,85327.08
2021-05-24_00,85182.4
2021-05-24_06,85459.03
2021-05-24_12,85524.56
2021-05-24_18,85580.25
2021-05-25_00,85392.53
2021-05-25_06,85561.67
2021-05-25_12,85595.85
2021-05-25_18,85711.2
2021-05-26_00,85566.945
2021-05-26_06,85798.56
2021-05-26_12,85788.99
2021-05-26_18,85616.58
2021-05-27_00,85214.58
2021-05-27_06,85543.8
2021-05-27_12,85743.31
2021-05-27_18,85861.72
2021-05-28_00,85677.93
2021-05-28_06,85852.49
2021-05-28_12,85731.71
2021-05-28_18,85610.766
2021-05-29_00,85300.98
2021-05-29_06,85384.914
2021-05-29_12,85500.37
2021-05-29_18,85691.016
2021-05-30_00,85572.98
2021-05-30_06,85773.24
2021-05-30_12,85885.87
2021-05-30_18,86056.055
2021-05-31_00,86033.33
2021-05-31_06,86161.67
2021-05-31_12,86213.48
2021-05-31_18,86263.016
2021-06-01_00,86140.11
2021-06-01_06,86140.04
2021-06-01_12,85944.164
2021-06-01_18,85915.75
2021-06-02_00,85780.49
2021-06-02_06,85755.64
2021-06-02_12,85651.61
2021-06-02_18,85732.81
2021-06-03_00,85535.57
2021-06-03_06,85581.516
2021-06-03_12,85517.26
2021-06-03_18,85571.68
2021-06-04_00,85400.516
2021-06-04_06,85470.77
2021-06-04_12,85441.48
2021-06-04_18,85437.84
2021-06-05_00,85195.945
2021-06-05_06,85168.875
2021-06-05_12,85080.15
2021-06-05_18,85011.5
2021-06-06_00,84743.336
2021-06-06_06,84825.34
2021-06-06_12,84703.734
2021-06-06_18,84989.48
2021-06-07_00,85003.586
2021-06-07_06,85153.195
2021-06-07_12,84977.805
2021-06-07_18,85080.49
2021-06-08_00,84975.66
2021-06-08_06,85131.69
2021-06-08_12,85169.29
2021-06-08_18,85305.86
2021-06-09_00,85103.47
2021-06-09_06,85448.07
2021-06-09_12,85594.625
2021-06-09_18,85851.586
2021-06-10_00,85631.57
2021-06-10_06,85607.74
2021-06-10_12,85384.01
2021-06-10_18,85272.56
2021-06-11_00,84846.336
2021-06-11_06,84982.91
2021-06-11_12,85554.54
2021-06-11_18,85874.31
2021-06-12_00,85712.625
2021-06-12_06,85868.04
2021-06-12_12,85817.41
2021-06-12_18,85828.47
2021-06-13_00,85589.55
2021-06-13_06,85784.81
2021-06-13_12,85868.75
2021-06-13_18,85981.79
2021-06-14_00,85779.27
2021-06-14_06,85955.93
2021-06-14_12,85934.03
2021-06-14_18,85971.68
2021-06-15_00,85790.06
2021-06-15_06,85951.44
2021-06-15_12,85872.09
2021-06-15_18,85945.46
2021-06-16_00,85744.19
2021-06-16_06,85756.47
2021-06-16_12,85669.05
2021-06-16_18,85847.68
2021-06-17_00,85775.93
2021-06-17_06,85788.375
2021-06-17_12,85548.31
2021-06-17_18,85567.19
2021-06-18_00,85380.734
2021-06-18_06,85334.18
2021-06-18_12,85635.94
2021-06-18_18,85709.79
2021-06-19_00,85448.29
2021-06-19_06,85584.18
2021-06-19_12,85418.66
2021-06-19_18,85315.38
2021-06-20_00,84969.97
2021-06-20_06,84936.086
2021-06-20_12,84951.15
2021-06-20_18,85299.66
2021-06-21_00,85438.04
2021-06-21_06,85999.31
2021-06-21_12,86038.234
2021-06-21_18,86139.21
2021-06-22_00,85698.414
2021-06-22_06,85598.76
2021-06-22_12,85183.64
2021-06-22_18,85220.51
2021-06-23_00,85092.625
2021-06-23_06,85085.57
2021-06-23_12,85032.516
2021-06-23_18,85141.89
2021-06-24_00,85032.96
2021-06-24_06,85212.16
2021-06-24_12,85451.34
2021-06-24_18,85603.25
2021-06-25_00,85428.125
2021-06-25_06,85528.76
2021-06-25_12,85421.83
2021-06-25_18,85418.336
2021-06-26_00,85400.414
2021-06-26_06,85668.97
2021-06-26_12,85670.07
2021-06-26_18,85774.56
2021-06-27_00,85719.14
2021-06-27_06,85960.64
2021-06-27_12,85901.586
2021-06-27_18,85954.37
2021-06-28_00,85839.43
2021-06-28_06,86084.03
2021-06-28_12,86097.46
2021-06-28_18,86202.64
2021-06-29_00,86079.47
2021-06-29_06,86236.84
2021-06-29_12,86237.8
2021-06-29_18,86246.75
2021-06-30_00,86050.34
2021-06-30_06,86163.21
2021-06-30_12,86055.08
2021-06-30_18,86061.5
2021-07-01_00,85799.24
2021-07-01_06,85890.92
2021-07-01_12,85909.94
2021-07-01_18,85995.945
2021-07-02_00,85851.56
2021-07-02_06,85993.29
2021-07-02_12,85949.39
2021-07-02_18,85917.92
2021-07-03_00,85668.45
2021-07-03_06,85721.97
2021-07-03_12,85656.94
2021-07-03_18,85654.15
2021-07-04_00,85521.58
2021-07-04_06,85556.88
2021-07-04_12,85540.6
2021-07-04_18,85647.68
2021-07-05_00,85591.14
2021-07-05_06,85718.266
2021-07-05_12,85682.88
2021-07-05_18,85781.27
2021-07-06_00,85600.95
2021-07-06_06,85800.15
2021-07-06_12,85821.875
2021-07-06_18,86013.914
2021-07-07_00,85919.234
2021-07-07_06,86016.5
2021-07-07_12,85934.08
2021-07-07_18,85860.79
2021-07-08_00,85542.58
2021-07-08_06,85474.7
2021-07-08_12,85271.164
2021-07-08_18,85314.67
2021-07-09_00,85101.24
2021-07-09_06,85398.9
2021-07-09_12,85642.14
2021-07-09_18,85811.55
2021-07-10_00,85451.1
2021-07-10_06,85783.375
2021-07-10_12,86076.44
2021-07-10_18,86164.04
2021-07-11_00,86069.875
2021-07-11_06,86167.28
2021-07-11_12,86128.34
2021-07-11_18,86138.04
2021-07-12_00,85817.45
2021-07-12_06,85911.766
2021-07-12_12,85783.59
2021-07-12_18,85912.43
2021-07-13_00,85741.53
2021-07-13_06,85793.6
2021-07-13_12,85755.01
2021-07-13_18,85846.85
2021-07-14_00,85539.21
2021-07-14_06,85463.43
2021-07-14_12,85526.734
2021-07-14_18,85790.555
