Date,Average pressure [Pa]
2018-01-01_00,92193.36
2018-01-01_06,92020.97
2018-01-01_12,92266.36
2018-01-01_18,92056.836
2018-01-02_00,92079.17
2018-01-02_06,91870.24
2018-01-02_12,92308.94
2018-01-02_18,92311.914
2018-01-03_00,92562.84
2018-01-03_06,92591.73
2018-01-03_12,92937.84
2018-01-03_18,92864.625
2018-01-04_00,92973.92
2018-01-04_06,92815.19
2018-01-04_12,93043.7
2018-01-04_18,92881.01
2018-01-05_00,92989.5
2018-01-05_06,92832.27
2018-01-05_12,93105.23
2018-01-05_18,92950.98
2018-01-06_00,92910.06
2018-01-06_06,92561.01
2018-01-06_12,92723.83
2018-01-06_18,92635.89
2018-01-07_00,92784.89
2018-01-07_06,92746.61
2018-01-07_12,92888.234
2018-01-07_18,92564.19
2018-01-08_00,92781.42
2018-01-08_06,92709.695
2018-01-08_12,92796.51
2018-01-08_18,92553.78
2018-01-09_00,92615.58
2018-01-09_06,92616.28
2018-01-09_12,93040.086
2018-01-09_18,93048.39
2018-01-10_00,93200.414
2018-01-10_06,93069.75
2018-01-10_12,93294.336
2018-01-10_18,93057.47
2018-01-11_00,93072.24
2018-01-11_06,92804.47
2018-01-11_12,92932.47
2018-01-11_18,92620.016
2018-01-12_00,92547.68
2018-01-12_06,91988.41
2018-01-12_12,91962.59
2018-01-12_18,91530.69
2018-01-13_00,91589.75
2018-01-13_06,91539.89
2018-01-13_12,91796.83
2018-01-13_18,91936.45
2018-01-14_00,92475.22
2018-01-14_06,92670.46
2018-01-14_12,92915.75
2018-01-14_18,92765.53
2018-01-15_00,92923.05
2018-01-15_06,92919.73
2018-01-15_12,93302.27
2018-01-15_18,93253.93
2018-01-16_00,93447.51
2018-01-16_06,93219.07
2018-01-16_12,93369.75
2018-01-16_18,93132.62
2018-01-17_00,93302.93
2018-01-17_06,93106.23
2018-01-17_12,93293.43
2018-01-17_18,93133.57
2018-01-18_00,93196.73
2018-01-18_06,92971.875
2018-01-18_12,93143.625
2018-01-18_18,92955.375
2018-01-19_00,93026.69
2018-01-19_06,92843.92
2018-01-19_12,93005.766
2018-01-19_18,92852.37
2018-01-20_00,92915.14
2018-01-20_06,92711.03
2018-01-20_12,92908.27
2018-01-20_18,92609.74
2018-01-21_00,92697.46
2018-01-21_06,92355.42
2018-01-21_12,92476.02
