Date,Average temperature [K]
2016-02-27_00,295.4972
2016-02-27_06,300.2728
2016-02-27_12,292.78113
2016-02-27_18,292.49948
2016-02-28_00,297.9427
2016-02-28_06,294.25684
2016-02-28_12,289.25433
2016-02-28_18,287.83786
2016-02-29_00,291.56464
2016-02-29_06,296.86313
2016-02-29_12,290.4418
2016-02-29_18,290.2043
2016-03-01_00,291.221
2016-03-01_06,292.2594
2016-03-01_12,288.3629
2016-03-01_18,286.42053
2016-03-02_00,292.0733
2016-03-02_06,293.15674
2016-03-02_12,288.75256
2016-03-02_18,289.49643
2016-03-03_00,293.134
2016-03-03_06,293.94867
2016-03-03_12,291.13528
2016-03-03_18,291.6027
2016-03-04_00,292.27405
2016-03-04_06,292.56012
2016-03-04_12,290.80005
2016-03-04_18,290.76318
2016-03-05_00,290.99698
2016-03-05_06,292.5214
2016-03-05_12,291.09814
2016-03-05_18,291.377
2016-03-06_00,291.86047
2016-03-06_06,292.17877
2016-03-06_12,290.54855
2016-03-06_18,290.44443
2016-03-07_00,292.51398
2016-03-07_06,292.78302
2016-03-07_12,290.3519
2016-03-07_18,290.97528
2016-03-08_00,292.79263
2016-03-08_06,294.5329
2016-03-08_12,290.9363
2016-03-08_18,291.6446
2016-03-09_00,293.27307
2016-03-09_06,295.8856
2016-03-09_12,289.37912
2016-03-09_18,291.2012
2016-03-10_00,295.70898
2016-03-10_06,292.53143
2016-03-10_12,290.14868
2016-03-10_18,290.53842
2016-03-11_00,293.06506
2016-03-11_06,291.9687
2016-03-11_12,292.19357
2016-03-11_18,292.10477
2016-03-12_00,293.43146
2016-03-12_06,294.4604
2016-03-12_12,291.5241
2016-03-12_18,291.80582
2016-03-13_00,292.237
2016-03-13_06,293.72397
2016-03-13_12,292.07132
2016-03-13_18,292.2327
2016-03-14_00,293.45935
2016-03-14_06,296.04993
2016-03-14_12,290.57874
2016-03-14_18,291.7088
2016-03-15_00,297.18817
2016-03-15_06,298.68146
2016-03-15_12,294.44656
2016-03-15_18,292.17468
2016-03-16_00,292.00464
2016-03-16_06,293.38403
2016-03-16_12,289.8423
2016-03-16_18,288.2152
2016-03-17_00,290.70837
2016-03-17_06,290.58984
2016-03-17_12,288.84793
2016-03-17_18,288.87103
2016-03-18_00,291.43994
2016-03-18_06,291.5267
2016-03-18_12,288.8643
2016-03-18_18,289.51813
2016-03-19_00,293.2453
2016-03-19_06,294.70715
2016-03-19_12,290.98645
2016-03-19_18,291.6106
2016-03-20_00,294.1773
2016-03-20_06,295.4888
2016-03-20_12,291.24792
2016-03-20_18,291.656
2016-03-21_00,293.7508
2016-03-21_06,296.3855
2016-03-21_12,293.41174
2016-03-21_18,291.9591
2016-03-22_00,291.11823
2016-03-22_06,290.21582
2016-03-22_12,290.65213
2016-03-22_18,290.33188
2016-03-23_00,290.0172
2016-03-23_06,289.68185
2016-03-23_12,290.36493
2016-03-23_18,290.75006
2016-03-24_00,291.63458
2016-03-24_06,291.66898
2016-03-24_12,290.78955
2016-03-24_18,290.94168
2016-03-25_00,291.70123
2016-03-25_06,291.83215
2016-03-25_12,290.33694
2016-03-25_18,290.3833
2016-03-26_00,290.7179
2016-03-26_06,290.43585
2016-03-26_12,290.70285
2016-03-26_18,290.08545
2016-03-27_00,290.58264
2016-03-27_06,291.98755
2016-03-27_12,289.8781
2016-03-27_18,289.85474
2016-03-28_00,290.83762
2016-03-28_06,292.7058
2016-03-28_12,290.1939
2016-03-28_18,288.99503
2016-03-29_00,291.60162
2016-03-29_06,292.78574
2016-03-29_12,290.01318
2016-03-29_18,291.0477
2016-03-30_00,292.70703
2016-03-30_06,297.02216
2016-03-30_12,289.79895
2016-03-30_18,289.29132
2016-03-31_00,292.46063
2016-03-31_06,294.10132
2016-03-31_12,290.29065
2016-03-31_18,290.17166
2016-04-01_00,290.73428
2016-04-01_06,291.53046
2016-04-01_12,287.98187
2016-04-01_18,286.52917
2016-04-02_00,290.42566
2016-04-02_06,292.60553
2016-04-02_12,288.577
2016-04-02_18,288.89288
2016-04-03_00,292.01477
2016-04-03_06,294.09375
2016-04-03_12,289.44336
2016-04-03_18,291.08017
2016-04-04_00,291.39655
2016-04-04_06,293.41528
2016-04-04_12,288.79044
2016-04-04_18,288.62177
2016-04-05_00,288.91302
2016-04-05_06,289.34552
2016-04-05_12,288.48035
2016-04-05_18,289.1455
2016-04-06_00,289.8432
2016-04-06_06,289.78268
2016-04-06_12,288.74878
2016-04-06_18,287.61603
2016-04-07_00,289.9698
2016-04-07_06,290.8742
2016-04-07_12,288.01746
2016-04-07_18,286.4735
2016-04-08_00,289.9524
2016-04-08_06,291.93365
2016-04-08_12,288.73285
2016-04-08_18,289.03198
2016-04-09_00,290.9187
2016-04-09_06,291.36188
2016-04-09_12,289.20007
2016-04-09_18,289.48407
2016-04-10_00,291.70874
2016-04-10_06,292.19055
2016-04-10_12,291.01862
2016-04-10_18,290.96884
2016-04-11_00,292.78583
2016-04-11_06,291.25128
2016-04-11_12,290.75677
2016-04-11_18,290.9006
2016-04-12_00,292.53854
2016-04-12_06,292.49026
2016-04-12_12,292.05817
2016-04-12_18,291.29724
2016-04-13_00,293.48035
2016-04-13_06,294.72467
2016-04-13_12,291.1941
2016-04-13_18,290.77808
2016-04-14_00,291.6693
2016-04-14_06,293.2782
2016-04-14_12,290.0808
2016-04-14_18,290.4182
2016-04-15_00,290.04727
2016-04-15_06,290.75427
2016-04-15_12,289.51697
2016-04-15_18,289.64062
2016-04-16_00,290.78644
2016-04-16_06,292.4773
2016-04-16_12,291.28503
2016-04-16_18,293.08026
2016-04-17_00,293.54236
2016-04-17_06,293.71027
2016-04-17_12,289.99072
2016-04-17_18,289.6446
2016-04-18_00,290.6626
2016-04-18_06,290.7954
2016-04-18_12,289.22223
2016-04-18_18,288.91327
2016-04-19_00,290.17255
2016-04-19_06,292.74158
2016-04-19_12,289.86655
2016-04-19_18,287.1848
2016-04-20_00,290.76944
2016-04-20_06,292.3698
2016-04-20_12,289.88373
2016-04-20_18,288.5713
2016-04-21_00,290.51855
2016-04-21_06,291.35892
2016-04-21_12,287.8459
2016-04-21_18,286.73828
2016-04-22_00,290.82294
2016-04-22_06,292.656
2016-04-22_12,288.8245
2016-04-22_18,289.41144
2016-04-23_00,291.17767
2016-04-23_06,294.6394
2016-04-23_12,289.99957
2016-04-23_18,290.55038
