Date,Average temperature [K]
2016-01-01_00,284.90192
2016-01-01_06,283.2963
2016-01-01_12,283.4568
2016-01-01_18,282.09283
2016-01-02_00,284.93677
2016-01-02_06,288.32092
2016-01-02_12,288.1402
2016-01-02_18,287.15662
2016-01-03_00,287.7638
2016-01-03_06,290.31573
2016-01-03_12,286.96878
2016-01-03_18,287.00024
2016-01-04_00,287.11987
2016-01-04_06,291.6028
2016-01-04_12,288.92453
2016-01-04_18,287.9497
2016-01-05_00,285.0937
2016-01-05_06,286.92078
2016-01-05_12,285.9076
2016-01-05_18,285.48438
2016-01-06_00,286.1363
2016-01-06_06,285.8004
2016-01-06_12,285.30365
2016-01-06_18,285.14362
2016-01-07_00,287.2561
2016-01-07_06,287.09958
2016-01-07_12,283.6131
2016-01-07_18,284.9904
2016-01-08_00,284.81348
2016-01-08_06,285.95935
2016-01-08_12,286.00327
2016-01-08_18,286.6081
2016-01-09_00,284.79462
2016-01-09_06,284.33893
2016-01-09_12,282.0235
2016-01-09_18,283.03217
2016-01-10_00,284.62848
2016-01-10_06,287.1568
2016-01-10_12,285.07364
2016-01-10_18,282.27426
2016-01-11_00,283.8344
2016-01-11_06,283.16415
2016-01-11_12,282.5038
2016-01-11_18,283.07178
2016-01-12_00,283.5106
2016-01-12_06,281.7296
2016-01-12_12,280.32047
2016-01-12_18,280.81055
2016-01-13_00,281.14447
2016-01-13_06,283.80988
2016-01-13_12,282.1704
2016-01-13_18,283.5564
2016-01-14_00,284.55414
2016-01-14_06,283.80472
2016-01-14_12,283.48856
2016-01-14_18,281.9263
2016-01-15_00,283.07025
2016-01-15_06,283.13263
2016-01-15_12,282.35242
2016-01-15_18,281.95593
2016-01-16_00,282.159
2016-01-16_06,284.02118
2016-01-16_12,281.50107
2016-01-16_18,280.10858
2016-01-17_00,281.26498
2016-01-17_06,282.43054
2016-01-17_12,283.98053
2016-01-17_18,283.09985
2016-01-18_00,283.997
2016-01-18_06,283.92175
2016-01-18_12,286.69824
2016-01-18_18,287.32715
2016-01-19_00,284.44775
2016-01-19_06,283.50598
2016-01-19_12,283.38434
2016-01-19_18,282.77606
2016-01-20_00,283.6739
2016-01-20_06,283.37744
2016-01-20_12,282.71448
2016-01-20_18,280.84357
2016-01-21_00,280.72986
2016-01-21_06,282.67004
2016-01-21_12,280.52377
2016-01-21_18,280.49005
2016-01-22_00,280.33264
2016-01-22_06,281.7251
2016-01-22_12,281.339
2016-01-22_18,281.43066
2016-01-23_00,281.52615
2016-01-23_06,281.94318
2016-01-23_12,280.28336
2016-01-23_18,283.95535
2016-01-24_00,285.5423
2016-01-24_06,283.04968
2016-01-24_12,280.58377
2016-01-24_18,278.5011
2016-01-25_00,278.80957
2016-01-25_06,281.24008
2016-01-25_12,280.9937
2016-01-25_18,278.69244
2016-01-26_00,282.32468
2016-01-26_06,284.77457
2016-01-26_12,281.31287
2016-01-26_18,281.193
2016-01-27_00,284.93262
2016-01-27_06,286.56015
2016-01-27_12,283.1529
2016-01-27_18,284.55908
2016-01-28_00,285.48477
2016-01-28_06,288.7923
2016-01-28_12,284.41486
2016-01-28_18,285.8614
2016-01-29_00,284.6495
2016-01-29_06,282.74768
2016-01-29_12,281.9184
2016-01-29_18,281.38272
2016-01-30_00,282.09216
2016-01-30_06,282.43414
2016-01-30_12,282.02194
2016-01-30_18,281.28452
2016-01-31_00,282.12216
2016-01-31_06,281.90228
2016-01-31_12,282.18854
2016-01-31_18,282.58383
2016-02-01_00,283.2658
2016-02-01_06,280.56076
2016-02-01_12,280.0786
2016-02-01_18,280.2661
2016-02-02_00,281.18915
2016-02-02_06,281.54617
2016-02-02_12,280.4652
2016-02-02_18,280.75214
2016-02-03_00,280.9015
2016-02-03_06,280.13403
2016-02-03_12,279.2234
2016-02-03_18,277.97406
