Date,Average temperature [K]
2014-01-01_00,292.0406
2014-01-01_06,293.6755
2014-01-01_12,300.29095
2014-01-01_18,296.97418
2014-01-02_00,291.79834
2014-01-02_06,293.8702
2014-01-02_12,300.91086
2014-01-02_18,297.40863
2014-01-03_00,292.10767
2014-01-03_06,293.8944
2014-01-03_12,303.50784
2014-01-03_18,297.1345
2014-01-04_00,291.74216
2014-01-04_06,294.2766
2014-01-04_12,303.9535
2014-01-04_18,299.38208
2014-01-05_00,292.48157
2014-01-05_06,295.99075
2014-01-05_12,303.93036
2014-01-05_18,300.09515
2014-01-06_00,293.2807
2014-01-06_06,294.38995
2014-01-06_12,301.9891
2014-01-06_18,297.59747
2014-01-07_00,291.04724
2014-01-07_06,293.20276
2014-01-07_12,301.36078
2014-01-07_18,297.7367
2014-01-08_00,290.97736
2014-01-08_06,293.77612
2014-01-08_12,300.93536
2014-01-08_18,297.4902
2014-01-09_00,293.01993
2014-01-09_06,293.59964
2014-01-09_12,300.3283
2014-01-09_18,299.19537
2014-01-10_00,293.12335
2014-01-10_06,293.9195
2014-01-10_12,301.67325
2014-01-10_18,299.42682
2014-01-11_00,292.1705
2014-01-11_06,295.31204
2014-01-11_12,304.06516
2014-01-11_18,297.96497
2014-01-12_00,290.74896
2014-01-12_06,294.41974
2014-01-12_12,303.75323
2014-01-12_18,298.46033
2014-01-13_00,290.85266
2014-01-13_06,293.71567
2014-01-13_12,303.77997
2014-01-13_18,299.2945
2014-01-14_00,292.8858
2014-01-14_06,293.20258
2014-01-14_12,302.86194
2014-01-14_18,299.67352
2014-01-15_00,292.51846
2014-01-15_06,294.29843
2014-01-15_12,302.22668
2014-01-15_18,299.68323
2014-01-16_00,293.0495
2014-01-16_06,295.3656
2014-01-16_12,303.1653
2014-01-16_18,299.1213
2014-01-17_00,294.45605
2014-01-17_06,295.9773
2014-01-17_12,305.97644
2014-01-17_18,301.46368
2014-01-18_00,294.21484
2014-01-18_06,294.40582
2014-01-18_12,303.4177
2014-01-18_18,299.9967
2014-01-19_00,295.28534
2014-01-19_06,295.23376
2014-01-19_12,306.17285
2014-01-19_18,301.70355
2014-01-20_00,292.40952
2014-01-20_06,295.67062
2014-01-20_12,300.36676
2014-01-20_18,296.86603
2014-01-21_00,293.20782
2014-01-21_06,294.45645
2014-01-21_12,297.3465
2014-01-21_18,297.2487
2014-01-22_00,294.09552
2014-01-22_06,295.23425
2014-01-22_12,304.5274
2014-01-22_18,301.07562
2014-01-23_00,296.70715
2014-01-23_06,297.73505
2014-01-23_12,302.91797
2014-01-23_18,297.49298
2014-01-24_00,295.09552
2014-01-24_06,296.3054
2014-01-24_12,306.3385
2014-01-24_18,299.9617
2014-01-25_00,292.83435
2014-01-25_06,294.35233
2014-01-25_12,305.71997
2014-01-25_18,300.52005
