Date,Average pressure [Pa]
2020-01-01_00,102425.516
2020-01-01_06,102315.38
2020-01-01_12,102240.82
2020-01-01_18,102155.71
2020-01-02_00,101955.88
2020-01-02_06,101658.86
2020-01-02_12,101333.11
2020-01-02_18,100982.47
2020-01-03_00,100695.97
2020-01-03_06,100642.26
2020-01-03_12,101393.6
2020-01-03_18,102177.61
2020-01-04_00,102469.58
2020-01-04_06,102509.28
2020-01-04_12,102651.1
2020-01-04_18,102802.54
2020-01-05_00,102779.34
2020-01-05_06,102700.09
2020-01-05_12,102604.445
2020-01-05_18,102460.62
2020-01-06_00,102176.91
2020-01-06_06,101787.2
2020-01-06_12,101276.0
2020-01-06_18,101003.69
2020-01-07_00,101494.555
2020-01-07_06,101721.44
2020-01-07_12,101541.8
2020-01-07_18,101215.04
2020-01-08_00,101045.36
2020-01-08_06,101298.875
2020-01-08_12,101517.555
2020-01-08_18,101496.555
2020-01-09_00,100716.84
2020-01-09_06,100050.54
2020-01-09_12,99913.8
2020-01-09_18,99685.72
2020-01-10_00,100062.35
2020-01-10_06,101112.52
2020-01-10_12,101915.19
2020-01-10_18,102139.6
2020-01-11_00,102191.36
2020-01-11_06,101962.33
2020-01-11_12,101686.81
2020-01-11_18,101487.984
2020-01-12_00,101203.03
2020-01-12_06,100749.586
2020-01-12_12,101036.03
2020-01-12_18,101325.66
2020-01-13_00,101300.66
2020-01-13_06,100879.71
2020-01-13_12,100252.69
2020-01-13_18,99148.83
2020-01-14_00,98955.734
2020-01-14_06,99112.11
2020-01-14_12,98917.04
2020-01-14_18,98809.11
2020-01-15_00,99074.24
2020-01-15_06,99288.305
2020-01-15_12,99850.37
2020-01-15_18,100655.03
2020-01-16_00,101162.18
2020-01-16_06,101205.1
2020-01-16_12,100804.984
2020-01-16_18,100410.48
2020-01-17_00,100262.06
2020-01-17_06,100137.234
2020-01-17_12,100380.516
2020-01-17_18,100912.18
2020-01-18_00,101247.12
2020-01-18_06,101650.516
2020-01-18_12,102108.4
2020-01-18_18,102437.11
2020-01-19_00,102908.18
2020-01-19_06,103326.47
2020-01-19_12,103766.84
2020-01-19_18,104102.54
2020-01-20_00,104171.14
2020-01-20_06,104135.28
2020-01-20_12,104103.195
2020-01-20_18,103892.14
2020-01-21_00,103751.71
2020-01-21_06,103561.48
2020-01-21_12,103505.79
2020-01-21_18,103314.94
2020-01-22_00,103206.18
2020-01-22_06,103015.234
2020-01-22_12,103049.78
2020-01-22_18,102968.99
2020-01-23_00,102929.0
2020-01-23_06,102695.38
2020-01-23_12,102488.914
2020-01-23_18,102114.52
2020-01-24_00,101931.86
2020-01-24_06,101631.375
2020-01-24_12,101642.336
2020-01-24_18,101516.336
2020-01-25_00,101429.47
2020-01-25_06,101260.64
2020-01-25_12,101255.516
2020-01-25_18,100976.88
2020-01-26_00,100765.75
2020-01-26_06,100504.03
2020-01-26_12,100302.34
2020-01-26_18,99953.0
2020-01-27_00,99849.586
2020-01-27_06,99719.12
2020-01-27_12,99412.74
2020-01-27_18,98589.33
2020-01-28_00,98380.125
2020-01-28_06,98351.37
2020-01-28_12,98976.34
2020-01-28_18,99186.33
2020-01-29_00,99555.62
2020-01-29_06,99881.766
2020-01-29_12,100344.85
2020-01-29_18,100371.61
2020-01-30_00,100352.08
2020-01-30_06,100018.41
2020-01-30_12,99567.945
2020-01-30_18,99379.32
2020-01-31_00,99806.664
2020-01-31_06,99996.14
2020-01-31_12,100000.02
2020-01-31_18,99813.914
2020-02-01_00,99531.79
2020-02-01_06,99400.125
2020-02-01_12,99672.09
2020-02-01_18,100021.164
2020-02-02_00,100419.07
2020-02-02_06,99562.234
2020-02-02_12,99991.04
2020-02-02_18,100186.984
2020-02-03_00,100354.1
2020-02-03_06,100503.516
2020-02-03_12,100721.945
2020-02-03_18,100438.305
2020-02-04_00,100611.01
2020-02-04_06,100877.86
2020-02-04_12,101380.984
2020-02-04_18,102103.734
2020-02-05_00,102635.35
2020-02-05_06,102885.59
2020-02-05_12,103087.52
2020-02-05_18,102916.625
2020-02-06_00,102778.586
2020-02-06_06,102587.11
2020-02-06_12,102499.414
2020-02-06_18,102295.58
2020-02-07_00,102053.586
2020-02-07_06,101634.55
2020-02-07_12,101219.555
2020-02-07_18,100901.32
2020-02-08_00,100616.5
2020-02-08_06,100673.44
2020-02-08_12,100986.35
2020-02-08_18,100918.555
2020-02-09_00,100368.66
2020-02-09_06,99353.61
2020-02-09_12,98291.945
2020-02-09_18,97943.484
2020-02-10_00,98124.98
2020-02-10_06,98951.17
2020-02-10_12,99292.53
2020-02-10_18,99076.08
2020-02-11_00,99404.516
2020-02-11_06,99690.695
2020-02-11_12,99921.53
2020-02-11_18,100302.83
2020-02-12_00,100451.76
2020-02-12_06,100589.19
2020-02-12_12,100789.41
2020-02-12_18,100810.89
2020-02-13_00,100222.85
2020-02-13_06,98766.336
2020-02-13_12,98355.516
2020-02-13_18,99413.74
2020-02-14_00,100453.71
2020-02-14_06,101082.836
2020-02-14_12,101159.72
2020-02-14_18,101023.34
2020-02-15_00,100857.94
2020-02-15_06,100512.74
2020-02-15_12,100039.16
2020-02-15_18,99283.69
2020-02-16_00,98884.57
2020-02-16_06,98503.88
2020-02-16_12,98557.42
2020-02-16_18,99131.32
2020-02-17_00,99787.8
2020-02-17_06,99895.53
2020-02-17_12,100076.15
2020-02-17_18,100552.54
2020-02-18_00,101004.34
2020-02-18_06,101214.6
2020-02-18_12,101246.14
2020-02-18_18,100697.266
2020-02-19_00,100912.11
2020-02-19_06,101273.51
2020-02-19_12,101402.61
2020-02-19_18,100946.36
2020-02-20_00,100616.945
2020-02-20_06,100293.266
2020-02-20_12,99858.64
2020-02-20_18,100677.91
2020-02-21_00,101391.06
