Date,Average temperature [K]
2020-01-01_00,281.08972
2020-01-01_06,284.54108
2020-01-01_12,286.66534
2020-01-01_18,290.60553
2020-01-02_00,286.7659
2020-01-02_06,287.96475
2020-01-02_12,282.903
2020-01-02_18,285.54626
2020-01-03_00,283.42218
2020-01-03_06,282.3982
2020-01-03_12,283.52454
2020-01-03_18,288.13092
2020-01-04_00,286.78918
2020-01-04_06,287.98755
2020-01-04_12,287.5294
2020-01-04_18,284.8034
2020-01-05_00,287.61932
2020-01-05_06,286.53113
2020-01-05_12,290.98517
2020-01-05_18,291.71014
2020-01-06_00,289.48468
2020-01-06_06,282.52606
2020-01-06_12,281.54413
2020-01-06_18,281.45276
2020-01-07_00,281.03534
2020-01-07_06,281.64975
2020-01-07_12,282.51044
2020-01-07_18,283.10825
2020-01-08_00,285.00772
2020-01-08_06,286.7173
2020-01-08_12,289.2231
2020-01-08_18,288.67905
2020-01-09_00,288.02573
2020-01-09_06,283.52972
2020-01-09_12,281.94196
2020-01-09_18,279.53537
2020-01-10_00,279.24448
2020-01-10_06,278.00134
2020-01-10_12,277.88568
2020-01-10_18,279.11188
2020-01-11_00,280.20685
2020-01-11_06,283.1992
2020-01-11_12,286.97122
2020-01-11_18,287.23773
2020-01-12_00,288.9895
2020-01-12_06,290.19116
2020-01-12_12,289.01233
2020-01-12_18,290.74152
2020-01-13_00,290.5749
2020-01-13_06,290.22412
2020-01-13_12,284.00943
2020-01-13_18,282.13852
2020-01-14_00,282.182
2020-01-14_06,283.53577
2020-01-14_12,285.91034
2020-01-14_18,282.70944
2020-01-15_00,280.50726
2020-01-15_06,279.4267
2020-01-15_12,278.42407
2020-01-15_18,283.47415
2020-01-16_00,286.96664
2020-01-16_06,282.0515
2020-01-16_12,280.43823
2020-01-16_18,282.055
2020-01-17_00,283.00623
2020-01-17_06,285.93515
2020-01-17_12,286.52576
2020-01-17_18,283.18024
2020-01-18_00,279.52844
2020-01-18_06,277.21454
2020-01-18_12,276.5375
2020-01-18_18,276.2457
2020-01-19_00,276.40146
2020-01-19_06,277.0824
2020-01-19_12,279.48767
2020-01-19_18,281.83575
2020-01-20_00,285.11615
2020-01-20_06,289.34915
2020-01-20_12,288.66974
2020-01-20_18,286.7617
2020-01-21_00,284.5095
2020-01-21_06,282.2517
2020-01-21_12,282.04388
2020-01-21_18,282.93732
2020-01-22_00,280.0835
2020-01-22_06,280.01965
2020-01-22_12,282.2804
2020-01-22_18,282.24622
2020-01-23_00,280.57855
2020-01-23_06,280.20248
2020-01-23_12,278.8926
2020-01-23_18,280.6907
2020-01-24_00,279.08478
2020-01-24_06,280.3204
2020-01-24_12,280.32617
2020-01-24_18,282.13593
2020-01-25_00,282.05386
2020-01-25_06,281.17453
2020-01-25_12,282.04468
2020-01-25_18,280.99762
2020-01-26_00,280.64526
2020-01-26_06,282.15802
2020-01-26_12,282.51904
2020-01-26_18,284.89832
2020-01-27_00,285.68292
2020-01-27_06,287.24792
2020-01-27_12,289.80072
2020-01-27_18,288.28772
2020-01-28_00,283.75653
2020-01-28_06,282.96927
2020-01-28_12,284.68732
2020-01-28_18,286.51837
2020-01-29_00,284.36865
2020-01-29_06,283.2779
2020-01-29_12,283.16565
2020-01-29_18,282.17358
2020-01-30_00,281.88257
2020-01-30_06,280.52734
2020-01-30_12,282.0501
2020-01-30_18,279.5846
2020-01-31_00,277.7807
2020-01-31_06,278.65442
2020-01-31_12,278.24652
2020-01-31_18,279.2102
2020-02-01_00,281.53418
2020-02-01_06,280.1046
2020-02-01_12,279.79373
2020-02-01_18,281.5695
2020-02-02_00,280.48175
2020-02-02_06,284.66745
2020-02-02_12,287.55045
2020-02-02_18,289.8032
2020-02-03_00,286.83698
2020-02-03_06,283.75745
2020-02-03_12,282.22104
2020-02-03_18,282.61694
2020-02-04_00,282.34875
2020-02-04_06,279.60468
2020-02-04_12,280.9325
2020-02-04_18,281.4831
2020-02-05_00,282.93036
2020-02-05_06,283.07742
2020-02-05_12,286.4757
2020-02-05_18,289.29486
2020-02-06_00,284.85107
2020-02-06_06,281.55865
2020-02-06_12,279.63968
2020-02-06_18,282.22986
2020-02-07_00,286.4062
2020-02-07_06,289.06448
2020-02-07_12,290.28687
2020-02-07_18,291.7721
2020-02-08_00,290.3709
2020-02-08_06,291.47614
2020-02-08_12,294.12692
2020-02-08_18,289.64703
2020-02-09_00,287.60934
2020-02-09_06,286.6645
2020-02-09_12,286.57898
2020-02-09_18,284.01422
2020-02-10_00,279.76685
2020-02-10_06,279.4887
2020-02-10_12,281.1563
2020-02-10_18,283.1693
2020-02-11_00,284.65656
2020-02-11_06,286.8154
2020-02-11_12,287.8771
2020-02-11_18,288.21375
2020-02-12_00,286.22693
2020-02-12_06,287.7484
2020-02-12_12,288.02536
2020-02-12_18,287.5553
2020-02-13_00,280.93854
2020-02-13_06,279.57758
2020-02-13_12,280.83337
2020-02-13_18,285.57983
2020-02-14_00,289.13004
2020-02-14_06,288.46594
2020-02-14_12,288.28098
2020-02-14_18,285.4068
2020-02-15_00,280.0431
2020-02-15_06,276.07794
2020-02-15_12,275.81384
2020-02-15_18,275.4806
2020-02-16_00,275.41748
2020-02-16_06,276.61395
2020-02-16_12,279.0689
2020-02-16_18,282.80707
2020-02-17_00,285.46198
2020-02-17_06,287.67053
2020-02-17_12,288.19952
2020-02-17_18,288.1073
2020-02-18_00,288.42496
2020-02-18_06,284.02628
2020-02-18_12,280.86136
2020-02-18_18,282.39072
2020-02-19_00,278.69513
2020-02-19_06,279.66943
2020-02-19_12,285.18237
2020-02-19_18,287.89685
2020-02-20_00,288.86298
2020-02-20_06,279.15326
2020-02-20_12,281.83813
2020-02-20_18,282.83478
2020-02-21_00,280.35834
2020-02-21_06,280.48813
2020-02-21_12,278.49548
2020-02-21_18,277.1039
2020-02-22_00,276.8004
2020-02-22_06,277.22855
2020-02-22_12,279.42386
2020-02-22_18,278.61325
2020-02-23_00,278.67935
2020-02-23_06,278.82968
2020-02-23_12,279.11887
2020-02-23_18,281.14294
2020-02-24_00,282.40533
2020-02-24_06,281.33392
2020-02-24_12,282.45764
2020-02-24_18,281.2025
2020-02-25_00,280.87732
2020-02-25_06,282.25745
2020-02-25_12,282.53192
2020-02-25_18,284.41754
2020-02-26_00,282.50864
2020-02-26_06,287.6742
2020-02-26_12,288.22003
2020-02-26_18,288.96027
2020-02-27_00,287.86963
2020-02-27_06,286.66406
2020-02-27_12,285.5216
2020-02-27_18,285.00778
2020-02-28_00,288.7942
2020-02-28_06,291.2226
2020-02-28_12,285.27228
2020-02-28_18,284.84384
2020-02-29_00,285.59827
2020-02-29_06,285.8946
2020-02-29_12,285.4754
2020-02-29_18,282.57025
2020-03-01_00,283.47375
2020-03-01_06,286.4492
2020-03-01_12,287.14166
2020-03-01_18,284.92065
2020-03-02_00,282.42676
2020-03-02_06,280.5713
2020-03-02_12,279.76184
2020-03-02_18,281.32037
2020-03-03_00,279.60754
2020-03-03_06,277.9622
2020-03-03_12,283.28156
2020-03-03_18,286.36035
2020-03-04_00,288.05176
2020-03-04_06,287.19135
2020-03-04_12,287.55353
2020-03-04_18,291.12576
2020-03-05_00,290.6375
2020-03-05_06,288.1485
2020-03-05_12,288.10492
2020-03-05_18,286.91644
2020-03-06_00,284.7671
2020-03-06_06,281.19073
2020-03-06_12,281.82095
2020-03-06_18,283.30795
2020-03-07_00,283.0066
2020-03-07_06,285.12024
2020-03-07_12,288.85986
2020-03-07_18,290.62234
2020-03-08_00,288.30722
2020-03-08_06,286.7314
2020-03-08_12,282.495
2020-03-08_18,280.23627
2020-03-09_00,280.5881
2020-03-09_06,279.57153
2020-03-09_12,281.25705
2020-03-09_18,283.388
2020-03-10_00,284.8601
2020-03-10_06,288.6704
2020-03-10_12,287.39166
2020-03-10_18,287.0474
2020-03-11_00,288.70062
2020-03-11_06,289.22528
2020-03-11_12,289.20343
2020-03-11_18,290.9775
2020-03-12_00,290.78516
2020-03-12_06,289.20282
2020-03-12_12,290.5244
2020-03-12_18,290.03857
2020-03-13_00,287.8836
2020-03-13_06,282.7566
2020-03-13_12,280.95715
2020-03-13_18,282.14062
2020-03-14_00,282.96222
2020-03-14_06,285.47253
2020-03-14_12,290.90472
