Date,Average preserature [K]
2014-01-01_00,99520.61
2014-01-01_06,99252.15
2014-01-01_12,99522.66
2014-01-01_18,99534.28
2014-01-02_00,99777.86
2014-01-02_06,99881.766
2014-01-02_12,100279.125
2014-01-02_18,100379.125
2014-01-03_00,100457.836
2014-01-03_06,99971.44
2014-01-03_12,99852.32
2014-01-03_18,99582.18
2014-01-04_00,99605.4
2014-01-04_06,99430.01
2014-01-04_12,99732.375
2014-01-04_18,99956.42
2014-01-05_00,100350.805
2014-01-05_06,100215.84
2014-01-05_12,100411.28
2014-01-05_18,100419.7
2014-01-06_00,100768.9
2014-01-06_06,100714.21
2014-01-06_12,101056.47
2014-01-06_18,101203.93
2014-01-07_00,101456.59
2014-01-07_06,101082.55
2014-01-07_12,101022.73
2014-01-07_18,100729.59
2014-01-08_00,100576.69
2014-01-08_06,99959.94
2014-01-08_12,99338.625
2014-01-08_18,98683.01
2014-01-09_00,99159.62
2014-01-09_06,99351.37
2014-01-09_12,99932.445
2014-01-09_18,100236.086
2014-01-10_00,100741.36
2014-01-10_06,100674.07
2014-01-10_12,100927.61
2014-01-10_18,100926.93
2014-01-11_00,101166.48
2014-01-11_06,100898.02
2014-01-11_12,101058.89
2014-01-11_18,100894.19
2014-01-12_00,100819.38
2014-01-12_06,100278.734
2014-01-12_12,100188.48
2014-01-12_18,100218.38
2014-01-13_00,100596.44
2014-01-13_06,100574.7
2014-01-13_12,100861.87
2014-01-13_18,100983.01
2014-01-14_00,101310.914
2014-01-14_06,101180.64
2014-01-14_12,101286.48
2014-01-14_18,101141.53
2014-01-15_00,101144.07
2014-01-15_06,100817.14
2014-01-15_12,100833.27
2014-01-15_18,100869.234
2014-01-16_00,101040.87
2014-01-16_06,100709.03
2014-01-16_12,100737.82
2014-01-16_18,100476.08
2014-01-17_00,100582.55
2014-01-17_06,100379.32
2014-01-17_12,100526.44
2014-01-17_18,100426.39
2014-01-18_00,100394.05
2014-01-18_06,99947.85
2014-01-18_12,99832.74
2014-01-18_18,99695.61
2014-01-19_00,100292.875
2014-01-19_06,100500.266
2014-01-19_12,100874.61
2014-01-19_18,100931.16
2014-01-20_00,100843.75
2014-01-20_06,100353.195
2014-01-20_12,100038.914
2014-01-20_18,99518.82
2014-01-21_00,99726.37
2014-01-21_06,99665.26
2014-01-21_12,99879.08
2014-01-21_18,100038.48
2014-01-22_00,100400.195
2014-01-22_06,100237.45
2014-01-22_12,100478.34
2014-01-22_18,100605.42
2014-01-23_00,100814.305
2014-01-23_06,100784.72
2014-01-23_12,101072.12
2014-01-23_18,101040.48
2014-01-24_00,101050.91
2014-01-24_06,100738.48
2014-01-24_12,100782.91
2014-01-24_18,100553.88
2014-01-25_00,100602.69
2014-01-25_06,100297.92
2014-01-25_12,100237.13
2014-01-25_18,99752.39
2014-01-26_00,99567.51
2014-01-26_06,99412.87
2014-01-26_12,100092.555
2014-01-26_18,100581.836
2014-01-27_00,101020.09
2014-01-27_06,100926.56
2014-01-27_12,101052.08
2014-01-27_18,100767.7
2014-01-28_00,100703.27
2014-01-28_06,100267.58
2014-01-28_12,100307.766
2014-01-28_18,100502.414
2014-01-29_00,100948.83
2014-01-29_06,100807.35
2014-01-29_12,100953.22
2014-01-29_18,100815.92
2014-01-30_00,100740.36
2014-01-30_06,99948.34
2014-01-30_12,99595.14
2014-01-30_18,99518.77
2014-01-31_00,100098.484
2014-01-31_06,100244.164
2014-01-31_12,100776.93
2014-01-31_18,100876.34
2014-02-01_00,100902.88
2014-02-01_06,100542.51
2014-02-01_12,100550.39
2014-02-01_18,100223.76
2014-02-02_00,99885.35
2014-02-02_06,99305.34
2014-02-02_12,99413.8
2014-02-02_18,99313.89
2014-02-03_00,99391.65
2014-02-03_06,98968.555
2014-02-03_12,98829.56
2014-02-03_18,98704.95
2014-02-04_00,99055.62
2014-02-04_06,98918.6
2014-02-04_12,99593.7
2014-02-04_18,99962.67
2014-02-05_00,100365.36
2014-02-05_06,100330.836
2014-02-05_12,100555.79
2014-02-05_18,100711.13
2014-02-06_00,100884.25
2014-02-06_06,100660.55
2014-02-06_12,100668.266
2014-02-06_18,100642.51
2014-02-07_00,100761.2
2014-02-07_06,100439.99
2014-02-07_12,100481.81
2014-02-07_18,100224.805
2014-02-08_00,99918.945
2014-02-08_06,98880.47
2014-02-08_12,98643.92
2014-02-08_18,98911.695
2014-02-09_00,99335.375
2014-02-09_06,99318.016
2014-02-09_12,99793.625
2014-02-09_18,100009.64
2014-02-10_00,100375.46
2014-02-10_06,100227.34
2014-02-10_12,100353.42
2014-02-10_18,100340.58
2014-02-11_00,100476.32
2014-02-11_06,100276.66
2014-02-11_12,100429.81
2014-02-11_18,100384.18
2014-02-12_00,100489.82
2014-02-12_06,100387.41
2014-02-12_12,100633.25
2014-02-12_18,100650.414
2014-02-13_00,100963.65
2014-02-13_06,100904.86
2014-02-13_12,101145.31
2014-02-13_18,101104.34
2014-02-14_00,101109.01
2014-02-14_06,100640.75
2014-02-14_12,100252.88
2014-02-14_18,99250.91
2014-02-15_00,98498.805
2014-02-15_06,98603.49
2014-02-15_12,98943.51
2014-02-15_18,99281.55
2014-02-16_00,99959.305
2014-02-16_06,100337.87
2014-02-16_12,100742.336
2014-02-16_18,100719.8
2014-02-17_00,100762.28
2014-02-17_06,100353.0
2014-02-17_12,100420.58
2014-02-17_18,100359.836
2014-02-18_00,100418.7
2014-02-18_06,100158.27
2014-02-18_12,100318.29
2014-02-18_18,100308.57
2014-02-19_00,100545.05
2014-02-19_06,100392.234
2014-02-19_12,100629.78
2014-02-19_18,100615.06
2014-02-20_00,100845.66
2014-02-20_06,100543.04
2014-02-20_12,100664.36
2014-02-20_18,100598.12
2014-02-21_00,100802.98
2014-02-21_06,100613.234
2014-02-21_12,100885.96
2014-02-21_18,101007.664
2014-02-22_00,101272.266
2014-02-22_06,101070.14
2014-02-22_12,101262.96
2014-02-22_18,101249.22
2014-02-23_00,101438.82
2014-02-23_06,101133.79
2014-02-23_12,101283.42
2014-02-23_18,101216.73
2014-02-24_00,101358.72
2014-02-24_06,101102.95
2014-02-24_12,101070.66
2014-02-24_18,101007.766
2014-02-25_00,101133.5
2014-02-25_06,100798.805
2014-02-25_12,101130.4
2014-02-25_18,101230.62
2014-02-26_00,101624.31
2014-02-26_06,101460.13
2014-02-26_12,101541.38
2014-02-26_18,101302.195
2014-02-27_00,101190.77
2014-02-27_06,100703.15
2014-02-27_12,100411.81
2014-02-27_18,99920.97
2014-02-28_00,100236.16
2014-02-28_06,100285.086
2014-02-28_12,100567.92
2014-02-28_18,100461.96
2014-03-01_00,100454.88
2014-03-01_06,100090.41
2014-03-01_12,100209.47
2014-03-01_18,99901.15
2014-03-02_00,99979.1
2014-03-02_06,99735.64
2014-03-02_12,99951.78
2014-03-02_18,100057.88
2014-03-03_00,100545.29
2014-03-03_06,100736.914
2014-03-03_12,101197.95
2014-03-03_18,101285.375
2014-03-04_00,101502.805
2014-03-04_06,101166.82
2014-03-04_12,101090.84
2014-03-04_18,100535.74
2014-03-05_00,100032.1
2014-03-05_06,99031.01
