Date,Average pressure [Pa]
2016-01-01_00,101614.45
2016-01-01_06,101568.51
2016-01-01_12,101544.46
2016-01-01_18,101500.125
2016-01-02_00,101544.38
2016-01-02_06,101510.28
2016-01-02_12,101552.08
2016-01-02_18,101422.02
2016-01-03_00,101452.08
2016-01-03_06,101371.19
2016-01-03_12,101360.45
2016-01-03_18,101328.836
2016-01-04_00,101319.77
2016-01-04_06,101260.305
2016-01-04_12,101222.0
2016-01-04_18,101250.875
2016-01-05_00,101329.15
2016-01-05_06,101377.125
2016-01-05_12,101456.27
2016-01-05_18,101414.67
2016-01-06_00,101418.84
2016-01-06_06,101433.984
2016-01-06_12,101501.34
2016-01-06_18,101289.33
2016-01-07_00,101283.35
2016-01-07_06,101346.29
2016-01-07_12,101355.81
2016-01-07_18,101296.97
2016-01-08_00,101318.99
2016-01-08_06,101324.09
2016-01-08_12,101333.81
2016-01-08_18,101280.47
2016-01-09_00,101292.38
2016-01-09_06,101285.4
2016-01-09_12,101325.3
2016-01-09_18,101296.05
2016-01-10_00,101314.33
2016-01-10_06,101364.11
2016-01-10_12,101402.86
2016-01-10_18,101405.88
2016-01-11_00,101492.43
2016-01-11_06,101569.05
2016-01-11_12,101552.56
2016-01-11_18,101443.29
2016-01-12_00,101477.08
2016-01-12_06,101505.95
2016-01-12_12,101534.86
2016-01-12_18,101470.92
2016-01-13_00,101493.66
2016-01-13_06,101507.4
2016-01-13_12,101533.18
2016-01-13_18,101496.07
2016-01-14_00,101504.47
2016-01-14_06,101438.04
2016-01-14_12,101474.29
2016-01-14_18,101481.664
2016-01-15_00,101449.516
2016-01-15_06,101424.22
2016-01-15_12,101311.65
2016-01-15_18,101207.86
2016-01-16_00,101140.67
2016-01-16_06,101239.016
2016-01-16_12,101279.59
2016-01-16_18,101251.586
2016-01-17_00,101261.01
2016-01-17_06,101240.75
2016-01-17_12,101223.37
2016-01-17_18,101210.766
2016-01-18_00,101249.76
2016-01-18_06,101301.71
2016-01-18_12,101324.34
2016-01-18_18,101410.45
2016-01-19_00,101572.0
2016-01-19_06,101643.06
2016-01-19_12,101709.914
2016-01-19_18,101646.24
2016-01-20_00,101659.79
2016-01-20_06,101670.7
2016-01-20_12,101685.84
2016-01-20_18,101647.12
2016-01-21_00,101667.99
2016-01-21_06,101622.29
2016-01-21_12,101664.11
2016-01-21_18,101606.27
2016-01-22_00,101618.06
2016-01-22_06,101497.336
2016-01-22_12,101402.586
2016-01-22_18,101250.54
2016-01-23_00,101155.4
2016-01-23_06,101156.03
2016-01-23_12,101174.56
2016-01-23_18,101116.19
2016-01-24_00,101233.81
2016-01-24_06,101296.266
2016-01-24_12,101404.78
2016-01-24_18,101558.984
2016-01-25_00,101700.98
2016-01-25_06,101822.92
2016-01-25_12,101848.17
2016-01-25_18,101879.37
2016-01-26_00,101893.97
2016-01-26_06,101866.31
2016-01-26_12,101911.96
2016-01-26_18,101834.766
2016-01-27_00,101735.23
2016-01-27_06,101661.11
2016-01-27_12,101557.79
2016-01-27_18,101461.18
2016-01-28_00,101417.625
2016-01-28_06,101406.375
2016-01-28_12,101412.016
2016-01-28_18,101374.125
2016-01-29_00,101280.4
2016-01-29_06,101346.09
2016-01-29_12,101382.836
2016-01-29_18,101411.79
2016-01-30_00,101501.805
2016-01-30_06,101472.61
2016-01-30_12,101557.42
2016-01-30_18,101633.984
2016-01-31_00,101667.77
2016-01-31_06,101646.29
2016-01-31_12,101625.44
2016-01-31_18,101612.33
2016-02-01_00,101525.805
2016-02-01_06,101515.086
2016-02-01_12,101564.086
2016-02-01_18,101469.68
2016-02-02_00,101490.21
2016-02-02_06,101378.39
2016-02-02_12,101487.96
2016-02-02_18,101520.41
2016-02-03_00,101548.34
2016-02-03_06,101523.586
2016-02-03_12,101570.7
2016-02-03_18,101532.69
2016-02-04_00,101537.96
2016-02-04_06,101522.95
2016-02-04_12,101551.47
2016-02-04_18,101510.01
2016-02-05_00,101452.805
2016-02-05_06,101464.58
2016-02-05_12,101493.29
2016-02-05_18,101456.516
2016-02-06_00,101492.21
2016-02-06_06,101472.414
2016-02-06_12,101489.82
2016-02-06_18,101493.75
2016-02-07_00,101508.914
2016-02-07_06,101402.125
2016-02-07_12,101384.67
2016-02-07_18,101355.79
2016-02-08_00,101361.234
2016-02-08_06,101427.25
2016-02-08_12,101557.79
2016-02-08_18,101509.94
2016-02-09_00,101497.0
2016-02-09_06,101520.24
2016-02-09_12,101611.11
2016-02-09_18,101664.58
2016-02-10_00,101687.82
2016-02-10_06,101721.44
2016-02-10_12,101845.77
2016-02-10_18,101795.24
2016-02-11_00,101875.586
2016-02-11_06,101837.13
2016-02-11_12,101908.42
2016-02-11_18,101829.664
2016-02-12_00,101952.125
2016-02-12_06,101940.65
2016-02-12_12,101899.266
2016-02-12_18,101809.445
2016-02-13_00,101713.16
2016-02-13_06,101642.6
2016-02-13_12,101628.64
