Date,Average temperature [K]
2017-02-27_00,288.8141
2017-02-27_06,288.56366
2017-02-27_12,291.0223
2017-02-27_18,289.6064
2017-02-28_00,288.16858
2017-02-28_06,290.84717
2017-02-28_12,292.75397
2017-02-28_18,291.20963
2017-03-01_00,291.60706
2017-03-01_06,291.7823
2017-03-01_12,290.82907
2017-03-01_18,289.2431
2017-03-02_00,288.7453
2017-03-02_06,289.4228
2017-03-02_12,291.31354
2017-03-02_18,290.0038
2017-03-03_00,288.88617
2017-03-03_06,291.36905
2017-03-03_12,287.98682
2017-03-03_18,287.8681
2017-03-04_00,289.44238
2017-03-04_06,290.39084
2017-03-04_12,291.12744
2017-03-04_18,288.6937
2017-03-05_00,288.8167
2017-03-05_06,290.92062
2017-03-05_12,290.89746
2017-03-05_18,289.11127
2017-03-06_00,288.52356
2017-03-06_06,290.8249
2017-03-06_12,289.83713
2017-03-06_18,288.26404
2017-03-07_00,289.71716
2017-03-07_06,290.51184
2017-03-07_12,288.86786
2017-03-07_18,288.36414
2017-03-08_00,288.41403
2017-03-08_06,289.87775
2017-03-08_12,294.52176
2017-03-08_18,291.65012
2017-03-09_00,290.37885
2017-03-09_06,291.83224
2017-03-09_12,289.97626
2017-03-09_18,286.59708
2017-03-10_00,289.18182
2017-03-10_06,291.26752
2017-03-10_12,293.29504
2017-03-10_18,290.37436
2017-03-11_00,289.29938
2017-03-11_06,289.65152
2017-03-11_12,291.3932
2017-03-11_18,293.17624
2017-03-12_00,291.3214
2017-03-12_06,290.6753
2017-03-12_12,291.95337
2017-03-12_18,291.04465
2017-03-13_00,289.97638
2017-03-13_06,290.75122
2017-03-13_12,289.9105
2017-03-13_18,289.1855
2017-03-14_00,289.4504
2017-03-14_06,290.4082
2017-03-14_12,290.13428
2017-03-14_18,289.32947
2017-03-15_00,289.85342
2017-03-15_06,288.76617
2017-03-15_12,287.27264
2017-03-15_18,288.53186
2017-03-16_00,289.8567
2017-03-16_06,290.97333
2017-03-16_12,287.92435
2017-03-16_18,287.1197
2017-03-17_00,287.70148
2017-03-17_06,290.42517
2017-03-17_12,290.38208
2017-03-17_18,286.87122
2017-03-18_00,289.16162
2017-03-18_06,290.77246
2017-03-18_12,289.61917
2017-03-18_18,287.8996
2017-03-19_00,288.4586
2017-03-19_06,288.78796
2017-03-19_12,287.95447
2017-03-19_18,287.95004
2017-03-20_00,289.2016
2017-03-20_06,290.1728
2017-03-20_12,288.98862
2017-03-20_18,288.16125
2017-03-21_00,288.86984
2017-03-21_06,290.0267
2017-03-21_12,289.82376
2017-03-21_18,289.86
2017-03-22_00,289.8512
2017-03-22_06,291.58905
2017-03-22_12,291.63153
2017-03-22_18,287.911
2017-03-23_00,289.40765
2017-03-23_06,291.10138
2017-03-23_12,290.15683
2017-03-23_18,288.5719
2017-03-24_00,289.88794
2017-03-24_06,291.40393
2017-03-24_12,289.2675
2017-03-24_18,288.2298
2017-03-25_00,289.0305
2017-03-25_06,290.01422
2017-03-25_12,290.85925
2017-03-25_18,288.90128
2017-03-26_00,288.92554
2017-03-26_06,288.44168
2017-03-26_12,291.0539
2017-03-26_18,290.0507
2017-03-27_00,289.01038
2017-03-27_06,289.79306
2017-03-27_12,291.02032
2017-03-27_18,289.5642
2017-03-28_00,288.4853
2017-03-28_06,291.42566
2017-03-28_12,292.7359
2017-03-28_18,290.72842
2017-03-29_00,289.62756
2017-03-29_06,292.1658
2017-03-29_12,293.48376
2017-03-29_18,291.72968
2017-03-30_00,291.3885
2017-03-30_06,292.1881
2017-03-30_12,292.13336
2017-03-30_18,289.28784
