Date,Average pressure [Pa]
2012-01-01_00,97586.55
2012-01-01_06,97182.03
2012-01-01_12,97460.25
2012-01-01_18,97501.02
2012-01-02_00,97686.695
2012-01-02_06,97337.26
2012-01-02_12,97595.44
2012-01-02_18,97621.73
2012-01-03_00,97822.22
2012-01-03_06,97443.234
2012-01-03_12,97599.05
2012-01-03_18,97577.64
2012-01-04_00,97692.51
2012-01-04_06,97238.766
2012-01-04_12,97404.88
2012-01-04_18,97205.47
2012-01-05_00,97395.66
2012-01-05_06,97028.76
2012-01-05_12,97263.16
2012-01-05_18,97152.27
2012-01-06_00,97240.89
2012-01-06_06,96890.87
2012-01-06_12,97218.266
2012-01-06_18,97142.14
2012-01-07_00,97413.45
2012-01-07_06,97023.44
2012-01-07_12,97202.64
2012-01-07_18,97176.586
2012-01-08_00,97308.03
2012-01-08_06,96816.89
2012-01-08_12,96981.766
2012-01-08_18,96853.664
2012-01-09_00,97055.1
2012-01-09_06,96683.13
2012-01-09_12,96939.55
2012-01-09_18,96833.23
2012-01-10_00,97032.25
2012-01-10_06,96695.41
2012-01-10_12,96868.7
2012-01-10_18,96864.58
2012-01-11_00,97026.56
2012-01-11_06,96712.984
2012-01-11_12,96975.195
2012-01-11_18,97009.72
2012-01-12_00,97319.77
2012-01-12_06,96999.195
2012-01-12_12,97264.97
2012-01-12_18,97240.58
2012-01-13_00,97460.62
2012-01-13_06,97007.836
2012-01-13_12,97241.58
2012-01-13_18,97214.016
2012-01-14_00,97404.78
2012-01-14_06,97110.03
2012-01-14_12,97339.16
2012-01-14_18,97149.31
2012-01-15_00,97326.02
2012-01-15_06,97015.555
2012-01-15_12,97303.17
2012-01-15_18,97166.625
2012-01-16_00,97411.52
2012-01-16_06,97134.695
2012-01-16_12,97464.695
2012-01-16_18,97289.6
2012-01-17_00,97454.836
2012-01-17_06,97138.016
2012-01-17_12,97418.58
2012-01-17_18,97241.04
2012-01-18_00,97366.06
2012-01-18_06,97034.08
2012-01-18_12,97260.42
2012-01-18_18,97133.64
2012-01-19_00,97363.21
2012-01-19_06,96949.78
2012-01-19_12,97235.74
2012-01-19_18,97186.67
2012-01-20_00,97368.164
2012-01-20_06,96904.08
2012-01-20_12,97102.805
2012-01-20_18,97087.82
2012-01-21_00,97239.04
2012-01-21_06,96813.99
2012-01-21_12,97116.086
2012-01-21_18,97154.125
2012-01-22_00,97403.27
2012-01-22_06,97012.82
2012-01-22_12,97278.836
2012-01-22_18,97091.945
2012-01-23_00,97243.73
2012-01-23_06,96873.95
2012-01-23_12,97069.9
2012-01-23_18,96829.3
2012-01-24_00,96962.89
2012-01-24_06,96612.984
2012-01-24_12,96813.52
2012-01-24_18,96581.055
2012-01-25_00,96726.44
2012-01-25_06,96386.01
2012-01-25_12,96718.92
2012-01-25_18,96516.555
2012-01-26_00,96783.59
2012-01-26_06,96513.97
2012-01-26_12,96801.805
2012-01-26_18,96654.125
2012-01-27_00,96874.34
2012-01-27_06,96607.81
2012-01-27_12,96835.33
2012-01-27_18,96661.4
2012-01-28_00,96785.984
2012-01-28_06,96404.81
2012-01-28_12,96702.32
2012-01-28_18,96433.96
2012-01-29_00,96569.83
2012-01-29_06,96389.43
2012-01-29_12,96733.79
2012-01-29_18,96611.74
2012-01-30_00,96783.55
2012-01-30_06,96478.03
2012-01-30_12,96788.74
2012-01-30_18,96638.234
2012-01-31_00,96808.59
2012-01-31_06,96451.83
2012-01-31_12,96670.61
2012-01-31_18,96544.31
2012-02-01_00,96667.19
2012-02-01_06,96276.95
2012-02-01_12,96459.305
2012-02-01_18,96330.34
2012-02-02_00,96458.35
2012-02-02_06,96067.164
2012-02-02_12,96251.3
2012-02-02_18,96153.54
2012-02-03_00,96331.03
2012-02-03_06,96116.97
2012-02-03_12,96401.78
2012-02-03_18,96237.84
2012-02-04_00,96366.31
2012-02-04_06,96117.84
2012-02-04_12,96337.84
2012-02-04_18,96251.586
2012-02-05_00,96408.57
2012-02-05_06,96029.93
2012-02-05_12,96238.97
2012-02-05_18,96126.56
2012-02-06_00,96277.69
2012-02-06_06,95986.11
2012-02-06_12,96242.336
2012-02-06_18,96237.82
2012-02-07_00,96468.164
2012-02-07_06,96280.08
2012-02-07_12,96661.01
2012-02-07_18,96621.83
2012-02-08_00,96855.32
2012-02-08_06,96589.33
2012-02-08_12,96881.4
2012-02-08_18,96874.46
2012-02-09_00,97082.23
2012-02-09_06,96766.38
2012-02-09_12,97009.86
2012-02-09_18,96992.21
2012-02-10_00,97197.09
2012-02-10_06,96848.53
2012-02-10_12,97026.91
2012-02-10_18,97019.21
2012-02-11_00,97189.67
2012-02-11_06,96887.33
2012-02-11_12,97187.984
2012-02-11_18,97204.76
2012-02-12_00,97429.2
2012-02-12_06,97162.13
2012-02-12_12,97436.72
2012-02-12_18,97389.695
2012-02-13_00,97602.34
2012-02-13_06,97236.48
2012-02-13_12,97560.766
2012-02-13_18,97506.62
2012-02-14_00,97660.35
2012-02-14_06,97253.15
2012-02-14_12,97595.07
2012-02-14_18,97565.97
2012-02-15_00,97756.86
2012-02-15_06,97264.21
2012-02-15_12,97538.19
2012-02-15_18,97576.3
2012-02-16_00,97749.414
2012-02-16_06,97368.875
2012-02-16_12,97541.73
2012-02-16_18,97515.06
2012-02-17_00,97665.555
2012-02-17_06,97319.31
2012-02-17_12,97527.414
2012-02-17_18,97468.164
2012-02-18_00,97645.36
2012-02-18_06,97292.99
2012-02-18_12,97518.19
2012-02-18_18,97500.15
2012-02-19_00,97644.66
2012-02-19_06,97238.26
2012-02-19_12,97398.92
2012-02-19_18,97354.34
2012-02-20_00,97444.85
2012-02-20_06,96995.484
2012-02-20_12,97101.91
2012-02-20_18,96997.36
2012-02-21_00,97075.02
2012-02-21_06,96753.98
2012-02-21_12,97155.42
2012-02-21_18,96960.94
2012-02-22_00,97287.8
2012-02-22_06,96948.39
2012-02-22_12,97415.45
2012-02-22_18,97394.21
2012-02-23_00,97686.79
2012-02-23_06,97397.875
2012-02-23_12,97777.71
2012-02-23_18,97655.055
2012-02-24_00,97797.83
2012-02-24_06,97495.164
2012-02-24_12,97713.67
2012-02-24_18,97496.75
2012-02-25_00,97699.54
2012-02-25_06,97417.19
2012-02-25_12,97720.12
2012-02-25_18,97616.31
2012-02-26_00,97738.84
2012-02-26_06,97421.85
2012-02-26_12,97597.14
2012-02-26_18,97441.625
2012-02-27_00,97656.88
2012-02-27_06,97373.195
2012-02-27_12,97567.51
2012-02-27_18,97376.02
2012-02-28_00,97537.72
2012-02-28_06,97249.734
2012-02-28_12,97471.19
2012-02-28_18,97411.55
2012-02-29_00,97532.79
2012-02-29_06,97093.625
2012-02-29_12,97277.586
2012-02-29_18,97182.49
2012-03-01_00,97277.64
2012-03-01_06,96793.75
2012-03-01_12,96991.45
2012-03-01_18,96963.72
2012-03-02_00,97128.836
2012-03-02_06,96748.195
2012-03-02_12,97122.7
2012-03-02_18,97177.76
2012-03-03_00,97387.16
2012-03-03_06,97066.89
2012-03-03_12,97374.56
2012-03-03_18,97281.766
2012-03-04_00,97434.62
2012-03-04_06,97049.37
2012-03-04_12,97291.336
2012-03-04_18,97049.91
2012-03-05_00,97272.31
2012-03-05_06,96887.82
2012-03-05_12,97137.086
2012-03-05_18,96953.15
2012-03-06_00,97216.7
2012-03-06_06,96830.54
2012-03-06_12,97134.23
2012-03-06_18,97023.63
2012-03-07_00,97158.18
2012-03-07_06,96732.35
2012-03-07_12,96952.49
2012-03-07_18,96878.15
2012-03-08_00,97143.12
2012-03-08_06,96840.695
2012-03-08_12,97133.55
2012-03-08_18,97096.875
2012-03-09_00,97399.54
2012-03-09_06,97087.82
2012-03-09_12,97323.34
2012-03-09_18,97233.03
2012-03-10_00,97513.33
2012-03-10_06,97223.37
2012-03-10_12,97407.25
2012-03-10_18,97364.11
2012-03-11_00,97624.07
2012-03-11_06,97298.734
2012-03-11_12,97528.76
2012-03-11_18,97531.34
2012-03-12_00,97787.89
2012-03-12_06,97443.38
2012-03-12_12,97682.16
2012-03-12_18,97657.94
2012-03-13_00,97860.59
2012-03-13_06,97388.625
2012-03-13_12,97635.81
2012-03-13_18,97633.375
2012-03-14_00,97671.63
2012-03-14_06,97211.94
2012-03-14_12,97429.3
2012-03-14_18,97298.07
2012-03-15_00,97468.7
2012-03-15_06,96959.13
2012-03-15_12,97237.766
2012-03-15_18,97104.125
2012-03-16_00,97278.88
2012-03-16_06,96777.76
2012-03-16_12,97089.19
2012-03-16_18,96988.375
2012-03-17_00,97206.94
2012-03-17_06,96891.92
2012-03-17_12,97309.96
2012-03-17_18,97195.875
2012-03-18_00,97421.68
2012-03-18_06,97210.74
2012-03-18_12,97451.805
2012-03-18_18,97255.62
2012-03-19_00,97462.2
2012-03-19_06,97041.36
2012-03-19_12,97272.17
2012-03-19_18,97092.99
2012-03-20_00,97186.74
2012-03-20_06,96728.95
2012-03-20_12,96888.97
2012-03-20_18,96586.42
2012-03-21_00,96568.9
2012-03-21_06,96119.53
2012-03-21_12,96367.36
2012-03-21_18,96180.34
2012-03-22_00,96401.05
2012-03-22_06,96198.56
2012-03-22_12,96464.234
2012-03-22_18,96336.33
2012-03-23_00,96699.78
2012-03-23_06,96587.94
2012-03-23_12,97032.35
2012-03-23_18,97068.625
2012-03-24_00,97400.734
2012-03-24_06,97137.43
2012-03-24_12,97474.195
2012-03-24_18,97435.72
2012-03-25_00,97673.875
2012-03-25_06,97405.62
2012-03-25_12,97743.82
2012-03-25_18,97752.3
2012-03-26_00,97951.95
2012-03-26_06,97621.58
2012-03-26_12,97863.766
2012-03-26_18,97838.16
2012-03-27_00,97986.086
2012-03-27_06,97618.266
2012-03-27_12,97886.72
2012-03-27_18,97818.555
2012-03-28_00,97899.29
2012-03-28_06,97496.39
2012-03-28_12,97729.86
2012-03-28_18,97623.29
2012-03-29_00,97756.516
2012-03-29_06,97313.375
2012-03-29_12,97532.49
2012-03-29_18,97450.95
2012-03-30_00,97615.82
2012-03-30_06,97258.5
2012-03-30_12,97509.03
2012-03-30_18,97421.07
2012-03-31_00,97657.57
2012-03-31_06,97285.01
2012-03-31_12,97530.17
2012-03-31_18,97467.9
2012-04-01_00,97633.27
2012-04-01_06,97246.51
2012-04-01_12,97517.016
2012-04-01_18,97423.7
2012-04-02_00,97657.86
2012-04-02_06,97277.93
2012-04-02_12,97549.76
2012-04-02_18,97434.01
2012-04-03_00,97661.87
2012-04-03_06,97245.53
2012-04-03_12,97445.07
2012-04-03_18,97377.22
2012-04-04_00,97622.44
2012-04-04_06,97261.375
2012-04-04_12,97561.26
2012-04-04_18,97591.82
2012-04-05_00,97861.2
2012-04-05_06,97443.04
2012-04-05_12,97692.65
2012-04-05_18,97716.28
2012-04-06_00,97934.81
2012-04-06_06,97514.06
2012-04-06_12,97714.87
2012-04-06_18,97591.41
2012-04-07_00,97816.38
2012-04-07_06,97433.375
2012-04-07_12,97642.99
2012-04-07_18,97590.6
2012-04-08_00,97894.51
2012-04-08_06,97491.38
2012-04-08_12,97697.05
2012-04-08_18,97598.05
2012-04-09_00,97793.68
2012-04-09_06,97403.95
2012-04-09_12,97678.17
2012-04-09_18,97779.734
2012-04-10_00,98107.74
2012-04-10_06,97761.89
2012-04-10_12,98150.66
2012-04-10_18,98064.33
2012-04-11_00,98324.44
2012-04-11_06,97989.914
2012-04-11_12,98336.35
2012-04-11_18,98356.32
2012-04-12_00,98605.1
2012-04-12_06,98234.914
2012-04-12_12,98566.82
2012-04-12_18,98437.28
2012-04-13_00,98599.61
2012-04-13_06,98241.19
2012-04-13_12,98476.49
2012-04-13_18,98297.484
2012-04-14_00,98423.05
2012-04-14_06,97975.76
2012-04-14_12,98170.58
2012-04-14_18,98023.31
2012-04-15_00,98252.83
2012-04-15_06,97783.11
2012-04-15_12,97984.2
2012-04-15_18,97815.305
2012-04-16_00,97987.65
2012-04-16_06,97517.84
2012-04-16_12,97731.08
2012-04-16_18,97554.78
2012-04-17_00,97646.78
2012-04-17_06,97294.97
2012-04-17_12,97519.73
2012-04-17_18,97377.44
2012-04-18_00,97567.31
2012-04-18_06,97186.03
2012-04-18_12,97493.7
2012-04-18_18,97408.33
2012-04-19_00,97647.586
2012-04-19_06,97275.07
2012-04-19_12,97482.57
2012-04-19_18,97416.41
2012-04-20_00,97681.516
2012-04-20_06,97231.62
2012-04-20_12,97408.5
2012-04-20_18,97307.96
2012-04-21_00,97479.3
2012-04-21_06,97061.625
2012-04-21_12,97288.52
2012-04-21_18,97190.086
2012-04-22_00,97482.23
2012-04-22_06,97065.89
2012-04-22_12,97328.95
2012-04-22_18,97293.21
2012-04-23_00,97550.24
2012-04-23_06,97166.555
2012-04-23_12,97443.9
2012-04-23_18,97301.56
2012-04-24_00,97590.92
2012-04-24_06,97380.88
2012-04-24_12,97553.64
2012-04-24_18,97455.125
2012-04-25_00,97733.35
2012-04-25_06,97570.266
2012-04-25_12,97806.4
2012-04-25_18,97777.88
2012-04-26_00,97988.89
2012-04-26_06,97665.92
2012-04-26_12,97881.125
2012-04-26_18,97755.54
2012-04-27_00,97961.305
2012-04-27_06,97834.52
2012-04-27_12,97989.6
2012-04-27_18,97665.58
2012-04-28_00,97691.016
