Date,Average pressure [Pa]
2012-01-01_00,98290.45
2012-01-01_06,98107.03
2012-01-01_12,98450.484
2012-01-01_18,98345.945
2012-01-02_00,98383.18
2012-01-02_06,98098.98
2012-01-02_12,98416.92
2012-01-02_18,98291.65
2012-01-03_00,98321.05
2012-01-03_06,97986.59
2012-01-03_12,98171.31
2012-01-03_18,97867.875
2012-01-04_00,97806.57
2012-01-04_06,98155.56
2012-01-04_12,98651.37
2012-01-04_18,98474.22
2012-01-05_00,98401.91
2012-01-05_06,97879.93
2012-01-05_12,98181.125
2012-01-05_18,98150.32
2012-01-06_00,98393.625
2012-01-06_06,98296.73
2012-01-06_12,98507.33
2012-01-06_18,98170.266
2012-01-07_00,98074.78
2012-01-07_06,97620.31
2012-01-07_12,97773.734
2012-01-07_18,97469.555
2012-01-08_00,97345.14
2012-01-08_06,96922.75
2012-01-08_12,97116.92
2012-01-08_18,97173.586
2012-01-09_00,97482.836
2012-01-09_06,97369.85
2012-01-09_12,97768.84
2012-01-09_18,97589.086
2012-01-10_00,97582.64
2012-01-10_06,97310.64
2012-01-10_12,97552.69
2012-01-10_18,97139.19
2012-01-11_00,96997.266
2012-01-11_06,97137.2
2012-01-11_12,97932.62
2012-01-11_18,98019.875
2012-01-12_00,98297.12
2012-01-12_06,98105.445
2012-01-12_12,98382.55
2012-01-12_18,98272.61
2012-01-13_00,98219.21
2012-01-13_06,97951.195
2012-01-13_12,98402.91
2012-01-13_18,98357.375
2012-01-14_00,98437.59
2012-01-14_06,98256.516
2012-01-14_12,98619.234
2012-01-14_18,98565.33
2012-01-15_00,98767.82
2012-01-15_06,98672.195
2012-01-15_12,98918.41
2012-01-15_18,98845.14
2012-01-16_00,99016.21
2012-01-16_06,98782.35
2012-01-16_12,99046.336
2012-01-16_18,98932.18
2012-01-17_00,98939.99
2012-01-17_06,98558.72
2012-01-17_12,98722.09
2012-01-17_18,98409.79
2012-01-18_00,98306.69
2012-01-18_06,97951.266
2012-01-18_12,98285.42
2012-01-18_18,98278.56
2012-01-19_00,98562.82
2012-01-19_06,98347.83
2012-01-19_12,98592.38
2012-01-19_18,98373.78
2012-01-20_00,98409.96
2012-01-20_06,98043.53
2012-01-20_12,98332.88
2012-01-20_18,98179.62
2012-01-21_00,98407.4
2012-01-21_06,98360.87
2012-01-21_12,98754.37
2012-01-21_18,98772.09
2012-01-22_00,99068.51
2012-01-22_06,98967.9
2012-01-22_12,99133.52
2012-01-22_18,98962.26
2012-01-23_00,99024.586
2012-01-23_06,98744.266
2012-01-23_12,98851.93
2012-01-23_18,98538.28
2012-01-24_00,98522.66
2012-01-24_06,98209.47
2012-01-24_12,98379.15
2012-01-24_18,98133.79
2012-01-25_00,98203.39
2012-01-25_06,98008.664
2012-01-25_12,98222.05
2012-01-25_18,98051.71
2012-01-26_00,98228.516
2012-01-26_06,98176.47
2012-01-26_12,98496.73
2012-01-26_18,98473.66
2012-01-27_00,98621.22
2012-01-27_06,98425.0
2012-01-27_12,98496.266
2012-01-27_18,98271.555
2012-01-28_00,98240.28
2012-01-28_06,97850.516
2012-01-28_12,98009.35
2012-01-28_18,97819.12
2012-01-29_00,97766.31
2012-01-29_06,97355.055
2012-01-29_12,97319.336
2012-01-29_18,96797.29
2012-01-30_00,96461.28
2012-01-30_06,96288.97
2012-01-30_12,96665.305
2012-01-30_18,96903.08
2012-01-31_00,97434.766
2012-01-31_06,97722.53
2012-01-31_12,98277.64
2012-01-31_18,98186.11
2012-02-01_00,98432.81
2012-02-01_06,98128.516
2012-02-01_12,98222.98
2012-02-01_18,97979.17
2012-02-02_00,98072.414
2012-02-02_06,97865.21
2012-02-02_12,97845.83
2012-02-02_18,97519.945
2012-02-03_00,97476.734
2012-02-03_06,97215.016
2012-02-03_12,97402.17
2012-02-03_18,97188.234
2012-02-04_00,97243.66
2012-02-04_06,97038.94
2012-02-04_12,97260.11
2012-02-04_18,97064.87
2012-02-05_00,97005.836
2012-02-05_06,96557.27
2012-02-05_12,96656.94
2012-02-05_18,96847.66
2012-02-06_00,97257.375
2012-02-06_06,97208.375
2012-02-06_12,97550.93
2012-02-06_18,97489.77
2012-02-07_00,97640.43
2012-02-07_06,97563.28
2012-02-07_12,97837.96
2012-02-07_18,97803.86
2012-02-08_00,98045.164
2012-02-08_06,98004.95
2012-02-08_12,98185.305
2012-02-08_18,98097.9
2012-02-09_00,98201.37
2012-02-09_06,97971.85
2012-02-09_12,98075.875
2012-02-09_18,97834.4
2012-02-10_00,97883.03
2012-02-10_06,97705.95
2012-02-10_12,97902.69
2012-02-10_18,97809.445
2012-02-11_00,97900.61
2012-02-11_06,97694.75
2012-02-11_12,98046.19
2012-02-11_18,98028.195
2012-02-12_00,98258.89
2012-02-12_06,98126.195
2012-02-12_12,98438.28
2012-02-12_18,98364.695
2012-02-13_00,98564.84
2012-02-13_06,98397.805
2012-02-13_12,98788.89
2012-02-13_18,98749.195
2012-02-14_00,98897.85
2012-02-14_06,98725.02
2012-02-14_12,98937.26
2012-02-14_18,98775.734
2012-02-15_00,98875.22
2012-02-15_06,98529.445
2012-02-15_12,98704.59
2012-02-15_18,98540.36
2012-02-16_00,98581.836
2012-02-16_06,98252.86
2012-02-16_12,98436.26
2012-02-16_18,98304.91
2012-02-17_00,98381.18
2012-02-17_06,98165.8
2012-02-17_12,98468.43
2012-02-17_18,98297.46
2012-02-18_00,98557.47
2012-02-18_06,98306.664
2012-02-18_12,98607.25
2012-02-18_18,98416.945
2012-02-19_00,98381.375
2012-02-19_06,97894.51
2012-02-19_12,98134.08
2012-02-19_18,97937.16
2012-02-20_00,98045.63
2012-02-20_06,97870.484
2012-02-20_12,98094.09
2012-02-20_18,97863.766
2012-02-21_00,98019.945
2012-02-21_06,98003.195
2012-02-21_12,98252.3
2012-02-21_18,98187.5
2012-02-22_00,98388.58
2012-02-22_06,98219.875
2012-02-22_12,98565.45
2012-02-22_18,98486.4
2012-02-23_00,98620.38
2012-02-23_06,98443.19
2012-02-23_12,98849.195
2012-02-23_18,98783.96
2012-02-24_00,99014.625
2012-02-24_06,98818.21
2012-02-24_12,99033.59
2012-02-24_18,98858.86
2012-02-25_00,98981.96
2012-02-25_06,98662.89
2012-02-25_12,98774.805
2012-02-25_18,98610.84
2012-02-26_00,98661.89
2012-02-26_06,98333.18
