Date,Average temperature [K]
2015-01-01_00,291.3156
2015-01-01_06,290.97968
2015-01-01_12,288.58038
2015-01-01_18,287.57916
2015-01-02_00,291.30118
2015-01-02_06,291.3476
2015-01-02_12,288.9673
2015-01-02_18,287.29395
2015-01-03_00,291.1208
2015-01-03_06,290.1671
2015-01-03_12,287.29523
2015-01-03_18,286.2088
2015-01-04_00,294.2013
2015-01-04_06,292.89532
2015-01-04_12,289.49875
2015-01-04_18,289.03506
2015-01-05_00,295.77594
2015-01-05_06,294.12482
2015-01-05_12,291.30493
2015-01-05_18,292.27484
2015-01-06_00,295.62402
2015-01-06_06,296.40366
2015-01-06_12,290.0727
2015-01-06_18,290.1129
2015-01-07_00,290.1618
2015-01-07_06,288.59924
2015-01-07_12,288.41116
2015-01-07_18,289.11398
2015-01-08_00,289.49713
2015-01-08_06,289.34476
2015-01-08_12,288.91168
2015-01-08_18,288.6434
2015-01-09_00,289.36755
2015-01-09_06,289.37607
2015-01-09_12,289.25818
2015-01-09_18,289.52777
2015-01-10_00,290.42697
2015-01-10_06,292.07642
2015-01-10_12,288.91504
2015-01-10_18,287.86853
2015-01-11_00,292.2519
2015-01-11_06,292.6427
2015-01-11_12,289.85895
2015-01-11_18,288.8954
2015-01-12_00,293.16858
2015-01-12_06,292.36014
2015-01-12_12,291.57922
2015-01-12_18,287.86877
2015-01-13_00,294.1681
2015-01-13_06,292.6236
2015-01-13_12,289.96143
2015-01-13_18,290.37335
2015-01-14_00,294.22882
2015-01-14_06,289.8761
2015-01-14_12,290.43646
2015-01-14_18,290.16714
2015-01-15_00,291.90198
2015-01-15_06,292.83966
2015-01-15_12,289.0843
2015-01-15_18,288.41174
2015-01-16_00,293.3646
2015-01-16_06,292.2779
2015-01-16_12,290.19684
2015-01-16_18,292.07318
2015-01-17_00,293.3648
2015-01-17_06,294.4037
2015-01-17_12,289.8935
2015-01-17_18,290.49707
2015-01-18_00,294.3595
2015-01-18_06,295.63263
2015-01-18_12,291.15204
2015-01-18_18,289.48163
2015-01-19_00,292.42017
2015-01-19_06,294.7249
2015-01-19_12,291.3661
2015-01-19_18,290.65848
2015-01-20_00,295.0384
2015-01-20_06,294.96466
2015-01-20_12,291.7492
2015-01-20_18,290.35468
2015-01-21_00,298.93982
2015-01-21_06,293.18027
2015-01-21_12,290.4483
2015-01-21_18,289.98965
2015-01-22_00,291.1577
2015-01-22_06,291.43457
2015-01-22_12,289.94678
2015-01-22_18,290.13354
2015-01-23_00,292.0407
2015-01-23_06,292.61536
2015-01-23_12,288.98206
2015-01-23_18,289.28748
2015-01-24_00,291.1554
2015-01-24_06,291.17645
2015-01-24_12,289.6833
2015-01-24_18,291.05414
2015-01-25_00,291.2843
2015-01-25_06,291.2001
2015-01-25_12,288.71252
2015-01-25_18,288.89236
2015-01-26_00,292.94763
2015-01-26_06,292.05664
2015-01-26_12,289.92505
2015-01-26_18,289.50912
2015-01-27_00,293.2508
2015-01-27_06,296.23322
2015-01-27_12,291.30402
2015-01-27_18,290.60815
2015-01-28_00,295.39984
2015-01-28_06,296.10208
2015-01-28_12,290.10513
2015-01-28_18,290.9319
2015-01-29_00,294.59235
2015-01-29_06,294.7201
2015-01-29_12,291.75513
2015-01-29_18,290.94037
2015-01-30_00,292.91666
2015-01-30_06,293.98682
2015-01-30_12,291.19708
2015-01-30_18,291.23724
2015-01-31_00,293.05103
2015-01-31_06,293.1283
2015-01-31_12,290.85248
2015-01-31_18,291.67334
2015-02-01_00,293.51056
2015-02-01_06,293.31793
2015-02-01_12,291.57904
2015-02-01_18,291.51086
2015-02-02_00,293.95786
2015-02-02_06,293.75754
2015-02-02_12,291.05978
2015-02-02_18,291.37048
2015-02-03_00,295.6982
2015-02-03_06,296.19144
2015-02-03_12,292.02957
