Date,Average temperature [K]
2015-02-27_00,285.42444
2015-02-27_06,284.1142
2015-02-27_12,282.43637
2015-02-27_18,282.36667
2015-02-28_00,282.21237
2015-02-28_06,280.8532
2015-02-28_12,280.88336
2015-02-28_18,280.80835
2015-03-01_00,283.0631
2015-03-01_06,284.5705
2015-03-01_12,285.33554
2015-03-01_18,289.80194
2015-03-02_00,285.3522
2015-03-02_06,283.28787
2015-03-02_12,283.35565
2015-03-02_18,281.05798
2015-03-03_00,283.1679
2015-03-03_06,285.47665
2015-03-03_12,286.64087
2015-03-03_18,284.42462
2015-03-04_00,288.03436
2015-03-04_06,289.30017
2015-03-04_12,287.60632
2015-03-04_18,288.4998
2015-03-05_00,284.98663
2015-03-05_06,285.27075
2015-03-05_12,282.76175
2015-03-05_18,282.80862
2015-03-06_00,284.25772
2015-03-06_06,284.06946
2015-03-06_12,283.2942
2015-03-06_18,284.11682
2015-03-07_00,283.87845
2015-03-07_06,286.10657
2015-03-07_12,284.77203
2015-03-07_18,285.44266
2015-03-08_00,285.52444
2015-03-08_06,286.77792
2015-03-08_12,285.4923
2015-03-08_18,285.5822
2015-03-09_00,287.4151
2015-03-09_06,285.59543
2015-03-09_12,287.5625
2015-03-09_18,287.74347
2015-03-10_00,289.98785
2015-03-10_06,284.27097
2015-03-10_12,284.96478
2015-03-10_18,279.86426
2015-03-11_00,281.4408
2015-03-11_06,283.37775
2015-03-11_12,283.0344
2015-03-11_18,281.24298
2015-03-12_00,284.88745
2015-03-12_06,287.01538
2015-03-12_12,284.4388
2015-03-12_18,283.0658
2015-03-13_00,283.1488
2015-03-13_06,284.87097
2015-03-13_12,284.22443
2015-03-13_18,284.3153
2015-03-14_00,285.79678
2015-03-14_06,282.45532
2015-03-14_12,281.63055
2015-03-14_18,280.6019
2015-03-15_00,283.75372
2015-03-15_06,283.98712
2015-03-15_12,283.55573
2015-03-15_18,283.57315
2015-03-16_00,286.59262
2015-03-16_06,285.7885
2015-03-16_12,286.72595
2015-03-16_18,286.00702
2015-03-17_00,288.98825
2015-03-17_06,289.41974
2015-03-17_12,288.77765
2015-03-17_18,288.181
2015-03-18_00,289.7407
2015-03-18_06,286.80353
2015-03-18_12,288.3953
2015-03-18_18,287.78918
2015-03-19_00,287.44913
2015-03-19_06,288.7
2015-03-19_12,289.15018
2015-03-19_18,285.46042
2015-03-20_00,286.17432
2015-03-20_06,285.38837
2015-03-20_12,284.07037
2015-03-20_18,286.50232
2015-03-21_00,284.51624
2015-03-21_06,282.9856
2015-03-21_12,282.93942
2015-03-21_18,282.4403
2015-03-22_00,286.5724
2015-03-22_06,288.3176
2015-03-22_12,288.7627
2015-03-22_18,285.06497
2015-03-23_00,287.52905
2015-03-23_06,284.67926
2015-03-23_12,283.33093
2015-03-23_18,281.15875
2015-03-24_00,283.97144
2015-03-24_06,285.30646
2015-03-24_12,283.46674
2015-03-24_18,282.71332
2015-03-25_00,283.65414
2015-03-25_06,282.66138
2015-03-25_12,281.80676
2015-03-25_18,281.6024
2015-03-26_00,282.70383
2015-03-26_06,284.0431
2015-03-26_12,282.68167
2015-03-26_18,283.0075
2015-03-27_00,286.72968
2015-03-27_06,288.55695
2015-03-27_12,288.50626
2015-03-27_18,287.34167
2015-03-28_00,287.1552
2015-03-28_06,288.20984
2015-03-28_12,287.62085
2015-03-28_18,287.1173
2015-03-29_00,288.9358
2015-03-29_06,290.326
2015-03-29_12,288.86127
2015-03-29_18,287.11957
2015-03-30_00,286.8273
2015-03-30_06,286.80432
2015-03-30_12,285.2019
2015-03-30_18,285.75146
2015-03-31_00,287.3786
2015-03-31_06,286.98212
2015-03-31_12,288.56555
2015-03-31_18,288.63556
2015-04-01_00,292.14948
2015-04-01_06,288.63614
2015-04-01_12,289.16608
2015-04-01_18,283.18256
2015-04-02_00,283.37756
2015-04-02_06,284.45547
2015-04-02_12,283.8519
2015-04-02_18,285.5808
2015-04-03_00,288.01334
2015-04-03_06,289.18524
2015-04-03_12,291.06033
2015-04-03_18,292.1433
2015-04-04_00,285.8398
2015-04-04_06,285.90106
2015-04-04_12,286.1685
2015-04-04_18,287.69647
2015-04-05_00,289.2799
2015-04-05_06,288.42432
2015-04-05_12,288.38245
2015-04-05_18,288.94238
2015-04-06_00,292.01495
2015-04-06_06,290.0661
2015-04-06_12,288.64236
2015-04-06_18,290.20056
2015-04-07_00,289.3559
2015-04-07_06,284.23734
2015-04-07_12,283.54877
2015-04-07_18,283.39093
2015-04-08_00,282.16956
2015-04-08_06,282.0956
2015-04-08_12,282.90842
2015-04-08_18,283.00217
2015-04-09_00,286.44946
2015-04-09_06,285.76196
2015-04-09_12,284.61578
2015-04-09_18,283.26398
2015-04-10_00,284.61066
2015-04-10_06,289.36423
2015-04-10_12,287.21634
2015-04-10_18,286.33615
2015-04-11_00,288.08374
2015-04-11_06,290.1204
2015-04-11_12,288.22388
2015-04-11_18,284.89526
2015-04-12_00,288.21957
2015-04-12_06,287.5666
2015-04-12_12,286.37198
2015-04-12_18,284.8943
2015-04-13_00,285.73535
2015-04-13_06,286.9581
2015-04-13_12,286.71265
2015-04-13_18,287.97495
2015-04-14_00,289.45264
2015-04-14_06,289.11536
2015-04-14_12,290.50113
2015-04-14_18,288.03406
2015-04-15_00,291.89227
2015-04-15_06,288.95312
2015-04-15_12,289.36194
2015-04-15_18,285.74823
2015-04-16_00,289.39032
2015-04-16_06,289.97266
2015-04-16_12,289.47903
2015-04-16_18,288.39023
2015-04-17_00,290.76385
2015-04-17_06,287.88885
2015-04-17_12,288.6353
2015-04-17_18,283.96588
2015-04-18_00,286.95538
2015-04-18_06,288.16187
2015-04-18_12,287.92664
2015-04-18_18,289.45523
2015-04-19_00,290.99103
2015-04-19_06,289.85944
2015-04-19_12,289.86963
2015-04-19_18,289.2348
2015-04-20_00,291.0493
2015-04-20_06,291.76404
2015-04-20_12,291.89478
2015-04-20_18,291.36438
2015-04-21_00,294.25073
2015-04-21_06,292.5405
2015-04-21_12,286.4743
2015-04-21_18,286.9008
2015-04-22_00,288.2564
2015-04-22_06,289.63342
2015-04-22_12,288.52853
2015-04-22_18,288.0287
