Date,Average pressure [Pa]
2013-01-01_00,98615.67
2013-01-01_06,98387.41
2013-01-01_12,98407.62
2013-01-01_18,98307.91
2013-01-02_00,98615.53
2013-01-02_06,98750.98
2013-01-02_12,98822.24
2013-01-02_18,98830.01
2013-01-03_00,99144.336
2013-01-03_06,99327.125
2013-01-03_12,99299.07
2013-01-03_18,99106.32
2013-01-04_00,99059.2
2013-01-04_06,98932.055
2013-01-04_12,98977.17
2013-01-04_18,98728.125
2013-01-05_00,98682.64
2013-01-05_06,98842.53
2013-01-05_12,99355.32
2013-01-05_18,99552.98
2013-01-06_00,99592.625
2013-01-06_06,99395.07
2013-01-06_12,99070.336
2013-01-06_18,98778.98
2013-01-07_00,98796.14
2013-01-07_06,99014.04
2013-01-07_12,99483.69
2013-01-07_18,99878.95
2013-01-08_00,100077.98
2013-01-08_06,99971.61
2013-01-08_12,99977.3
2013-01-08_18,99889.28
2013-01-09_00,99999.95
2013-01-09_06,100022.78
2013-01-09_12,99947.336
2013-01-09_18,99551.78
2013-01-10_00,99403.3
2013-01-10_06,99680.4
2013-01-10_12,100229.445
2013-01-10_18,100361.984
2013-01-11_00,100534.35
2013-01-11_06,100467.164
2013-01-11_12,100240.41
2013-01-11_18,99827.27
2013-01-12_00,99405.54
2013-01-12_06,99097.9
2013-01-12_12,99200.83
2013-01-12_18,99225.93
2013-01-13_00,99271.83
2013-01-13_06,99211.766
2013-01-13_12,99105.71
2013-01-13_18,99025.44
2013-01-14_00,98907.3
2013-01-14_06,98769.14
2013-01-14_12,98776.91
2013-01-14_18,99163.19
2013-01-15_00,99557.64
2013-01-15_06,99674.56
2013-01-15_12,99734.984
2013-01-15_18,99708.74
2013-01-16_00,99729.055
2013-01-16_06,99389.6
2013-01-16_12,98999.586
2013-01-16_18,98461.84
2013-01-17_00,98461.4
2013-01-17_06,98577.83
2013-01-17_12,98753.0
2013-01-17_18,98934.35
2013-01-18_00,99149.24
2013-01-18_06,98913.55
2013-01-18_12,99584.055
2013-01-18_18,100097.44
2013-01-19_00,100210.55
2013-01-19_06,99855.984
2013-01-19_12,99582.55
2013-01-19_18,99173.44
2013-01-20_00,98835.13
2013-01-20_06,98294.85
2013-01-20_12,97912.26
2013-01-20_18,97928.15
2013-01-21_00,98593.29
2013-01-21_06,98888.21
2013-01-21_12,98966.234
2013-01-21_18,98624.0
2013-01-22_00,98338.84
2013-01-22_06,98188.89
2013-01-22_12,98643.58
2013-01-22_18,98785.62
2013-01-23_00,99180.25
2013-01-23_06,99252.64
2013-01-23_12,99372.95
2013-01-23_18,99273.195
2013-01-24_00,99261.305
2013-01-24_06,99172.51
2013-01-24_12,99264.04
2013-01-24_18,99541.58
2013-01-25_00,99963.016
2013-01-25_06,100055.1
2013-01-25_12,100012.11
2013-01-25_18,99587.41
2013-01-26_00,99109.86
2013-01-26_06,98923.414
2013-01-26_12,99036.67
2013-01-26_18,99208.03
2013-01-27_00,99601.3
2013-01-27_06,99988.695
2013-01-27_12,100205.3
2013-01-27_18,100340.92
2013-01-28_00,100375.24
2013-01-28_06,100293.336
2013-01-28_12,99984.16
2013-01-28_18,99354.95
2013-01-29_00,98909.445
2013-01-29_06,98763.21
2013-01-29_12,99081.375
2013-01-29_18,99089.16
2013-01-30_00,99043.234
2013-01-30_06,98833.25
2013-01-30_12,98332.88
2013-01-30_18,97695.484
2013-01-31_00,97305.81
2013-01-31_06,96254.1
2013-01-31_12,96058.375
2013-01-31_18,96983.86
2013-02-01_00,97689.695
2013-02-01_06,98009.72
2013-02-01_12,98205.03
2013-02-01_18,98415.36
2013-02-02_00,99098.02
2013-02-02_06,99488.94
2013-02-02_12,99555.71
2013-02-02_18,99245.38
2013-02-03_00,98980.445
2013-02-03_06,98772.51
2013-02-03_12,98510.375
2013-02-03_18,98234.52
2013-02-04_00,98058.35
2013-02-04_06,98155.17
2013-02-04_12,98480.79
2013-02-04_18,98530.88
2013-02-05_00,98573.85
2013-02-05_06,98521.63
2013-02-05_12,98530.62
2013-02-05_18,98481.59
2013-02-06_00,98427.0
2013-02-06_06,98463.305
2013-02-06_12,98795.31
2013-02-06_18,99125.69
2013-02-07_00,99624.22
2013-02-07_06,99908.836
2013-02-07_12,100188.52
2013-02-07_18,100192.77
2013-02-08_00,100040.945
2013-02-08_06,99683.74
2013-02-08_12,99132.72
2013-02-08_18,98346.09
2013-02-09_00,97846.414
2013-02-09_06,98014.8
2013-02-09_12,98496.92
2013-02-09_18,99012.41
2013-02-10_00,99580.01
2013-02-10_06,99865.97
2013-02-10_12,100074.805
2013-02-10_18,100110.52
2013-02-11_00,99933.11
2013-02-11_06,99625.76
2013-02-11_12,99014.6
2013-02-11_18,98225.05
2013-02-12_00,97774.54
2013-02-12_06,97977.54
2013-02-12_12,98216.97
2013-02-12_18,98405.56
2013-02-13_00,98619.53
2013-02-13_06,98556.47
2013-02-13_12,98469.51
2013-02-13_18,98151.88
2013-02-14_00,97800.34
2013-02-14_06,97868.06
2013-02-14_12,98324.93
2013-02-14_18,98569.83
2013-02-15_00,98659.67
2013-02-15_06,98706.71
2013-02-15_12,98698.78
2013-02-15_18,98646.66
2013-02-16_00,98591.6
2013-02-16_06,98713.04
2013-02-16_12,98630.79
2013-02-16_18,98458.836
2013-02-17_00,98299.66
2013-02-17_06,97959.836
2013-02-17_12,97830.01
2013-02-17_18,97906.125
2013-02-18_00,98364.914
2013-02-18_06,98804.64
2013-02-18_12,99298.95
2013-02-18_18,99451.516
2013-02-19_00,99405.91
2013-02-19_06,99263.67
2013-02-19_12,98819.12
2013-02-19_18,98244.41
