Date,Average temperature [K]
2012-01-01_00,297.49243
2012-01-01_06,295.7202
2012-01-01_12,308.22253
2012-01-01_18,304.3559
2012-01-02_00,297.71234
2012-01-02_06,297.01526
2012-01-02_12,302.69336
2012-01-02_18,299.56915
2012-01-03_00,293.69458
2012-01-03_06,292.08203
2012-01-03_12,302.4464
2012-01-03_18,299.60587
2012-01-04_00,295.31625
2012-01-04_06,290.8625
2012-01-04_12,304.68494
2012-01-04_18,298.5774
2012-01-05_00,291.03268
2012-01-05_06,290.82263
2012-01-05_12,304.37982
2012-01-05_18,299.76935
2012-01-06_00,293.2976
2012-01-06_06,295.84967
2012-01-06_12,304.23236
2012-01-06_18,298.1156
2012-01-07_00,294.95773
2012-01-07_06,294.54907
2012-01-07_12,307.893
2012-01-07_18,300.79822
2012-01-08_00,292.57635
2012-01-08_06,291.79623
2012-01-08_12,303.72473
2012-01-08_18,300.61365
2012-01-09_00,294.59332
2012-01-09_06,293.2978
2012-01-09_12,305.79144
2012-01-09_18,301.9409
2012-01-10_00,295.7708
2012-01-10_06,293.29712
2012-01-10_12,306.02942
2012-01-10_18,302.90778
2012-01-11_00,295.5077
2012-01-11_06,293.25885
2012-01-11_12,303.4721
2012-01-11_18,298.86768
2012-01-12_00,294.35876
2012-01-12_06,293.2736
2012-01-12_12,303.5476
2012-01-12_18,298.73492
2012-01-13_00,294.74994
2012-01-13_06,292.21582
2012-01-13_12,300.19873
2012-01-13_18,297.09128
2012-01-14_00,291.82568
2012-01-14_06,290.18384
2012-01-14_12,299.43155
2012-01-14_18,296.8031
2012-01-15_00,293.57086
2012-01-15_06,293.30612
2012-01-15_12,302.98645
2012-01-15_18,298.04437
2012-01-16_00,291.77582
2012-01-16_06,290.75018
2012-01-16_12,303.12268
2012-01-16_18,299.24298
2012-01-17_00,293.16907
2012-01-17_06,292.16016
2012-01-17_12,304.45517
2012-01-17_18,299.90088
2012-01-18_00,294.68036
2012-01-18_06,292.9616
2012-01-18_12,305.54346
2012-01-18_18,299.49432
2012-01-19_00,293.77008
2012-01-19_06,293.0913
2012-01-19_12,304.98334
2012-01-19_18,298.261
2012-01-20_00,294.81757
2012-01-20_06,294.4647
2012-01-20_12,304.74103
2012-01-20_18,299.5512
2012-01-21_00,290.78894
2012-01-21_06,292.46527
2012-01-21_12,302.3489
2012-01-21_18,297.9486
2012-01-22_00,291.71442
2012-01-22_06,291.89288
2012-01-22_12,302.298
2012-01-22_18,297.26358
2012-01-23_00,293.22974
2012-01-23_06,291.05414
2012-01-23_12,300.0089
2012-01-23_18,297.31506
2012-01-24_00,291.52756
2012-01-24_06,290.39105
2012-01-24_12,304.18744
2012-01-24_18,298.1283
2012-01-25_00,293.09772
2012-01-25_06,291.95892
2012-01-25_12,305.56976
2012-01-25_18,301.35898
2012-01-26_00,295.84546
2012-01-26_06,292.5765
2012-01-26_12,306.59802
2012-01-26_18,298.92636
2012-01-27_00,294.796
2012-01-27_06,293.34955
2012-01-27_12,307.8731
2012-01-27_18,302.23566
2012-01-28_00,295.98672
2012-01-28_06,295.13446
2012-01-28_12,308.8689
2012-01-28_18,303.32874
2012-01-29_00,296.4709
2012-01-29_06,295.10358
2012-01-29_12,308.17172
2012-01-29_18,303.38354
2012-01-30_00,295.62793
2012-01-30_06,294.30225
2012-01-30_12,311.073
2012-01-30_18,305.50177
2012-01-31_00,297.34854
2012-01-31_06,296.11444
2012-01-31_12,311.46716
2012-01-31_18,303.70892
2012-02-01_00,298.88586
2012-02-01_06,297.02686
2012-02-01_12,310.19275
2012-02-01_18,307.72577
2012-02-02_00,299.674
2012-02-02_06,295.23123
2012-02-02_12,306.09644
2012-02-02_18,302.57922
2012-02-03_00,295.3316
2012-02-03_06,295.06122
2012-02-03_12,309.86475
2012-02-03_18,302.55188
2012-02-04_00,296.57294
2012-02-04_06,296.4226
2012-02-04_12,309.03912
2012-02-04_18,302.61475
2012-02-05_00,297.4793
2012-02-05_06,294.28552
2012-02-05_12,308.9702
2012-02-05_18,302.8496
2012-02-06_00,296.79218
2012-02-06_06,296.41644
2012-02-06_12,310.58722
2012-02-06_18,305.32397
2012-02-07_00,299.37177
2012-02-07_06,298.6343
2012-02-07_12,312.35895
2012-02-07_18,305.96957
2012-02-08_00,301.0564
2012-02-08_06,299.04938
2012-02-08_12,310.23526
2012-02-08_18,305.13397
2012-02-09_00,300.33966
2012-02-09_06,297.16254
2012-02-09_12,310.4942
2012-02-09_18,304.45892
2012-02-10_00,299.0679
2012-02-10_06,296.3056
2012-02-10_12,311.28998
2012-02-10_18,303.5658
2012-02-11_00,298.61865
2012-02-11_06,296.98553
2012-02-11_12,308.41537
2012-02-11_18,304.31
2012-02-12_00,299.12628
2012-02-12_06,297.55917
2012-02-12_12,308.93524
2012-02-12_18,305.48254
2012-02-13_00,299.38065
2012-02-13_06,298.71667
2012-02-13_12,311.0412
2012-02-13_18,305.08563
2012-02-14_00,298.23053
2012-02-14_06,299.25363
2012-02-14_12,312.0125
2012-02-14_18,305.62006
2012-02-15_00,299.0056
2012-02-15_06,302.2159
2012-02-15_12,312.76447
2012-02-15_18,306.38434
2012-02-16_00,299.0685
2012-02-16_06,298.72253
2012-02-16_12,310.46768
2012-02-16_18,307.08972
2012-02-17_00,299.46057
2012-02-17_06,299.84247
2012-02-17_12,310.39148
2012-02-17_18,306.16248
2012-02-18_00,300.03455
2012-02-18_06,297.04358
2012-02-18_12,307.97144
2012-02-18_18,303.09143
2012-02-19_00,296.4022
2012-02-19_06,294.56726
2012-02-19_12,304.0799
2012-02-19_18,300.80255
2012-02-20_00,294.7515
2012-02-20_06,291.74402
2012-02-20_12,306.4997
2012-02-20_18,302.89752
2012-02-21_00,297.69348
2012-02-21_06,296.18732
2012-02-21_12,307.95618
2012-02-21_18,302.10593
2012-02-22_00,297.38025
2012-02-22_06,295.44983
2012-02-22_12,310.22424
2012-02-22_18,305.49835
2012-02-23_00,298.01715
2012-02-23_06,301.10718
2012-02-23_12,310.92834
2012-02-23_18,305.69562
2012-02-24_00,299.8955
2012-02-24_06,299.62897
2012-02-24_12,311.8213
2012-02-24_18,306.6765
2012-02-25_00,301.38562
2012-02-25_06,300.74246
2012-02-25_12,310.7392
2012-02-25_18,305.23083
2012-02-26_00,297.63705
2012-02-26_06,295.09192
2012-02-26_12,305.22812
2012-02-26_18,299.73773
2012-02-27_00,293.95447
2012-02-27_06,292.0824
2012-02-27_12,306.49124
2012-02-27_18,300.55927
2012-02-28_00,295.13635
2012-02-28_06,294.6892
2012-02-28_12,308.65692
2012-02-28_18,303.0846
2012-02-29_00,298.83646
2012-02-29_06,297.26398
2012-02-29_12,309.67096
2012-02-29_18,303.7445
2012-03-01_00,297.48895
2012-03-01_06,297.15588
2012-03-01_12,308.78082
