Date,Average temperature [K]
2012-01-01_00,291.2522
2012-01-01_06,293.3745
2012-01-01_12,301.0365
2012-01-01_18,294.37885
2012-01-02_00,290.2724
2012-01-02_06,293.9015
2012-01-02_12,301.55518
2012-01-02_18,297.04132
2012-01-03_00,291.43628
2012-01-03_06,293.22705
2012-01-03_12,299.6554
2012-01-03_18,295.29874
2012-01-04_00,290.2767
2012-01-04_06,292.87958
2012-01-04_12,300.11072
2012-01-04_18,296.3567
2012-01-05_00,290.25192
2012-01-05_06,294.5658
2012-01-05_12,301.07465
2012-01-05_18,296.2591
2012-01-06_00,289.80444
2012-01-06_06,292.8062
2012-01-06_12,301.53363
2012-01-06_18,297.03113
2012-01-07_00,289.947
2012-01-07_06,292.92212
2012-01-07_12,301.39935
2012-01-07_18,296.40515
2012-01-08_00,291.85028
2012-01-08_06,293.78256
2012-01-08_12,298.93127
2012-01-08_18,295.72595
2012-01-09_00,291.35553
2012-01-09_06,293.58246
2012-01-09_12,300.16058
2012-01-09_18,296.70065
2012-01-10_00,293.57697
2012-01-10_06,294.26392
2012-01-10_12,301.54504
2012-01-10_18,296.55133
2012-01-11_00,292.6737
2012-01-11_06,295.0279
2012-01-11_12,301.36908
2012-01-11_18,297.0288
2012-01-12_00,292.82214
2012-01-12_06,294.4401
2012-01-12_12,301.16138
2012-01-12_18,297.00397
2012-01-13_00,293.1684
2012-01-13_06,292.98535
2012-01-13_12,299.8745
2012-01-13_18,296.76657
2012-01-14_00,292.9414
2012-01-14_06,292.93872
2012-01-14_12,299.80167
2012-01-14_18,298.41296
2012-01-15_00,289.9146
2012-01-15_06,292.40622
2012-01-15_12,300.03723
2012-01-15_18,295.5805
2012-01-16_00,289.54144
2012-01-16_06,293.26483
2012-01-16_12,299.4391
2012-01-16_18,294.9461
2012-01-17_00,289.50793
2012-01-17_06,293.62207
2012-01-17_12,301.49228
2012-01-17_18,296.74756
2012-01-18_00,289.71014
2012-01-18_06,293.7326
2012-01-18_12,300.7373
2012-01-18_18,297.61493
2012-01-19_00,291.64557
2012-01-19_06,292.35596
2012-01-19_12,299.90228
2012-01-19_18,297.00366
2012-01-20_00,289.5866
2012-01-20_06,291.639
2012-01-20_12,301.55304
2012-01-20_18,296.1469
2012-01-21_00,289.57068
2012-01-21_06,292.33978
2012-01-21_12,301.40018
2012-01-21_18,297.26794
2012-01-22_00,290.29303
2012-01-22_06,292.14777
2012-01-22_12,302.94107
2012-01-22_18,299.69083
2012-01-23_00,290.60083
2012-01-23_06,293.47992
2012-01-23_12,303.19543
2012-01-23_18,296.97815
2012-01-24_00,290.22922
2012-01-24_06,293.1762
2012-01-24_12,303.34418
2012-01-24_18,296.11462
2012-01-25_00,290.65387
2012-01-25_06,294.09418
2012-01-25_12,304.86908
2012-01-25_18,300.12265
2012-01-26_00,290.98853
2012-01-26_06,295.0018
2012-01-26_12,302.35046
2012-01-26_18,297.6998
2012-01-27_00,291.96542
2012-01-27_06,295.6308
2012-01-27_12,306.6524
2012-01-27_18,298.492
2012-01-28_00,295.59317
2012-01-28_06,296.31122
2012-01-28_12,305.04468
2012-01-28_18,295.4718
2012-01-29_00,293.81366
2012-01-29_06,296.11676
2012-01-29_12,305.33188
2012-01-29_18,299.07983
2012-01-30_00,293.2588
2012-01-30_06,296.8208
2012-01-30_12,305.51587
2012-01-30_18,298.57062
2012-01-31_00,293.7455
2012-01-31_06,295.8869
2012-01-31_12,306.91687
2012-01-31_18,299.82513
2012-02-01_00,292.60657
2012-02-01_06,296.72852
