Date,Average temperature [K]
2012-01-01_00,285.57544
2012-01-01_06,285.83643
2012-01-01_12,292.10095
2012-01-01_18,287.01215
2012-01-02_00,284.6147
2012-01-02_06,285.56067
2012-01-02_12,290.4214
2012-01-02_18,287.1917
2012-01-03_00,284.05005
2012-01-03_06,283.8628
2012-01-03_12,292.67395
2012-01-03_18,287.69766
2012-01-04_00,284.5062
2012-01-04_06,284.75946
2012-01-04_12,291.75183
2012-01-04_18,287.30737
2012-01-05_00,283.75632
2012-01-05_06,283.57654
2012-01-05_12,292.1098
2012-01-05_18,287.07697
2012-01-06_00,283.1482
2012-01-06_06,281.8145
2012-01-06_12,291.56537
2012-01-06_18,286.3446
2012-01-07_00,283.86105
2012-01-07_06,284.3645
2012-01-07_12,292.45258
2012-01-07_18,290.07166
2012-01-08_00,287.0539
2012-01-08_06,283.85678
2012-01-08_12,291.068
2012-01-08_18,287.83435
2012-01-09_00,285.07623
2012-01-09_06,283.8271
2012-01-09_12,292.67914
2012-01-09_18,286.6157
2012-01-10_00,282.7835
2012-01-10_06,282.05884
2012-01-10_12,291.15198
2012-01-10_18,287.7115
2012-01-11_00,287.75134
2012-01-11_06,284.128
2012-01-11_12,288.72943
2012-01-11_18,284.95068
2012-01-12_00,282.12878
2012-01-12_06,281.2394
2012-01-12_12,288.69604
2012-01-12_18,284.8106
2012-01-13_00,283.2226
2012-01-13_06,283.33105
2012-01-13_12,287.1494
2012-01-13_18,283.5532
2012-01-14_00,281.89893
2012-01-14_06,281.72437
2012-01-14_12,289.8964
2012-01-14_18,286.60095
2012-01-15_00,283.41705
2012-01-15_06,282.38913
2012-01-15_12,291.5929
2012-01-15_18,285.76312
2012-01-16_00,282.56683
2012-01-16_06,282.01337
2012-01-16_12,291.44543
2012-01-16_18,286.50568
2012-01-17_00,283.18616
2012-01-17_06,282.68896
2012-01-17_12,290.52158
2012-01-17_18,286.29053
2012-01-18_00,282.80243
2012-01-18_06,281.59296
2012-01-18_12,288.7456
2012-01-18_18,284.58954
2012-01-19_00,284.55475
2012-01-19_06,283.41064
2012-01-19_12,288.53412
2012-01-19_18,284.98267
2012-01-20_00,281.3703
2012-01-20_06,281.78256
2012-01-20_12,289.50763
2012-01-20_18,285.2182
2012-01-21_00,282.51794
2012-01-21_06,282.5185
2012-01-21_12,290.6785
2012-01-21_18,285.98083
2012-01-22_00,283.3062
2012-01-22_06,284.3626
2012-01-22_12,289.01627
2012-01-22_18,285.90518
2012-01-23_00,283.00366
2012-01-23_06,282.4936
2012-01-23_12,292.4049
2012-01-23_18,287.33704
2012-01-24_00,284.14035
2012-01-24_06,284.05756
2012-01-24_12,292.5551
2012-01-24_18,288.2787
2012-01-25_00,284.8819
2012-01-25_06,286.23334
2012-01-25_12,295.58197
2012-01-25_18,288.5753
2012-01-26_00,285.56714
2012-01-26_06,285.07602
2012-01-26_12,292.93835
2012-01-26_18,289.18076
2012-01-27_00,286.2828
2012-01-27_06,285.1474
2012-01-27_12,290.73688
2012-01-27_18,287.24933
2012-01-28_00,284.86954
2012-01-28_06,284.91034
2012-01-28_12,290.5647
2012-01-28_18,286.50647
2012-01-29_00,283.4411
2012-01-29_06,283.1446
2012-01-29_12,290.5604
2012-01-29_18,287.1272
2012-01-30_00,284.43506
2012-01-30_06,284.37695
2012-01-30_12,292.47925
2012-01-30_18,290.27814
2012-01-31_00,287.21085
2012-01-31_06,285.0412
2012-01-31_12,293.16003
2012-01-31_18,289.03168
2012-02-01_00,284.4254
2012-02-01_06,283.01562
2012-02-01_12,288.9574
2012-02-01_18,284.72333
2012-02-02_00,282.8283
2012-02-02_06,282.57498
2012-02-02_12,290.4768
2012-02-02_18,286.0011
2012-02-03_00,282.43024
2012-02-03_06,282.94403
2012-02-03_12,292.08447
2012-02-03_18,286.48157
2012-02-04_00,282.56708
2012-02-04_06,282.9851
2012-02-04_12,294.6324
2012-02-04_18,288.1748
2012-02-05_00,282.25177
2012-02-05_06,283.6117
2012-02-05_12,294.96143
2012-02-05_18,287.26758
2012-02-06_00,282.9074
2012-02-06_06,284.82513
2012-02-06_12,293.85724
2012-02-06_18,291.12817
2012-02-07_00,289.03436
2012-02-07_06,285.59378
2012-02-07_12,286.81403
2012-02-07_18,284.81186
2012-02-08_00,281.43872
2012-02-08_06,279.37506
2012-02-08_12,290.6791
2012-02-08_18,285.362
2012-02-09_00,281.53204
2012-02-09_06,280.63666
2012-02-09_12,291.1026
2012-02-09_18,286.3388
2012-02-10_00,283.6099
2012-02-10_06,283.2138
2012-02-10_12,292.8852
2012-02-10_18,286.515
2012-02-11_00,283.3296
2012-02-11_06,283.00848
2012-02-11_12,293.22885
2012-02-11_18,289.11566
2012-02-12_00,285.38507
2012-02-12_06,284.75302
2012-02-12_12,293.4782
2012-02-12_18,289.17932
2012-02-13_00,286.90945
2012-02-13_06,287.3568
2012-02-13_12,298.40985
2012-02-13_18,290.41522
2012-02-14_00,286.18463
2012-02-14_06,285.74728
2012-02-14_12,292.93634
2012-02-14_18,291.13568
2012-02-15_00,288.24097
2012-02-15_06,287.44443
2012-02-15_12,296.25714
2012-02-15_18,288.49908
2012-02-16_00,284.94302
2012-02-16_06,285.31042
2012-02-16_12,289.51456
2012-02-16_18,286.04285
2012-02-17_00,284.3927
2012-02-17_06,285.03192
2012-02-17_12,288.28406
2012-02-17_18,284.9862
2012-02-18_00,283.46912
2012-02-18_06,283.27747
2012-02-18_12,287.7224
2012-02-18_18,284.03723
2012-02-19_00,282.97397
2012-02-19_06,282.9359
2012-02-19_12,288.29474
2012-02-19_18,285.58966
2012-02-20_00,281.38577
2012-02-20_06,282.87048
2012-02-20_12,290.6325
2012-02-20_18,286.7657
2012-02-21_00,282.68518
2012-02-21_06,283.867
2012-02-21_12,292.11145
2012-02-21_18,287.09323
2012-02-22_00,283.33582
2012-02-22_06,284.68225
2012-02-22_12,294.53088
2012-02-22_18,288.56964
2012-02-23_00,284.8946
2012-02-23_06,285.7307
2012-02-23_12,294.797
2012-02-23_18,289.63947
2012-02-24_00,286.09717
2012-02-24_06,285.91266
2012-02-24_12,293.85986
2012-02-24_18,286.99048
2012-02-25_00,285.74597
2012-02-25_06,285.34695
2012-02-25_12,294.11957
2012-02-25_18,287.94812
2012-02-26_00,283.83432
2012-02-26_06,285.42737
2012-02-26_12,293.0206
2012-02-26_18,290.32123
2012-02-27_00,286.27966
2012-02-27_06,287.5448
2012-02-27_12,296.9185
2012-02-27_18,290.16034
2012-02-28_00,287.6422
2012-02-28_06,288.75854
2012-02-28_12,292.57245
2012-02-28_18,288.0016
2012-02-29_00,284.35355
2012-02-29_06,284.69464
2012-02-29_12,285.83795
2012-02-29_18,283.48962
2012-03-01_00,284.68036
2012-03-01_06,284.39172
2012-03-01_12,286.26617
2012-03-01_18,283.17206
2012-03-02_00,282.1283
2012-03-02_06,282.50983
2012-03-02_12,286.35934
2012-03-02_18,282.29572
2012-03-03_00,280.88904
2012-03-03_06,283.524
2012-03-03_12,289.63208
2012-03-03_18,287.48325
2012-03-04_00,284.7743
2012-03-04_06,286.07587
2012-03-04_12,293.36426
2012-03-04_18,288.0605
2012-03-05_00,283.97876
2012-03-05_06,284.66064
2012-03-05_12,293.8424
2012-03-05_18,289.06012
2012-03-06_00,284.5106
2012-03-06_06,287.02808
2012-03-06_12,297.20038
2012-03-06_18,291.13382
2012-03-07_00,285.35516
2012-03-07_06,286.72305
2012-03-07_12,294.90167
2012-03-07_18,288.77368
2012-03-08_00,285.10736
2012-03-08_06,286.93823
2012-03-08_12,294.61646
2012-03-08_18,289.0841
2012-03-09_00,285.39526
2012-03-09_06,287.90936
2012-03-09_12,295.7173
2012-03-09_18,288.93903
2012-03-10_00,285.3814
2012-03-10_06,287.0114
2012-03-10_12,298.66333
2012-03-10_18,290.89905
2012-03-11_00,287.7524
2012-03-11_06,288.2401
2012-03-11_12,300.65668
2012-03-11_18,298.7962
2012-03-12_00,293.78546
2012-03-12_06,293.0415
2012-03-12_12,298.35883
2012-03-12_18,294.5859
2012-03-13_00,289.60632
2012-03-13_06,289.5319
2012-03-13_12,297.26846
2012-03-13_18,291.25616
2012-03-14_00,286.86536
2012-03-14_06,286.71747
2012-03-14_12,293.30655
2012-03-14_18,287.273
2012-03-15_00,285.23566
2012-03-15_06,286.74927
2012-03-15_12,291.2544
2012-03-15_18,287.53436
2012-03-16_00,285.20325
2012-03-16_06,286.35083
2012-03-16_12,291.6611
2012-03-16_18,286.8142
2012-03-17_00,283.06622
2012-03-17_06,284.66357
2012-03-17_12,291.69427
2012-03-17_18,285.74448
2012-03-18_00,283.2421
2012-03-18_06,284.43097
2012-03-18_12,292.59036
2012-03-18_18,286.56525
2012-03-19_00,283.20996
2012-03-19_06,286.1526
2012-03-19_12,295.38086
2012-03-19_18,287.6406
2012-03-20_00,283.9854
2012-03-20_06,286.83994
2012-03-20_12,295.35913
2012-03-20_18,289.03998
2012-03-21_00,284.7782
2012-03-21_06,287.53912
2012-03-21_12,297.16708
2012-03-21_18,290.02545
2012-03-22_00,286.41083
2012-03-22_06,286.70526
2012-03-22_12,298.36145
2012-03-22_18,291.55292
2012-03-23_00,285.28174
2012-03-23_06,287.5148
2012-03-23_12,297.02686
2012-03-23_18,290.7813
2012-03-24_00,285.59845
2012-03-24_06,287.6748
2012-03-24_12,297.48346
2012-03-24_18,289.70032
2012-03-25_00,285.497
2012-03-25_06,287.59396
2012-03-25_12,296.7868
2012-03-25_18,289.9523
2012-03-26_00,286.4616
2012-03-26_06,287.12354
2012-03-26_12,295.76837
2012-03-26_18,289.82214
2012-03-27_00,286.04138
2012-03-27_06,287.74945
2012-03-27_12,295.63104
2012-03-27_18,290.33356
2012-03-28_00,287.10724
2012-03-28_06,288.05206
2012-03-28_12,296.14508
2012-03-28_18,289.56372
2012-03-29_00,285.2557
2012-03-29_06,288.00665
2012-03-29_12,295.60092
2012-03-29_18,287.87817
2012-03-30_00,284.6275
2012-03-30_06,287.21155
2012-03-30_12,294.8296
2012-03-30_18,289.81924
2012-03-31_00,286.0893
2012-03-31_06,288.83765
2012-03-31_12,298.04987
2012-03-31_18,293.7287
2012-04-01_00,288.87378
2012-04-01_06,294.41113
2012-04-01_12,302.9864
2012-04-01_18,294.96967
2012-04-02_00,289.45526
2012-04-02_06,290.57425
2012-04-02_12,299.5115
2012-04-02_18,291.5763
2012-04-03_00,287.5959
2012-04-03_06,290.18893
2012-04-03_12,298.90765
2012-04-03_18,292.0222
2012-04-04_00,287.39105
2012-04-04_06,289.45572
2012-04-04_12,299.17175
2012-04-04_18,292.10822
2012-04-05_00,290.15338
2012-04-05_06,290.7895
2012-04-05_12,303.42444
2012-04-05_18,295.92987
2012-04-06_00,290.22803
2012-04-06_06,292.88135
2012-04-06_12,306.2259
2012-04-06_18,299.3837
2012-04-07_00,293.8238
2012-04-07_06,298.7644
2012-04-07_12,309.51385
2012-04-07_18,299.886
2012-04-08_00,291.26025
2012-04-08_06,293.44672
2012-04-08_12,309.57727
2012-04-08_18,300.43732
2012-04-09_00,291.78778
2012-04-09_06,292.3686
2012-04-09_12,300.94177
2012-04-09_18,292.86737
2012-04-10_00,289.2128
2012-04-10_06,291.0598
2012-04-10_12,301.1756
2012-04-10_18,290.10016
2012-04-11_00,287.31622
2012-04-11_06,290.66144
2012-04-11_12,297.3021
2012-04-11_18,290.65912
2012-04-12_00,286.16754
2012-04-12_06,289.61963
2012-04-12_12,296.4157
2012-04-12_18,292.5161
2012-04-13_00,288.2038
2012-04-13_06,289.1842
2012-04-13_12,299.73883
2012-04-13_18,296.8235
2012-04-14_00,293.8947
2012-04-14_06,295.8663
2012-04-14_12,306.51556
2012-04-14_18,299.6736
2012-04-15_00,295.93213
2012-04-15_06,298.31976
2012-04-15_12,302.15912
2012-04-15_18,292.28986
2012-04-16_00,289.05618
2012-04-16_06,290.89252
2012-04-16_12,299.60263
2012-04-16_18,293.42126
2012-04-17_00,288.2672
2012-04-17_06,290.93146
2012-04-17_12,302.57513
2012-04-17_18,294.7431
2012-04-18_00,293.93457
2012-04-18_06,296.5866
2012-04-18_12,299.2254
2012-04-18_18,292.0614
2012-04-19_00,289.43433
2012-04-19_06,291.95544
2012-04-19_12,298.38086
2012-04-19_18,292.80493
2012-04-20_00,287.85217
2012-04-20_06,290.65363
2012-04-20_12,298.91708
2012-04-20_18,293.45065
2012-04-21_00,290.43298
2012-04-21_06,292.977
2012-04-21_12,301.08344
2012-04-21_18,297.31683
2012-04-22_00,291.38623
2012-04-22_06,294.18814
2012-04-22_12,304.66766
2012-04-22_18,292.87335
2012-04-23_00,288.53784
2012-04-23_06,290.87665
2012-04-23_12,298.0139
2012-04-23_18,291.18402
2012-04-24_00,287.86133
2012-04-24_06,291.85004
2012-04-24_12,300.29565
2012-04-24_18,292.92535
2012-04-25_00,288.72314
2012-04-25_06,292.05005
2012-04-25_12,301.4453
2012-04-25_18,294.40125
2012-04-26_00,289.96442
2012-04-26_06,293.98944
2012-04-26_12,304.21838
2012-04-26_18,295.9557
2012-04-27_00,289.41827
2012-04-27_06,293.2539
2012-04-27_12,305.23004
2012-04-27_18,295.92053
2012-04-28_00,291.12476
2012-04-28_06,292.06635
2012-04-28_12,303.24182
2012-04-28_18,293.85468
2012-04-29_00,289.76453
2012-04-29_06,291.5095
2012-04-29_12,302.81128
