Date,Average temperature [K]
2012-01-01_00,281.4895
2012-01-01_06,280.65674
2012-01-01_12,290.9154
2012-01-01_18,284.63568
2012-01-02_00,281.69525
2012-01-02_06,281.10852
2012-01-02_12,289.91064
2012-01-02_18,285.33234
2012-01-03_00,281.8933
2012-01-03_06,280.4331
2012-01-03_12,290.3224
2012-01-03_18,285.16202
2012-01-04_00,280.91635
2012-01-04_06,280.42645
2012-01-04_12,290.0121
2012-01-04_18,285.1985
2012-01-05_00,280.7031
2012-01-05_06,279.78064
2012-01-05_12,290.76703
2012-01-05_18,284.74054
2012-01-06_00,279.9226
2012-01-06_06,278.86676
2012-01-06_12,290.93304
2012-01-06_18,283.77332
2012-01-07_00,279.822
2012-01-07_06,283.22876
2012-01-07_12,291.4306
2012-01-07_18,285.7157
2012-01-08_00,282.10516
2012-01-08_06,279.96713
2012-01-08_12,289.86682
2012-01-08_18,284.36365
2012-01-09_00,279.92096
2012-01-09_06,278.72406
2012-01-09_12,289.76605
2012-01-09_18,283.16843
2012-01-10_00,278.9344
2012-01-10_06,278.36255
2012-01-10_12,290.20813
2012-01-10_18,284.18903
2012-01-11_00,280.91492
2012-01-11_06,279.78668
2012-01-11_12,288.58002
2012-01-11_18,283.7954
2012-01-12_00,278.78992
2012-01-12_06,278.194
2012-01-12_12,288.47388
2012-01-12_18,283.2022
2012-01-13_00,279.30414
2012-01-13_06,278.3418
2012-01-13_12,288.0796
2012-01-13_18,283.2451
2012-01-14_00,278.93945
2012-01-14_06,278.15356
2012-01-14_12,288.75284
2012-01-14_18,283.4442
2012-01-15_00,278.24274
2012-01-15_06,278.23044
2012-01-15_12,289.77454
2012-01-15_18,283.21625
2012-01-16_00,279.45258
2012-01-16_06,277.8498
2012-01-16_12,290.16272
2012-01-16_18,283.78302
2012-01-17_00,279.11243
2012-01-17_06,277.66895
2012-01-17_12,289.71005
2012-01-17_18,285.2202
2012-01-18_00,280.88104
2012-01-18_06,278.81073
2012-01-18_12,291.08594
2012-01-18_18,284.46454
2012-01-19_00,281.72565
2012-01-19_06,279.9712
2012-01-19_12,289.5058
2012-01-19_18,284.4812
2012-01-20_00,278.86298
2012-01-20_06,277.64975
2012-01-20_12,287.55597
2012-01-20_18,282.29437
2012-01-21_00,278.38513
2012-01-21_06,277.46283
2012-01-21_12,288.52615
2012-01-21_18,282.75623
2012-01-22_00,279.00787
2012-01-22_06,278.8255
2012-01-22_12,290.3981
2012-01-22_18,284.74747
2012-01-23_00,281.53247
2012-01-23_06,279.62738
2012-01-23_12,290.94348
2012-01-23_18,285.3678
2012-01-24_00,280.19308
2012-01-24_06,279.76996
2012-01-24_12,292.7514
2012-01-24_18,288.03748
2012-01-25_00,284.57184
2012-01-25_06,283.89398
2012-01-25_12,296.5595
2012-01-25_18,289.0211
2012-01-26_00,283.2854
2012-01-26_06,282.66782
2012-01-26_12,293.41394
2012-01-26_18,287.17636
2012-01-27_00,282.47226
2012-01-27_06,282.51752
2012-01-27_12,291.13385
2012-01-27_18,284.39532
2012-01-28_00,280.78555
2012-01-28_06,279.35907
2012-01-28_12,289.97437
2012-01-28_18,284.47375
2012-01-29_00,280.1496
