Date,Average temperature [K]
2012-01-01_00,288.3147
2012-01-01_06,289.22266
2012-01-01_12,290.4862
2012-01-01_18,288.57758
2012-01-02_00,288.9477
2012-01-02_06,289.60657
2012-01-02_12,289.60498
2012-01-02_18,288.48175
2012-01-03_00,289.33813
2012-01-03_06,289.05273
2012-01-03_12,290.66956
2012-01-03_18,288.184
2012-01-04_00,288.52377
2012-01-04_06,288.987
2012-01-04_12,291.3612
2012-01-04_18,288.07495
2012-01-05_00,289.0278
2012-01-05_06,289.1576
2012-01-05_12,289.56927
2012-01-05_18,286.49933
2012-01-06_00,287.81616
2012-01-06_06,287.63678
2012-01-06_12,290.48578
2012-01-06_18,289.1942
2012-01-07_00,290.27707
2012-01-07_06,290.3606
2012-01-07_12,288.74945
2012-01-07_18,288.61365
2012-01-08_00,288.84393
2012-01-08_06,287.46664
2012-01-08_12,288.90588
2012-01-08_18,287.7528
2012-01-09_00,287.56696
2012-01-09_06,288.4355
2012-01-09_12,291.0302
2012-01-09_18,287.69577
2012-01-10_00,288.65997
2012-01-10_06,289.47632
2012-01-10_12,289.3722
2012-01-10_18,287.2813
2012-01-11_00,288.39
2012-01-11_06,287.38776
2012-01-11_12,288.19086
2012-01-11_18,285.56152
2012-01-12_00,284.88904
2012-01-12_06,284.98502
2012-01-12_12,285.6184
2012-01-12_18,286.2105
2012-01-13_00,287.24457
2012-01-13_06,287.42578
2012-01-13_12,288.09473
2012-01-13_18,286.38766
2012-01-14_00,288.5371
2012-01-14_06,287.3601
2012-01-14_12,289.98038
2012-01-14_18,289.03943
2012-01-15_00,287.44
2012-01-15_06,287.41647
2012-01-15_12,290.1427
2012-01-15_18,288.56146
2012-01-16_00,287.7392
2012-01-16_06,288.46796
2012-01-16_12,287.38538
2012-01-16_18,287.55255
2012-01-17_00,286.32043
2012-01-17_06,286.42383
2012-01-17_12,287.18173
2012-01-17_18,286.042
2012-01-18_00,285.61102
2012-01-18_06,285.01532
2012-01-18_12,287.4546
2012-01-18_18,285.93134
2012-01-19_00,287.0064
2012-01-19_06,284.6167
2012-01-19_12,285.39984
2012-01-19_18,285.17505
2012-01-20_00,284.14618
2012-01-20_06,284.431
2012-01-20_12,288.4251
2012-01-20_18,286.67133
2012-01-21_00,287.5448
2012-01-21_06,285.39984
2012-01-21_12,288.14188
2012-01-21_18,286.5287
2012-01-22_00,287.64606
2012-01-22_06,286.5882
2012-01-22_12,286.05142
2012-01-22_18,286.32217
2012-01-23_00,286.4944
2012-01-23_06,286.15277
2012-01-23_12,288.7384
2012-01-23_18,286.34338
2012-01-24_00,286.6096
2012-01-24_06,287.4013
2012-01-24_12,289.3354
2012-01-24_18,287.59802
2012-01-25_00,287.83356
2012-01-25_06,288.518
2012-01-25_12,289.9389
2012-01-25_18,288.35312
2012-01-26_00,288.40063
2012-01-26_06,287.81528
2012-01-26_12,288.34412
2012-01-26_18,285.36874
2012-01-27_00,287.43222
2012-01-27_06,286.21185
2012-01-27_12,288.02985
2012-01-27_18,287.09747
2012-01-28_00,287.50723
2012-01-28_06,288.41864
2012-01-28_12,288.66382
2012-01-28_18,286.86243
2012-01-29_00,287.21698
2012-01-29_06,286.52887
2012-01-29_12,288.38412
2012-01-29_18,287.88403
2012-01-30_00,289.32812
2012-01-30_06,288.28564
2012-01-30_12,290.03442
2012-01-30_18,288.10626
2012-01-31_00,288.21133
2012-01-31_06,287.95526
2012-01-31_12,287.9579
2012-01-31_18,287.206
2012-02-01_00,286.984
2012-02-01_06,285.51807
2012-02-01_12,287.00134
2012-02-01_18,287.39667
2012-02-02_00,287.11005
2012-02-02_06,287.5491
2012-02-02_12,290.0144
2012-02-02_18,287.16125
2012-02-03_00,287.54498
2012-02-03_06,287.37958
2012-02-03_12,290.5166
2012-02-03_18,287.52698
2012-02-04_00,286.61298
2012-02-04_06,287.5818
2012-02-04_12,291.45367
2012-02-04_18,286.74707
2012-02-05_00,286.88165
2012-02-05_06,286.78064
2012-02-05_12,290.24072
2012-02-05_18,288.48926
2012-02-06_00,287.44696
2012-02-06_06,288.29486
2012-02-06_12,289.2386
2012-02-06_18,289.9519
2012-02-07_00,289.32245
2012-02-07_06,288.72903
2012-02-07_12,286.336
2012-02-07_18,287.22495
2012-02-08_00,287.09106
2012-02-08_06,287.17926
2012-02-08_12,287.8461
2012-02-08_18,286.73602
2012-02-09_00,287.76007
2012-02-09_06,287.26898
2012-02-09_12,286.11383
2012-02-09_18,285.5434
2012-02-10_00,287.19583
2012-02-10_06,288.2929
2012-02-10_12,286.54095
2012-02-10_18,286.6864
2012-02-11_00,287.1416
2012-02-11_06,287.68134
2012-02-11_12,290.3646
2012-02-11_18,288.7729
2012-02-12_00,287.86847
2012-02-12_06,286.76572
2012-02-12_12,290.10028
2012-02-12_18,287.63538
2012-02-13_00,289.06033
2012-02-13_06,289.45496
2012-02-13_12,290.77313
2012-02-13_18,289.77753
2012-02-14_00,289.2779
2012-02-14_06,288.7087
2012-02-14_12,290.82452
2012-02-14_18,288.36224
2012-02-15_00,288.71948
2012-02-15_06,288.07382
2012-02-15_12,289.6961
2012-02-15_18,287.20172
2012-02-16_00,286.56314
2012-02-16_06,288.0199
2012-02-16_12,286.94766
2012-02-16_18,285.53796
2012-02-17_00,287.6222
2012-02-17_06,287.26727
2012-02-17_12,285.13367
2012-02-17_18,286.71814
2012-02-18_00,286.02283
2012-02-18_06,285.38538
2012-02-18_12,285.79663
2012-02-18_18,284.39758
2012-02-19_00,286.34555
2012-02-19_06,285.24988
2012-02-19_12,286.03546
2012-02-19_18,285.3875
2012-02-20_00,284.8467
2012-02-20_06,285.5907
2012-02-20_12,287.85614
2012-02-20_18,286.6822
2012-02-21_00,286.4889
2012-02-21_06,285.39093
2012-02-21_12,287.51868
2012-02-21_18,287.791
2012-02-22_00,287.2079
2012-02-22_06,286.9225
2012-02-22_12,287.70667
2012-02-22_18,287.91193
2012-02-23_00,288.02692
2012-02-23_06,287.98267
2012-02-23_12,288.839
2012-02-23_18,286.92365
2012-02-24_00,287.86328
2012-02-24_06,289.46198
2012-02-24_12,290.14893
2012-02-24_18,288.60083
2012-02-25_00,289.7362
2012-02-25_06,290.38455
2012-02-25_12,291.47748
2012-02-25_18,288.66394
2012-02-26_00,288.1058
2012-02-26_06,289.66614
2012-02-26_12,288.86484
2012-02-26_18,288.95355
2012-02-27_00,287.77136
2012-02-27_06,290.01404
2012-02-27_12,289.2549
2012-02-27_18,287.32196
2012-02-28_00,289.49573
2012-02-28_06,287.59204
2012-02-28_12,287.39716
2012-02-28_18,286.7848
2012-02-29_00,285.27347
