Date,Average preserature [K]
2018-01-01_00,100969.92
2018-01-01_06,100936.59
2018-01-01_12,101155.03
2018-01-01_18,101163.87
2018-01-02_00,101378.0
2018-01-02_06,101308.52
2018-01-02_12,101152.3
2018-01-02_18,100621.29
2018-01-03_00,100994.484
2018-01-03_06,100765.555
2018-01-03_12,101052.69
2018-01-03_18,101335.33
2018-01-04_00,101663.375
2018-01-04_06,101513.234
2018-01-04_12,101667.14
2018-01-04_18,101596.24
2018-01-05_00,101687.55
2018-01-05_06,101306.49
2018-01-05_12,101155.62
2018-01-05_18,100806.055
2018-01-06_00,100951.08
2018-01-06_06,100850.07
2018-01-06_12,101027.734
2018-01-06_18,101250.34
2018-01-07_00,101726.69
2018-01-07_06,102004.42
2018-01-07_12,102365.19
2018-01-07_18,102287.234
2018-01-08_00,102192.75
2018-01-08_06,101464.38
2018-01-08_12,100930.88
2018-01-08_18,99977.22
2018-01-09_00,99428.86
2018-01-09_06,99183.86
2018-01-09_12,99994.38
2018-01-09_18,100530.81
2018-01-10_00,100869.555
2018-01-10_06,100686.94
2018-01-10_12,100773.24
2018-01-10_18,100721.14
2018-01-11_00,101145.68
2018-01-11_06,101097.83
2018-01-11_12,101352.78
2018-01-11_18,101457.91
2018-01-12_00,101789.086
2018-01-12_06,101718.09
2018-01-12_12,102140.72
2018-01-12_18,102164.28
2018-01-13_00,102317.484
2018-01-13_06,102156.3
2018-01-13_12,102274.56
2018-01-13_18,102232.16
2018-01-14_00,102686.16
2018-01-14_06,102787.65
2018-01-14_12,102902.47
2018-01-14_18,102830.375
2018-01-15_00,102779.69
2018-01-15_06,102174.805
2018-01-15_12,101993.68
2018-01-15_18,101848.85
2018-01-16_00,102236.96
2018-01-16_06,101991.336
2018-01-16_12,101740.84
2018-01-16_18,101674.414
2018-01-17_00,101851.76
2018-01-17_06,101474.98
2018-01-17_12,100864.13
2018-01-17_18,100095.29
2018-01-18_00,101003.37
2018-01-18_06,101253.516
2018-01-18_12,101558.08
2018-01-18_18,101551.08
2018-01-19_00,101921.61
2018-01-19_06,101831.03
2018-01-19_12,101922.95
2018-01-19_18,101797.68
2018-01-20_00,101869.44
2018-01-20_06,101615.33
2018-01-20_12,101662.18
2018-01-20_18,101448.02
2018-01-21_00,101627.54
2018-01-21_06,101489.41
2018-01-21_12,101659.62
2018-01-21_18,101873.22
2018-01-22_00,102139.16
2018-01-22_06,101414.72
2018-01-22_12,100293.45
2018-01-22_18,99618.97
2018-01-23_00,100631.4
2018-01-23_06,100177.195
2018-01-23_12,100486.984
2018-01-23_18,100610.81
2018-01-24_00,100591.5
2018-01-24_06,100106.664
2018-01-24_12,100328.836
2018-01-24_18,100529.93
2018-01-25_00,100715.82
2018-01-25_06,100697.51
2018-01-25_12,100764.89
2018-01-25_18,100523.44
2018-01-26_00,100532.766
2018-01-26_06,100441.84
2018-01-26_12,100661.086
2018-01-26_18,100776.49
2018-01-27_00,101143.31
2018-01-27_06,101192.016
2018-01-27_12,101549.93
2018-01-27_18,101680.27
2018-01-28_00,101888.74
2018-01-28_06,101596.945
2018-01-28_12,101045.09
2018-01-28_18,100653.81
2018-01-29_00,100696.78
2018-01-29_06,100507.125
2018-01-29_12,100600.61
2018-01-29_18,100536.13
2018-01-30_00,101354.0
2018-01-30_06,101576.56
2018-01-30_12,102066.28
2018-01-30_18,102054.2
2018-01-31_00,102245.12
2018-01-31_06,102108.69
2018-01-31_12,102279.516
2018-01-31_18,102161.234
2018-02-01_00,102388.87
2018-02-01_06,102357.69
2018-02-01_12,102478.47
2018-02-01_18,102260.984
2018-02-02_00,102361.55
2018-02-02_06,102137.766
2018-02-02_12,102081.59
2018-02-02_18,101768.97
2018-02-03_00,101570.945
2018-02-03_06,101159.79
2018-02-03_12,101128.08
2018-02-03_18,100987.65
2018-02-04_00,101008.055
2018-02-04_06,100741.19
2018-02-04_12,100602.516
2018-02-04_18,100668.7
2018-02-05_00,101132.836
2018-02-05_06,101062.55
2018-02-05_12,101039.11
2018-02-05_18,100747.22
2018-02-06_00,101041.7
2018-02-06_06,100956.59
2018-02-06_12,101093.016
2018-02-06_18,100935.45
