Date,Average temperature [K]
2015-01-01_00,275.05
2015-01-01_06,274.06903
2015-01-01_12,276.5008
2015-01-01_18,275.98346
2015-01-02_00,277.04874
2015-01-02_06,280.40765
2015-01-02_12,282.3789
2015-01-02_18,279.64062
2015-01-03_00,278.028
2015-01-03_06,277.32385
2015-01-03_12,275.99835
2015-01-03_18,275.93243
2015-01-04_00,278.19885
2015-01-04_06,276.69757
2015-01-04_12,279.73264
2015-01-04_18,276.55655
2015-01-05_00,274.9483
2015-01-05_06,274.34845
2015-01-05_12,276.08862
2015-01-05_18,276.1684
2015-01-06_00,275.38232
2015-01-06_06,273.7191
2015-01-06_12,275.22162
2015-01-06_18,276.9308
2015-01-07_00,278.76727
2015-01-07_06,276.59094
2015-01-07_12,278.78665
2015-01-07_18,277.47824
2015-01-08_00,277.57672
2015-01-08_06,280.19046
2015-01-08_12,281.0733
2015-01-08_18,279.36508
2015-01-09_00,279.85144
2015-01-09_06,281.04355
2015-01-09_12,284.50623
2015-01-09_18,283.1391
2015-01-10_00,286.04416
2015-01-10_06,285.31177
2015-01-10_12,285.14746
2015-01-10_18,280.55212
2015-01-11_00,277.64594
2015-01-11_06,277.48743
2015-01-11_12,279.77985
2015-01-11_18,279.6488
2015-01-12_00,280.6422
2015-01-12_06,281.06082
2015-01-12_12,282.1842
2015-01-12_18,282.10413
2015-01-13_00,282.69836
2015-01-13_06,282.60162
2015-01-13_12,281.65186
2015-01-13_18,280.7298
2015-01-14_00,278.64728
2015-01-14_06,277.64124
2015-01-14_12,277.94525
2015-01-14_18,277.66763
2015-01-15_00,278.84924
2015-01-15_06,282.0755
2015-01-15_12,281.6424
2015-01-15_18,281.2384
2015-01-16_00,279.94907
2015-01-16_06,278.66266
2015-01-16_12,279.75446
2015-01-16_18,278.23773
2015-01-17_00,277.23785
2015-01-17_06,274.68005
2015-01-17_12,277.72552
2015-01-17_18,276.08154
2015-01-18_00,276.30334
2015-01-18_06,275.36603
2015-01-18_12,276.44208
2015-01-18_18,275.6159
2015-01-19_00,274.7356
2015-01-19_06,274.46124
2015-01-19_12,275.7577
2015-01-19_18,275.24637
2015-01-20_00,273.9427
2015-01-20_06,273.4334
2015-01-20_12,275.44257
2015-01-20_18,274.51727
2015-01-21_00,272.53503
2015-01-21_06,271.83603
2015-01-21_12,274.00983
2015-01-21_18,273.06973
2015-01-22_00,271.38477
2015-01-22_06,271.1577
2015-01-22_12,271.98438
2015-01-22_18,272.18677
2015-01-23_00,272.12177
2015-01-23_06,272.17688
2015-01-23_12,273.5216
2015-01-23_18,273.10535
2015-01-24_00,273.2682
2015-01-24_06,274.20868
2015-01-24_12,278.45184
2015-01-24_18,277.91742
2015-01-25_00,276.37463
2015-01-25_06,276.829
2015-01-25_12,278.70325
2015-01-25_18,278.74832
2015-01-26_00,278.3075
2015-01-26_06,279.76172
2015-01-26_12,282.00122
2015-01-26_18,279.88266
2015-01-27_00,278.36505
2015-01-27_06,277.51495
2015-01-27_12,279.57648
2015-01-27_18,278.92554
2015-01-28_00,278.77533
2015-01-28_06,279.41263
2015-01-28_12,279.86246
2015-01-28_18,278.03247
2015-01-29_00,276.3404
2015-01-29_06,276.10095
2015-01-29_12,277.5271
2015-01-29_18,276.23285
2015-01-30_00,274.5353
2015-01-30_06,274.41846
2015-01-30_12,276.71564
2015-01-30_18,275.8686
2015-01-31_00,276.47046
2015-01-31_06,274.76697
2015-01-31_12,276.78217
2015-01-31_18,275.34326
2015-02-01_00,274.5428
2015-02-01_06,276.41315
2015-02-01_12,277.97406
2015-02-01_18,276.88
2015-02-02_00,276.09604
2015-02-02_06,275.0715
2015-02-02_12,276.5427
2015-02-02_18,275.44812
2015-02-03_00,274.2861
2015-02-03_06,273.65872
2015-02-03_12,276.84647
2015-02-03_18,276.3487
2015-02-04_00,275.0107
2015-02-04_06,274.94232
2015-02-04_12,277.12683
2015-02-04_18,275.6618
2015-02-05_00,273.0086
2015-02-05_06,272.3479
2015-02-05_12,274.80206
2015-02-05_18,273.4298
2015-02-06_00,272.51654
2015-02-06_06,271.10626
2015-02-06_12,273.63647
2015-02-06_18,274.01166
2015-02-07_00,272.91678
2015-02-07_06,272.23685
2015-02-07_12,277.31152
2015-02-07_18,278.68994
2015-02-08_00,278.79492
2015-02-08_06,278.66974
2015-02-08_12,279.64948
2015-02-08_18,278.33533
2015-02-09_00,277.81506
2015-02-09_06,277.11462
2015-02-09_12,280.03168
2015-02-09_18,278.4322
2015-02-10_00,278.42468
2015-02-10_06,278.56378
2015-02-10_12,280.06427
2015-02-10_18,279.22913
2015-02-11_00,277.83154
2015-02-11_06,276.2092
2015-02-11_12,277.64435
2015-02-11_18,277.28845
2015-02-12_00,276.27637
2015-02-12_06,275.20172
2015-02-12_12,277.83972
2015-02-12_18,277.2345
2015-02-13_00,274.56003
2015-02-13_06,273.3325
2015-02-13_12,280.86166
2015-02-13_18,281.84143
2015-02-14_00,279.94745
2015-02-14_06,278.43958
2015-02-14_12,281.66736
2015-02-14_18,281.15137
2015-02-15_00,279.56113
2015-02-15_06,277.32812
2015-02-15_12,279.64526
2015-02-15_18,277.86078
2015-02-16_00,275.20245
2015-02-16_06,273.80484
2015-02-16_12,278.04825
2015-02-16_18,277.91394
2015-02-17_00,276.3496
2015-02-17_06,277.18637
2015-02-17_12,280.27667
2015-02-17_18,278.1421
2015-02-18_00,274.44534
2015-02-18_06,273.55447
2015-02-18_12,277.898
2015-02-18_18,277.50262
2015-02-19_00,274.9437
2015-02-19_06,274.10675
2015-02-19_12,278.27676
2015-02-19_18,278.04346
2015-02-20_00,276.6533
2015-02-20_06,277.91595
2015-02-20_12,279.44714
2015-02-20_18,279.13416
2015-02-21_00,277.8758
2015-02-21_06,276.46704
2015-02-21_12,277.76715
2015-02-21_18,276.7088
2015-02-22_00,274.92566
2015-02-22_06,274.57977
2015-02-22_12,278.7326
2015-02-22_18,278.13702
2015-02-23_00,276.23462
2015-02-23_06,278.49243
2015-02-23_12,282.02887
2015-02-23_18,278.52972
2015-02-24_00,277.50854
2015-02-24_06,278.19812
2015-02-24_12,280.35205
2015-02-24_18,279.6997
2015-02-25_00,277.61615
2015-02-25_06,276.19397
2015-02-25_12,278.54416
2015-02-25_18,279.22253
2015-02-26_00,277.9486
2015-02-26_06,277.93347
2015-02-26_12,280.75375
2015-02-26_18,281.5006
2015-02-27_00,279.5929
2015-02-27_06,277.79828
2015-02-27_12,279.75034
2015-02-27_18,277.6196
2015-02-28_00,274.73825
2015-02-28_06,273.7204
2015-02-28_12,279.83405
2015-02-28_18,280.8152
2015-03-01_00,279.91223
2015-03-01_06,282.03094
2015-03-01_12,282.63437
2015-03-01_18,281.6325
2015-03-02_00,280.0109
2015-03-02_06,277.76736
2015-03-02_12,280.34344
2015-03-02_18,278.63464
2015-03-03_00,276.99994
2015-03-03_06,276.8033
2015-03-03_12,278.91675
2015-03-03_18,279.17023
2015-03-04_00,277.2697
2015-03-04_06,276.52722
2015-03-04_12,279.6034
2015-03-04_18,279.35965
2015-03-05_00,277.56085
2015-03-05_06,276.21802
2015-03-05_12,281.30032
2015-03-05_18,279.9092
2015-03-06_00,277.59708
2015-03-06_06,277.9845
2015-03-06_12,281.73364
2015-03-06_18,280.7594
2015-03-07_00,278.53616
2015-03-07_06,277.56946
2015-03-07_12,283.79108
2015-03-07_18,283.75467
2015-03-08_00,280.03128
2015-03-08_06,278.22617
2015-03-08_12,286.57532
2015-03-08_18,283.5334
2015-03-09_00,281.23492
2015-03-09_06,279.92502
2015-03-09_12,283.3667
2015-03-09_18,283.22638
2015-03-10_00,281.4239
2015-03-10_06,281.70847
2015-03-10_12,283.8603
2015-03-10_18,280.38477
2015-03-11_00,276.19177
2015-03-11_06,274.4134
2015-03-11_12,280.21066
2015-03-11_18,280.51544
2015-03-12_00,276.74634
2015-03-12_06,274.948
2015-03-12_12,283.3602
2015-03-12_18,282.7577
2015-03-13_00,278.12195
2015-03-13_06,275.30505
2015-03-13_12,280.9676
2015-03-13_18,279.83484
2015-03-14_00,276.26944
2015-03-14_06,274.2942
2015-03-14_12,279.02948
2015-03-14_18,278.57455
2015-03-15_00,277.62335
2015-03-15_06,277.71466
2015-03-15_12,279.482
2015-03-15_18,279.78262
2015-03-16_00,277.91537
2015-03-16_06,275.8222
2015-03-16_12,281.67126
2015-03-16_18,281.99677
2015-03-17_00,277.2939
2015-03-17_06,276.66876
2015-03-17_12,286.50665
2015-03-17_18,285.73276
2015-03-18_00,279.86765
2015-03-18_06,277.96173
2015-03-18_12,283.53494
2015-03-18_18,279.94934
2015-03-19_00,278.58145
2015-03-19_06,278.90802
2015-03-19_12,281.8533
2015-03-19_18,281.33737
2015-03-20_00,278.06445
