Date,Average pressure [Pa]
2012-01-01_00,101202.56
2012-01-01_06,100885.16
2012-01-01_12,100693.84
2012-01-01_18,100498.29
2012-01-02_00,101078.49
2012-01-02_06,101199.37
2012-01-02_12,101315.75
2012-01-02_18,101090.086
2012-01-03_00,101017.53
2012-01-03_06,100628.78
2012-01-03_12,100471.31
2012-01-03_18,100290.92
2012-01-04_00,100361.65
2012-01-04_06,100550.484
2012-01-04_12,100968.945
2012-01-04_18,101131.64
2012-01-05_00,101381.984
2012-01-05_06,101380.32
2012-01-05_12,101536.59
2012-01-05_18,101531.96
2012-01-06_00,101653.78
2012-01-06_06,101527.586
2012-01-06_12,101812.41
2012-01-06_18,102038.234
2012-01-07_00,102302.91
2012-01-07_06,102250.39
2012-01-07_12,102430.375
2012-01-07_18,102331.27
2012-01-08_00,102392.016
2012-01-08_06,101985.25
2012-01-08_12,101734.5
2012-01-08_18,101482.96
2012-01-09_00,101659.79
2012-01-09_06,101584.305
2012-01-09_12,101682.516
2012-01-09_18,101585.18
2012-01-10_00,101570.14
2012-01-10_06,101241.89
2012-01-10_12,101171.44
2012-01-10_18,101015.75
2012-01-11_00,101054.69
2012-01-11_06,101209.47
2012-01-11_12,101801.76
2012-01-11_18,101859.33
2012-01-12_00,101908.445
2012-01-12_06,101448.805
2012-01-12_12,101321.22
2012-01-12_18,101177.69
2012-01-13_00,101134.055
2012-01-13_06,100991.04
2012-01-13_12,101050.56
2012-01-13_18,101053.86
2012-01-14_00,101140.33
2012-01-14_06,100974.09
2012-01-14_12,101047.75
2012-01-14_18,100936.03
2012-01-15_00,100980.32
2012-01-15_06,100870.24
2012-01-15_12,101082.86
2012-01-15_18,101119.75
2012-01-16_00,101108.79
2012-01-16_06,100857.35
2012-01-16_12,100993.6
2012-01-16_18,101015.38
2012-01-17_00,101252.49
2012-01-17_06,101255.59
2012-01-17_12,101358.42
2012-01-17_18,101295.336
2012-01-18_00,101443.41
2012-01-18_06,101274.7
2012-01-18_12,101436.984
2012-01-18_18,101378.56
2012-01-19_00,101402.27
2012-01-19_06,101193.14
2012-01-19_12,101227.15
2012-01-19_18,101022.61
2012-01-20_00,101093.164
2012-01-20_06,100880.64
2012-01-20_12,101119.99
2012-01-20_18,100995.24
2012-01-21_00,101060.52
2012-01-21_06,100900.71
2012-01-21_12,100922.336
2012-01-21_18,100652.95
2012-01-22_00,100683.74
2012-01-22_06,100413.6
2012-01-22_12,100577.27
2012-01-22_18,100587.26
2012-01-23_00,100621.07
2012-01-23_06,100529.42
2012-01-23_12,100848.805
2012-01-23_18,100865.234
2012-01-24_00,100919.53
2012-01-24_06,100810.64
2012-01-24_12,100892.04
2012-01-24_18,100800.586
2012-01-25_00,100776.44
2012-01-25_06,100590.305
2012-01-25_12,100864.625
2012-01-25_18,101043.12
2012-01-26_00,101300.78
2012-01-26_06,101280.375
2012-01-26_12,101365.87
2012-01-26_18,101333.81
2012-01-27_00,101467.7
2012-01-27_06,101354.69
2012-01-27_12,101375.17
2012-01-27_18,101314.13
2012-01-28_00,101446.53
2012-01-28_06,101413.41
2012-01-28_12,101471.46
2012-01-28_18,101582.4
2012-01-29_00,101646.0
2012-01-29_06,101456.62
2012-01-29_12,101538.48
2012-01-29_18,101419.555
2012-01-30_00,101483.94
2012-01-30_06,101214.75
2012-01-30_12,101440.305
2012-01-30_18,101355.03
2012-01-31_00,101431.64
2012-01-31_06,101313.94
2012-01-31_12,100947.56
2012-01-31_18,100361.5
2012-02-01_00,100537.11
2012-02-01_06,100529.3
2012-02-01_12,100718.68
2012-02-01_18,100610.42
2012-02-02_00,100742.73
2012-02-02_06,100950.37
2012-02-02_12,101270.83
2012-02-02_18,101294.164
2012-02-03_00,101340.41
2012-02-03_06,101157.2
2012-02-03_12,101195.14
2012-02-03_18,101230.03
2012-02-04_00,101367.484
2012-02-04_06,101398.7
2012-02-04_12,101650.734
2012-02-04_18,101710.96
2012-02-05_00,101798.02
2012-02-05_06,101451.414
2012-02-05_12,101450.3
2012-02-05_18,101288.28
2012-02-06_00,101096.05
2012-02-06_06,100595.484
2012-02-06_12,100344.29
2012-02-06_18,99972.98
2012-02-07_00,99834.18
2012-02-07_06,99712.5
2012-02-07_12,100093.82
2012-02-07_18,100321.05
2012-02-08_00,100481.88
2012-02-08_06,100505.34
2012-02-08_12,100822.414
2012-02-08_18,100998.29
2012-02-09_00,101218.555
2012-02-09_06,101313.65
2012-02-09_12,101419.625
2012-02-09_18,101429.32
2012-02-10_00,101361.94
2012-02-10_06,101210.64
2012-02-10_12,101401.516
2012-02-10_18,101428.98
2012-02-11_00,101627.56
2012-02-11_06,101438.5
2012-02-11_12,101705.95
2012-02-11_18,101755.15
2012-02-12_00,102077.25
2012-02-12_06,102032.836
2012-02-12_12,102056.25
2012-02-12_18,101935.79
2012-02-13_00,101839.06
2012-02-13_06,101500.54
2012-02-13_12,101394.36
2012-02-13_18,101283.96
2012-02-14_00,101143.164
2012-02-14_06,100949.24
2012-02-14_12,100906.4
2012-02-14_18,100776.516
2012-02-15_00,100985.766
2012-02-15_06,101010.695
2012-02-15_12,101097.56
2012-02-15_18,101045.05
2012-02-16_00,100923.24
2012-02-16_06,100625.91
2012-02-16_12,100724.93
2012-02-16_18,100733.03
2012-02-17_00,100684.695
2012-02-17_06,100501.734
2012-02-17_12,100600.85
2012-02-17_18,100882.23
2012-02-18_00,101203.56
2012-02-18_06,101178.15
2012-02-18_12,101395.14
2012-02-18_18,101357.18
2012-02-19_00,101469.266
2012-02-19_06,101436.305
2012-02-19_12,101620.016
2012-02-19_18,101708.25
2012-02-20_00,101878.445
2012-02-20_06,101657.2
2012-02-20_12,101665.97
2012-02-20_18,101552.83
2012-02-21_00,101578.15
2012-02-21_06,101344.21
2012-02-21_12,101471.44
2012-02-21_18,101435.16
2012-02-22_00,101476.86
2012-02-22_06,101071.05
2012-02-22_12,100653.734
2012-02-22_18,100015.695
2012-02-23_00,99872.73
2012-02-23_06,99934.59
2012-02-23_12,100572.24
2012-02-23_18,100964.82
2012-02-24_00,101140.41
2012-02-24_06,100958.055
2012-02-24_12,100867.58
2012-02-24_18,100451.05
2012-02-25_00,100406.18
2012-02-25_06,100240.234
2012-02-25_12,100465.04
2012-02-25_18,100730.375
2012-02-26_00,101122.83
2012-02-26_06,101024.98
2012-02-26_12,101274.875
2012-02-26_18,101279.516
2012-02-27_00,101599.07
2012-02-27_06,101571.63
2012-02-27_12,101811.65
2012-02-27_18,101867.82
2012-02-28_00,101982.25
2012-02-28_06,101704.42
2012-02-28_12,101598.92
2012-02-28_18,101586.94
2012-02-29_00,101530.055
2012-02-29_06,101278.0
2012-02-29_12,101272.9
2012-02-29_18,101287.18
2012-03-01_00,101270.61
2012-03-01_06,101025.0
2012-03-01_12,100941.84
2012-03-01_18,100582.86
2012-03-02_00,100649.15
2012-03-02_06,100594.29
2012-03-02_12,101007.47
2012-03-02_18,101212.13
2012-03-03_00,101558.25
2012-03-03_06,101665.33
2012-03-03_12,101946.05
2012-03-03_18,101911.45
2012-03-04_00,101934.23
2012-03-04_06,101517.73
2012-03-04_12,101313.6
2012-03-04_18,100723.734
2012-03-05_00,100446.14
2012-03-05_06,100124.54
2012-03-05_12,100108.57
2012-03-05_18,99703.54
2012-03-06_00,99933.89
2012-03-06_06,99934.445
2012-03-06_12,100285.79
2012-03-06_18,100562.305
2012-03-07_00,100815.21
2012-03-07_06,100769.85
2012-03-07_12,100921.24
2012-03-07_18,100820.73
2012-03-08_00,101055.23
2012-03-08_06,100883.27
2012-03-08_12,101012.45
2012-03-08_18,100925.78
2012-03-09_00,100945.24
2012-03-09_06,100768.29
2012-03-09_12,100815.92
2012-03-09_18,100824.44
2012-03-10_00,100895.75
2012-03-10_06,100859.305
2012-03-10_12,100946.7
2012-03-10_18,100789.89
2012-03-11_00,100497.51
2012-03-11_06,100385.45
2012-03-11_12,100710.79
2012-03-11_18,100711.81
2012-03-12_00,101042.58
2012-03-12_06,101192.99
2012-03-12_12,101445.44
2012-03-12_18,101554.81
2012-03-13_00,101748.09
2012-03-13_06,101671.83
2012-03-13_12,101717.06
2012-03-13_18,101639.234
2012-03-14_00,101750.15
2012-03-14_06,101520.53
2012-03-14_12,101431.25
2012-03-14_18,101465.65
2012-03-15_00,101874.95
2012-03-15_06,101996.63
2012-03-15_12,102095.97
2012-03-15_18,101790.45
2012-03-16_00,101821.07
2012-03-16_06,101335.96
2012-03-16_12,101083.72
2012-03-16_18,100458.69
2012-03-17_00,100076.08
2012-03-17_06,99999.734
2012-03-17_12,100311.914
2012-03-17_18,100194.31
2012-03-18_00,100200.195
2012-03-18_06,100032.62
2012-03-18_12,100388.52
2012-03-18_18,100859.914
2012-03-19_00,101191.89
2012-03-19_06,101039.8
2012-03-19_12,101004.984
2012-03-19_18,100863.305
2012-03-20_00,100829.71
2012-03-20_06,100632.86
2012-03-20_12,100876.08
2012-03-20_18,101029.0
2012-03-21_00,101385.305
2012-03-21_06,101343.75
2012-03-21_12,101287.28
2012-03-21_18,101102.22
2012-03-22_00,101311.2
2012-03-22_06,101194.266
2012-03-22_12,101265.41
2012-03-22_18,100941.016
2012-03-23_00,100513.06
2012-03-23_06,99412.16
2012-03-23_12,99379.62
2012-03-23_18,99153.39
2012-03-24_00,99439.8
2012-03-24_06,99667.51
2012-03-24_12,99910.914
2012-03-24_18,100017.75
2012-03-25_00,100232.08
2012-03-25_06,100441.555
2012-03-25_12,100734.445
2012-03-25_18,100857.375
2012-03-26_00,101162.5
2012-03-26_06,101162.2
2012-03-26_12,101382.91
2012-03-26_18,101446.36
2012-03-27_00,101532.18
2012-03-27_06,101337.8
2012-03-27_12,101225.78
2012-03-27_18,101108.01
2012-03-28_00,101330.93
2012-03-28_06,101580.766
2012-03-28_12,101847.44
2012-03-28_18,101873.68
2012-03-29_00,101963.55
2012-03-29_06,101584.86
2012-03-29_12,101453.586
2012-03-29_18,101275.56
2012-03-30_00,101136.13
2012-03-30_06,100672.17
2012-03-30_12,100531.69
2012-03-30_18,99884.35
2012-03-31_00,100062.65
2012-03-31_06,100315.48
2012-03-31_12,100677.83
2012-03-31_18,100497.195
2012-04-01_00,101008.27
2012-04-01_06,101325.805
2012-04-01_12,101681.86
2012-04-01_18,101721.36
2012-04-02_00,101856.69
2012-04-02_06,101363.87
2012-04-02_12,101089.6
2012-04-02_18,100287.914
2012-04-03_00,98900.15
2012-04-03_06,98228.34
2012-04-03_12,99501.71
2012-04-03_18,100003.0
2012-04-04_00,100318.14
2012-04-04_06,100269.58
2012-04-04_12,100069.07
2012-04-04_18,100048.46
2012-04-05_00,100191.28
2012-04-05_06,100091.87
2012-04-05_12,100075.46
2012-04-05_18,100120.19
2012-04-06_00,100575.83
2012-04-06_06,100456.25
2012-04-06_12,100449.63
2012-04-06_18,100834.766
2012-04-07_00,101162.48
2012-04-07_06,101285.72
2012-04-07_12,101467.99
2012-04-07_18,101442.945
2012-04-08_00,101487.086
2012-04-08_06,101126.54
2012-04-08_12,101101.734
2012-04-08_18,101117.58
2012-04-09_00,101251.88
2012-04-09_06,101247.7
2012-04-09_12,101414.11
2012-04-09_18,101475.05
2012-04-10_00,101537.43
2012-04-10_06,101074.39
2012-04-10_12,100922.53
2012-04-10_18,100328.78
2012-04-11_00,99752.56
2012-04-11_06,99164.13
2012-04-11_12,99557.055
2012-04-11_18,99995.77
2012-04-12_00,100310.57
2012-04-12_06,99958.74
2012-04-12_12,100066.82
2012-04-12_18,100312.67
2012-04-13_00,100611.72
2012-04-13_06,100424.0
2012-04-13_12,100416.73
2012-04-13_18,100281.47
2012-04-14_00,100432.42
2012-04-14_06,100450.76
2012-04-14_12,100691.67
2012-04-14_18,100585.42
2012-04-15_00,100741.5
2012-04-15_06,100588.19
2012-04-15_12,100566.234
2012-04-15_18,100394.6
2012-04-16_00,100500.93
2012-04-16_06,100290.5
2012-04-16_12,100442.41
2012-04-16_18,100489.94
2012-04-17_00,100765.14
2012-04-17_06,100741.06
2012-04-17_12,100983.79
2012-04-17_18,101011.03
2012-04-18_00,101204.03
2012-04-18_06,101143.45
2012-04-18_12,101309.72
2012-04-18_18,101327.47
2012-04-19_00,101478.836
2012-04-19_06,101282.88
2012-04-19_12,101452.1
2012-04-19_18,101413.67
2012-04-20_00,101627.22
2012-04-20_06,101474.98
2012-04-20_12,101656.94
2012-04-20_18,101470.07
2012-04-21_00,101392.97
2012-04-21_06,100924.125
2012-04-21_12,100814.305
2012-04-21_18,100372.12
2012-04-22_00,100231.055
2012-04-22_06,100131.125
2012-04-22_12,100287.55
2012-04-22_18,100340.086
2012-04-23_00,100562.35
2012-04-23_06,100431.79
2012-04-23_12,100586.086
2012-04-23_18,100546.09
2012-04-24_00,100690.53
2012-04-24_06,100525.414
2012-04-24_12,100646.61
2012-04-24_18,100534.42
2012-04-25_00,100486.87
2012-04-25_06,99949.56
2012-04-25_12,99552.49
2012-04-25_18,99362.26
2012-04-26_00,99434.59
2012-04-26_06,99711.234
2012-04-26_12,100187.375
2012-04-26_18,100384.836
2012-04-27_00,100655.445
2012-04-27_06,100616.945
2012-04-27_12,100696.24
2012-04-27_18,100724.56
2012-04-28_00,100953.91
2012-04-28_06,100836.89
2012-04-28_12,100990.67
2012-04-28_18,101012.45
2012-04-29_00,101101.86
2012-04-29_06,100885.984
2012-04-29_12,100862.305
2012-04-29_18,100786.06
2012-04-30_00,100875.63
2012-04-30_06,100649.63
2012-04-30_12,100619.46
2012-04-30_18,100549.85
2012-05-01_00,100590.11
2012-05-01_06,100377.91
2012-05-01_12,100301.63
2012-05-01_18,99995.73
2012-05-02_00,99940.016
2012-05-02_06,99596.73
2012-05-02_12,99415.48
2012-05-02_18,99097.39
2012-05-03_00,99105.54
2012-05-03_06,98964.58
2012-05-03_12,98987.8
2012-05-03_18,98835.84
2012-05-04_00,99218.41
2012-05-04_06,99395.61
2012-05-04_12,99702.98
2012-05-04_18,99668.266
2012-05-05_00,99596.58
2012-05-05_06,99590.65
2012-05-05_12,99695.016
2012-05-05_18,99409.33
2012-05-06_00,99801.95
2012-05-06_06,99989.36
2012-05-06_12,100094.336
2012-05-06_18,99941.89
2012-05-07_00,99962.26
2012-05-07_06,99893.66
2012-05-07_12,100082.81
2012-05-07_18,100125.07
2012-05-08_00,100188.41
2012-05-08_06,100070.484
2012-05-08_12,100201.24
2012-05-08_18,100228.86
2012-05-09_00,100401.3
2012-05-09_06,100366.21
2012-05-09_12,100567.51
2012-05-09_18,100578.836
2012-05-10_00,100727.91
2012-05-10_06,100695.266
2012-05-10_12,100835.52
2012-05-10_18,100773.46
2012-05-11_00,100798.805
2012-05-11_06,100697.36
2012-05-11_12,100847.39
2012-05-11_18,100798.61
2012-05-12_00,100907.62
2012-05-12_06,100734.25
2012-05-12_12,100810.03
2012-05-12_18,100704.76
2012-05-13_00,100776.86
2012-05-13_06,100671.266
2012-05-13_12,100760.5
2012-05-13_18,100666.5
2012-05-14_00,100698.85
2012-05-14_06,100366.84
2012-05-14_12,100274.66
2012-05-14_18,99808.86
2012-05-15_00,99712.74
2012-05-15_06,99512.33
2012-05-15_12,99754.445
2012-05-15_18,99744.555
2012-05-16_00,99841.28
2012-05-16_06,99752.76
2012-05-16_12,99815.67
2012-05-16_18,99590.41
2012-05-17_00,99589.19
2012-05-17_06,99375.17
2012-05-17_12,99559.13
2012-05-17_18,99775.3
2012-05-18_00,100346.78
2012-05-18_06,100583.375
2012-05-18_12,100808.375
2012-05-18_18,100840.14
2012-05-19_00,101057.62
2012-05-19_06,100963.94
2012-05-19_12,100978.516
2012-05-19_18,100876.414
2012-05-20_00,100994.83
2012-05-20_06,100757.836
2012-05-20_12,100842.92
2012-05-20_18,100903.39
2012-05-21_00,101042.97
2012-05-21_06,100902.414
2012-05-21_12,100991.87
2012-05-21_18,100806.86
2012-05-22_00,100741.38
2012-05-22_06,100513.695
2012-05-22_12,100425.98
2012-05-22_18,100348.83
2012-05-23_00,100470.73
2012-05-23_06,100427.05
2012-05-23_12,100406.59
2012-05-23_18,100420.29
2012-05-24_00,100451.71
2012-05-24_06,100257.96
2012-05-24_12,100275.516
2012-05-24_18,100145.164
2012-05-25_00,100291.43
2012-05-25_06,100232.23
2012-05-25_12,100282.766
2012-05-25_18,100255.86
2012-05-26_00,100343.92
2012-05-26_06,100238.55
2012-05-26_12,100277.64
2012-05-26_18,100287.55
2012-05-27_00,100465.19
2012-05-27_06,100438.19
2012-05-27_12,100548.51
2012-05-27_18,100595.336
2012-05-28_00,100913.99
2012-05-28_06,100993.6
2012-05-28_12,101164.6
2012-05-28_18,101160.45
2012-05-29_00,101231.69
2012-05-29_06,101097.14
2012-05-29_12,101244.05
2012-05-29_18,101240.97
2012-05-30_00,101350.0
2012-05-30_06,101210.59
2012-05-30_12,101266.48
2012-05-30_18,101115.53
2012-05-31_00,101176.44
2012-05-31_06,100939.16
2012-05-31_12,100903.516
2012-05-31_18,100847.36
2012-06-01_00,100984.375
2012-06-01_06,100817.12
2012-06-01_12,100903.195
2012-06-01_18,100860.74
2012-06-02_00,100868.77
2012-06-02_06,100690.6
2012-06-02_12,100623.39
2012-06-02_18,100455.56
2012-06-03_00,100603.586
2012-06-03_06,100434.984
2012-06-03_12,100594.83
