Date,Average pressure [Pa]
2012-02-26_18,100411.16
2012-02-27_00,100332.664
2012-02-27_06,100276.32
2012-02-27_12,100091.73
2012-02-27_18,100186.57
2012-02-28_00,100463.11
2012-02-28_06,100683.72
2012-02-28_12,100762.59
2012-02-28_18,100841.234
2012-02-29_00,100908.96
2012-02-29_06,100992.84
2012-02-29_12,100850.24
2012-02-29_18,100765.695
2012-03-01_00,100659.67
2012-03-01_06,100593.36
2012-03-01_12,100648.09
2012-03-01_18,100827.0
2012-03-02_00,101354.23
2012-03-02_06,101640.77
2012-03-02_12,101713.33
2012-03-02_18,101741.04
2012-03-03_00,101821.53
2012-03-03_06,101735.25
2012-03-03_12,101610.11
2012-03-03_18,101513.016
2012-03-04_00,101433.836
2012-03-04_06,101348.586
2012-03-04_12,101232.35
2012-03-04_18,101194.44
2012-03-05_00,101198.875
2012-03-05_06,101245.24
2012-03-05_12,101149.195
2012-03-05_18,101152.37
2012-03-06_00,101255.766
2012-03-06_06,101292.26
2012-03-06_12,101310.79
2012-03-06_18,101259.18
2012-03-07_00,101245.29
2012-03-07_06,101197.98
2012-03-07_12,101120.46
2012-03-07_18,101009.01
2012-03-08_00,101017.73
2012-03-08_06,101024.29
2012-03-08_12,100932.375
2012-03-08_18,100853.125
2012-03-09_00,100926.49
2012-03-09_06,100912.82
2012-03-09_12,100737.016
2012-03-09_18,100495.53
2012-03-10_00,100428.17
2012-03-10_06,100351.49
2012-03-10_12,100209.59
2012-03-10_18,100090.67
2012-03-11_00,100188.13
2012-03-11_06,100094.44
2012-03-11_12,99915.086
2012-03-11_18,99773.14
2012-03-12_00,99944.53
2012-03-12_06,100152.37
2012-03-12_12,100306.375
2012-03-12_18,100425.125
2012-03-13_00,100542.625
2012-03-13_06,100637.84
2012-03-13_12,100870.97
2012-03-13_18,101066.58
2012-03-14_00,101269.29
2012-03-14_06,101450.61
2012-03-14_12,101530.08
2012-03-14_18,101582.836
2012-03-15_00,101753.86
2012-03-15_06,101738.82
2012-03-15_12,101675.266
2012-03-15_18,101701.78
2012-03-16_00,101858.18
2012-03-16_06,101913.305
2012-03-16_12,101986.06
2012-03-16_18,101946.19
2012-03-17_00,102099.125
2012-03-17_06,102280.984
2012-03-17_12,102227.54
2012-03-17_18,102079.47
2012-03-18_00,102143.164
2012-03-18_06,102236.13
2012-03-18_12,102211.96
2012-03-18_18,101980.23
2012-03-19_00,102020.41
2012-03-19_06,102113.234
2012-03-19_12,102025.3
2012-03-19_18,101901.195
2012-03-20_00,101956.27
2012-03-20_06,102069.97
2012-03-20_12,101969.44
2012-03-20_18,101755.95
2012-03-21_00,101876.71
2012-03-21_06,101941.016
2012-03-21_12,101793.14
2012-03-21_18,101613.55
2012-03-22_00,101633.47
2012-03-22_06,101675.125
2012-03-22_12,101590.8
2012-03-22_18,101455.47
2012-03-23_00,101537.28
2012-03-23_06,101555.516
2012-03-23_12,101452.27
2012-03-23_18,101242.84
2012-03-24_00,101287.45
2012-03-24_06,101314.38
2012-03-24_12,101240.21
2012-03-24_18,101091.97
2012-03-25_00,101179.34
2012-03-25_06,101253.664
2012-03-25_12,101167.26
2012-03-25_18,101015.19
2012-03-26_00,101036.72
2012-03-26_06,101052.83
2012-03-26_12,101033.3
2012-03-26_18,100988.16
2012-03-27_00,101079.836
2012-03-27_06,101270.61
2012-03-27_12,101177.34
2012-03-27_18,100961.914
2012-03-28_00,101016.086
2012-03-28_06,101084.67
2012-03-28_12,100981.42
2012-03-28_18,100859.62
2012-03-29_00,101061.59
2012-03-29_06,101188.375
2012-03-29_12,101111.4
2012-03-29_18,100937.67
2012-03-30_00,100958.01
2012-03-30_06,100880.766
2012-03-30_12,100864.5
2012-03-30_18,100662.48
2012-03-31_00,100509.13
2012-03-31_06,100461.18
2012-03-31_12,100256.34
2012-03-31_18,100095.63
2012-04-01_00,100188.35
2012-04-01_06,100335.96
2012-04-01_12,100368.19
2012-04-01_18,100453.39
2012-04-02_00,100480.91
2012-04-02_06,100561.52
2012-04-02_12,100593.9
2012-04-02_18,100429.71
2012-04-03_00,100377.1
2012-04-03_06,100408.81
2012-04-03_12,100327.88
2012-04-03_18,100096.36
2012-04-04_00,100241.97
2012-04-04_06,100284.42
2012-04-04_12,100250.32
2012-04-04_18,100170.73
2012-04-05_00,100244.016
2012-04-05_06,100240.305
2012-04-05_12,100156.71
2012-04-05_18,100037.766
2012-04-06_00,100137.55
2012-04-06_06,100199.61
2012-04-06_12,100100.805
2012-04-06_18,99995.31
2012-04-07_00,100071.46
2012-04-07_06,100073.61
2012-04-07_12,100038.695
2012-04-07_18,99959.74
2012-04-08_00,100073.02
2012-04-08_06,100140.21
2012-04-08_12,100095.875
2012-04-08_18,100140.625
2012-04-09_00,100268.29
2012-04-09_06,100239.89
2012-04-09_12,100186.375
2012-04-09_18,100184.42
2012-04-10_00,100321.805
2012-04-10_06,100464.625
2012-04-10_12,100424.875
2012-04-10_18,100524.484
2012-04-11_00,100659.984
2012-04-11_06,100653.98
2012-04-11_12,100525.805
2012-04-11_18,100377.02
2012-04-12_00,100229.71
2012-04-12_06,100150.93
2012-04-12_12,100046.51
2012-04-12_18,100054.86
2012-04-13_00,100086.33
2012-04-13_06,99909.16
